,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,1364812.982,1339997.64,1315182.298,1290366.956,1265551.614,1240736.272,1215920.93,1191105.588,1166290.246,1141474.904,1116659.562,1091844.221,1067028.879,1042213.537,1017398.195,992582.8529,967767.511,942952.1691,918136.8272,893321.4853,868506.1434,843690.8015,818875.4596,794060.1176,769244.7757,744429.4338,719614.0919,694798.75,669983.4081,645168.0662,620352.7243,595537.3824,570722.0404,545906.6985,521091.3566,496276.0147,471460.6728,446645.3309,421829.989,397014.6471,372199.3051,347383.9632,322568.6213,297753.2794,272937.9375,248122.5956,223307.2537,198491.9118,173676.5699,148861.2279,124045.886,99230.54412
BUSAN,367097.5404,356532.924,345968.3076,335403.6912,324839.0748,314274.4583,303709.8419,293145.2255,282580.6091,272015.9926,261451.3762,250886.7598,240322.1434,229757.527,219192.9105,208628.2941,198063.6777,187499.0613,176934.4449,166369.8284,155805.212,145240.5956,134675.9792,124111.3627,113546.7463,102982.1299,92417.51348,81852.89706,71288.28064,60723.66422,50159.04779,39594.43137,29029.81495,18465.19853,7900.582108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAEGU,258232.7022,250740.7868,243248.8713,235756.9559,228265.0404,220773.125,213281.2096,205789.2941,198297.3787,190805.4632,183313.5478,175821.6324,168329.7169,160837.8015,153345.886,145853.9706,138362.0551,130870.1397,123378.2243,115886.3088,108394.3934,100902.4779,93410.5625,85918.64706,78426.73162,70934.81618,63442.90074,55950.98529,48459.06985,40967.15441,33475.23897,25983.32353,18491.40809,10999.49265,3507.577206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INCHEON,378144.6029,374988.7353,371832.8676,368677,365521.1324,362365.2647,359209.3971,356053.5294,352897.6618,349741.7941,346585.9265,343430.0588,340274.1912,337118.3235,333962.4559,330806.5882,327650.7206,324494.8529,321338.9853,318183.1176,315027.25,311871.3824,308715.5147,305559.6471,302403.7794,299247.9118,296092.0441,292936.1765,289780.3088,286624.4412,283468.5735,280312.7059,277156.8382,274000.9706,270845.1029,267689.2353,264533.3676,261377.5,258221.6324,255065.7647,251909.8971,248754.0294,245598.1618,242442.2941,239286.4265,236130.5588,232974.6912,229818.8235,226662.9559,223507.0882,220351.2206,217195.3529
GWANGJU,176903.2684,173576.7819,170250.2953,166923.8088,163597.3223,160270.8358,156944.3493,153617.8627,150291.3762,146964.8897,143638.4032,140311.9167,136985.4301,133658.9436,130332.4571,127005.9706,123679.4841,120352.9975,117026.511,113700.0245,110373.538,107047.0515,103720.565,100394.0784,97067.59191,93741.10539,90414.61887,87088.13235,83761.64583,80435.15931,77108.67279,73782.18627,70455.69975,67129.21324,63802.72672,60476.2402,57149.75368,53823.26716,50496.78064,47170.29412,43843.8076,40517.32108,37190.83456,33864.34804,30537.86152,27211.375,23884.88848,20558.40196,17231.91544,13905.42892,10578.9424,7252.455882
DAEJEON,179509.8235,175629.5294,171749.2353,167868.9412,163988.6471,160108.3529,156228.0588,152347.7647,148467.4706,144587.1765,140706.8824,136826.5882,132946.2941,129066,125185.7059,121305.4118,117425.1176,113544.8235,109664.5294,105784.2353,101903.9412,98023.64706,94143.35294,90263.05882,86382.76471,82502.47059,78622.17647,74741.88235,70861.58824,66981.29412,63101,59220.70588,55340.41176,51460.11765,47579.82353,43699.52941,39819.23529,35938.94118,32058.64706,28178.35294,24298.05882,20417.76471,16537.47059,12657.17647,8776.882353,4896.588235,1016.294118,0,0,0,0,0
ULSAN,123264.614,120122.4534,116980.2929,113838.1324,110695.9718,107553.8113,104411.6507,101269.4902,98127.32966,94985.16912,91843.00858,88700.84804,85558.6875,82416.52696,79274.36642,76132.20588,72990.04534,69847.8848,66705.72426,63563.56373,60421.40319,57279.24265,54137.08211,50994.92157,47852.76103,44710.60049,41568.43995,38426.27941,35284.11887,32141.95833,28999.79779,25857.63725,22715.47672,19573.31618,16431.15564,13288.9951,10146.83456,7004.67402,3862.51348,720.3529412,0,0,0,0,0,0,0,0,0,0,0,0
SEJONG,59997.55147,63579.0049,67160.45833,70741.91176,74323.3652,77904.81863,81486.27206,85067.72549,88649.17892,92230.63235,95812.08578,99393.53922,102974.9926,106556.4461,110137.8995,113719.3529,117300.8064,120882.2598,124463.7132,128045.1667,131626.6201,135208.0735,138789.527,142370.9804,145952.4338,149533.8873,153115.3407,156696.7941,160278.2475,163859.701,167441.1544,171022.6078,174604.0613,178185.5147,181766.9681,185348.4216,188929.875,192511.3284,196092.7819,199674.2353,203255.6887,206837.1422,210418.5956,214000.049,217581.5025,221162.9559,224744.4093,228325.8627,231907.3162,235488.7696,239070.223,242651.6765
GYEONGGI,1719208.654,1713069.015,1706929.375,1700789.735,1694650.096,1688510.456,1682370.816,1676231.176,1670091.537,1663951.897,1657812.257,1651672.618,1645532.978,1639393.338,1633253.699,1627114.059,1620974.419,1614834.779,1608695.14,1602555.5,1596415.86,1590276.221,1584136.581,1577996.941,1571857.301,1565717.662,1559578.022,1553438.382,1547298.743,1541159.103,1535019.463,1528879.824,1522740.184,1516600.544,1510460.904,1504321.265,1498181.625,1492041.985,1485902.346,1479762.706,1473623.066,1467483.426,1461343.787,1455204.147,1449064.507,1442924.868,1436785.228,1430645.588,1424505.949,1418366.309,1412226.669,1406087.029
GANGWON,143345.7757,139901.9534,136458.1311,133014.3088,129570.4865,126126.6642,122682.8419,119239.0196,115795.1973,112351.375,108907.5527,105463.7304,102019.9081,98576.08578,95132.26348,91688.44118,88244.61887,84800.79657,81356.97426,77913.15196,74469.32966,71025.50735,67581.68505,64137.86275,60694.04044,57250.21814,53806.39583,50362.57353,46918.75123,43474.92892,40031.10662,36587.28431,33143.46201,29699.63971,26255.8174,22811.9951,19368.17279,15924.35049,12480.52819,9036.705882,5592.883578,2149.061275,0,0,0,0,0,0,0,0,0,0
CHUNGBUK,166783.9779,163768.9069,160753.8358,157738.7647,154723.6936,151708.6225,148693.5515,145678.4804,142663.4093,139648.3382,136633.2672,133618.1961,130603.125,127588.0539,124572.9828,121557.9118,118542.8407,115527.7696,112512.6985,109497.6275,106482.5564,103467.4853,100452.4142,97437.34314,94422.27206,91407.20098,88392.1299,85377.05882,82361.98775,79346.91667,76331.84559,73316.77451,70301.70343,67286.63235,64271.56127,61256.4902,58241.41912,55226.34804,52211.27696,49196.20588,46181.1348,43166.06373,40150.99265,37135.92157,34120.85049,31105.77941,28090.70833,25075.63725,22060.56618,19045.4951,16030.42402,13015.35294
CHUNGNAM,218563.6765,214868.3333,211172.9902,207477.6471,203782.3039,200086.9608,196391.6176,192696.2745,189000.9314,185305.5882,181610.2451,177914.902,174219.5588,170524.2157,166828.8725,163133.5294,159438.1863,155742.8431,152047.5,148352.1569,144656.8137,140961.4706,137266.1275,133570.7843,129875.4412,126180.098,122484.7549,118789.4118,115094.0686,111398.7255,107703.3824,104008.0392,100312.6961,96617.35294,92922.0098,89226.66667,85531.32353,81835.98039,78140.63725,74445.29412,70749.95098,67054.60784,63359.26471,59663.92157,55968.57843,52273.23529,48577.89216,44882.54902,41187.20588,37491.86275,33796.51961,30101.17647
JEONBUK,170486.1544,165623.652,160761.1495,155898.6471,151036.1446,146173.6422,141311.1397,136448.6373,131586.1348,126723.6324,121861.1299,116998.6275,112136.125,107273.6225,102411.1201,97548.61765,92686.1152,87823.61275,82961.11029,78098.60784,73236.10539,68373.60294,63511.10049,58648.59804,53786.09559,48923.59314,44061.09069,39198.58824,34336.08578,29473.58333,24611.08088,19748.57843,14886.07598,10023.57353,5161.071078,298.5686275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEONNAM,160601.1103,156283.2892,151965.4681,147647.6471,143329.826,139012.0049,134694.1838,130376.3627,126058.5417,121740.7206,117422.8995,113105.0784,108787.2574,104469.4363,100151.6152,95833.79412,91515.97304,87198.15196,82880.33088,78562.5098,74244.68873,69926.86765,65609.04657,61291.22549,56973.40441,52655.58333,48337.76225,44019.94118,39702.1201,35384.29902,31066.47794,26748.65686,22430.83578,18113.01471,13795.19363,9477.372549,5159.551471,841.7303922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEONGBUK,229041.9449,220758.2917,212474.6385,204190.9853,195907.3321,187623.6789,179340.0257,171056.3725,162772.7194,154489.0662,146205.413,137921.7598,129638.1066,121354.4534,113070.8002,104787.1471,96503.49387,88219.84069,79936.1875,71652.53431,63368.88113,55085.22794,46801.57475,38517.92157,30234.26838,21950.6152,13666.96201,5383.308824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEONGNAM,322691.0735,313559.6176,304428.1618,295296.7059,286165.25,277033.7941,267902.3382,258770.8824,249639.4265,240507.9706,231376.5147,222245.0588,213113.6029,203982.1471,194850.6912,185719.2353,176587.7794,167456.3235,158324.8676,149193.4118,140061.9559,130930.5,121799.0441,112667.5882,103536.1324,94404.67647,85273.22059,76141.76471,67010.30882,57878.85294,48747.39706,39615.94118,30484.48529,21353.02941,12221.57353,3090.117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEJU,77014.34559,76944.11275,76873.8799,76803.64706,76733.41422,76663.18137,76592.94853,76522.71569,76452.48284,76382.25,76312.01716,76241.78431,76171.55147,76101.31863,76031.08578,75960.85294,75890.6201,75820.38725,75750.15441,75679.92157,75609.68873,75539.45588,75469.22304,75398.9902,75328.75735,75258.52451,75188.29167,75118.05882,75047.82598,74977.59314,74907.36029,74837.12745,74766.89461,74696.66176,74626.42892,74556.19608,74485.96324,74415.73039,74345.49755,74275.26471,74205.03186,74134.79902,74064.56618,73994.33333,73924.10049,73853.86765,73783.6348,73713.40196,73643.16912,73572.93627,73502.70343,73432.47059
