,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,2187487.9779411554,2261529.0931372344,2335570.2083333135,2409611.3235293925,2483652.4387254715,2557693.5539215505,2631734.6691176295,2705775.7843137085,2779816.8995097876,2853858.0147058666,2927899.1299019456,3001940.2450980246,3075981.3602941036,3150022.4754901826,3224063.5906862617,3298104.7058823407,3372145.8210784197,3446186.9362744987,3520228.0514705777,3594269.1666666567,3668310.2818627357,3742351.3970588148,3816392.512254894,3890433.627450973,3964474.742647052,4038515.857843131,4112556.97303921,4186598.088235289,4260639.203431368,4334680.318627447,4408721.433823526,4482762.549019605,4556803.664215684,4630844.779411763,4704885.894607842,4778927.009803921,4852968.125,4927009.240196079,5001050.355392158,5075091.470588237,5149132.585784316,5223173.700980395,5297214.816176474,5371255.931372553,5445297.046568632,5519338.161764711,5593379.27696079,5667420.392156869,5741461.507352948,5815502.622549027,5889543.737745106,5963584.852941155
BUSAN,934299.7720588297,968124.9166666716,1001950.0612745136,1035775.2058823556,1069600.3504901975,1103425.4950980544,1137250.6397058964,1171075.7843137383,1204900.9289215803,1238726.0735294223,1272551.2181372643,1306376.3627451062,1340201.5073529482,1374026.6519607902,1407851.7965686321,1441676.941176474,1475502.085784316,1509327.230392158,1543152.375000015,1576977.5196078569,1610802.6642156988,1644627.8088235408,1678452.9534313828,1712278.0980392247,1746103.2426470667,1779928.3872549087,1813753.5318627506,1847578.6764705926,1881403.8210784346,1915228.9656862766,1949054.1102941185,1982879.2549019754,2016704.3995098174,2050529.5441176593,2084354.6887255013,2118179.8333333433,2152004.9779411852,2185830.122549027,2219655.267156869,2253480.411764711,2287305.556372553,2321130.700980395,2354955.845588237,2388780.990196079,2422606.134803936,2456431.279411778,2490256.42401962,2524081.568627462,2557906.7132353038,2591731.8578431457,2625557.0024509877,2659382.1470588297
DAEGU,587956.375,609038.4362745136,630120.4975490198,651202.5588235334,672284.6200980395,693366.6813725531,714448.7426470593,735530.8039215729,756612.865196079,777694.9264705926,798776.9877450988,819859.0490196124,840941.1102941185,862023.1715686321,883105.2328431383,904187.2941176519,925269.355392158,946351.4166666716,967433.4779411778,988515.5392156914,1009597.6004901975,1030679.6617647111,1051761.7230392173,1072843.784313731,1093925.845588237,1115007.9068627432,1136089.9681372568,1157172.029411763,1178254.0906862766,1199336.1519607827,1220418.2132352963,1241500.2745098025,1262582.335784316,1283664.3970588222,1304746.4583333358,1325828.519607842,1346910.5808823556,1367992.6421568617,1389074.7034313753,1410156.7647058815,1431238.825980395,1452320.8872549012,1473402.9485294148,1494485.009803921,1515567.0710784346,1536649.1323529407,1557731.1936274543,1578813.2549019605,1599895.316176474,1620977.3774509802,1642059.4387254938,1663141.5
INCHEON,613414.0661764741,636975.4068627432,660536.7475490198,684098.0882352963,707659.4289215654,731220.769607842,754782.1102941185,778343.4509803951,801904.7916666642,825466.1323529407,849027.4730392173,872588.8137254938,896150.154411763,919711.4950980395,943272.8357843161,966834.1764705852,990395.5171568617,1013956.8578431383,1037518.1985294148,1061079.539215684,1084640.8799019605,1108202.220588237,1131763.5612745136,1155324.9019607827,1178886.2426470593,1202447.5833333358,1226008.924019605,1249570.2647058815,1273131.605392158,1296692.9460784346,1320254.2867647037,1343815.6274509802,1367376.9681372568,1390938.3088235334,1414499.6495098025,1438060.990196079,1461622.3308823556,1485183.6715686247,1508745.0122549012,1532306.3529411778,1555867.6936274543,1579429.0343137234,1602990.375,1626551.7156862766,1650113.056372553,1673674.3970588222,1697235.7377450988,1720797.0784313753,1744358.4191176444,1767919.759803921,1791481.1004901975,1815042.441176474
GWANGJU,303453.6875,313934.3063725494,324414.92524509877,334895.54411764815,345376.16299019754,355856.7818627469,366337.4007352963,376818.0196078457,387298.6384803951,397779.25735294074,408259.8762254901,418740.4950980395,429221.1139705889,439701.7328431383,450182.35171568766,460662.97058823705,471143.58946078643,481624.2083333358,492104.8272058852,502585.44607843086,513066.06495098025,523546.68382352963,534027.302696079,544507.9215686284,554988.5404411778,565469.1593137272,575949.7781862766,586430.3970588259,596911.0159313753,607391.6348039247,617872.2536764704,628352.8725490198,638833.4914215691,649314.1102941185,659794.7291666679,670275.3480392173,680755.9669117667,691236.5857843161,701717.2046568654,712197.8235294148,722678.4424019605,733159.0612745099,743639.6801470593,754120.2990196086,764600.917892158,775081.5367647074,785562.1556372568,796042.7745098062,806523.3933823556,817004.012254905,827484.6311274506,837965.25
DAEJEON,311739.25735294074,322887.1715686284,334035.08578431234,345183.0,356330.91421568394,367478.8284313716,378626.74264705926,389774.6568627432,400922.57107843086,412070.4852941185,423218.39950980246,434366.3137254901,445514.22794117406,456662.1421568617,467810.0563725494,478957.9705882333,490105.884803921,501253.79901960865,512401.7132352926,523549.62745098025,534697.5416666642,545845.4558823518,556993.3700980395,568141.2843137234,579289.1985294111,590437.1127450988,601585.0269607827,612732.9411764704,623880.855392158,635028.769607842,646176.6838235296,657324.5980392136,668472.5122549012,679620.4264705889,690768.3406862728,701916.2549019605,713064.1691176482,724212.0833333321,735359.9975490198,746507.9117647037,757655.8259803914,768803.740196079,779951.654411763,791099.5686274506,802247.4828431383,813395.3970588222,824543.3112745099,835691.2254901938,846839.1397058815,857987.0539215691,869134.9681372531,880282.8823529407
ULSAN,205074.3382352963,213296.35294117779,221518.36764706112,229740.3823529426,237962.39705882594,246184.41176470742,254406.42647059076,262628.44117647223,270850.4558823537,279072.47058823705,287294.4852941185,295516.50000000186,303738.51470588334,311960.5294117667,320182.54411764815,328404.5588235315,336626.57352941297,344848.58823529445,353070.60294117965,361292.6176470611,369514.6323529426,377736.6470588241,385958.6617647093,394180.67647059076,402402.69117647223,410624.7058823537,418846.7205882352,427068.7352941204,435290.75000000186,443512.76470588334,451734.7794117648,459956.79411765,468178.8088235315,476400.82352941297,484622.83823529445,492844.85294117965,501066.8676470611,509288.8823529426,517510.8970588241,525732.9117647093,533954.9264705908,542176.9411764722,550398.9558823537,558620.9705882352,566842.9852941204,575065.0000000019,583287.0147058833,591509.0294117648,599731.04411765,607953.0588235315,616175.073529413,624397.0882352944
SEJONG,54425.411764705554,57032.23529411759,59639.0588235287,62245.88235294074,64852.70588235278,67459.52941176482,70066.35294117592,72673.17647058796,75280.0,77886.82352941111,80493.64705882315,83100.47058823518,85707.29411764722,88314.11764705833,90920.94117647037,93527.76470588241,96134.58823529352,98741.41176470555,101348.23529411759,103955.0588235287,106561.88235294074,109168.70588235278,111775.52941176482,114382.35294117592,116989.17647058796,119596.0,122202.82352941111,124809.64705882315,127416.47058823518,130023.29411764722,132630.11764705833,135236.94117647037,137843.7647058824,140450.58823529352,143057.41176470555,145664.2352941176,148271.0588235287,150877.88235294074,153484.70588235278,156091.52941176482,158698.35294117592,161305.17647058796,163912.0,166518.8235294111,169125.64705882315,171732.47058823518,174339.29411764722,176946.11764705833,179552.94117647037,182159.7647058824,184766.58823529352,187373.41176470555
GYEONGGI,2649147.9558823705,2752839.921568632,2856531.8872549236,2960223.8529411852,3063915.818627447,3167607.7843137383,3271299.75,3374991.7156862915,3478683.681372553,3582375.6470588446,3686067.612745106,3789759.578431368,3893451.5441176593,3997143.509803921,4100835.4754902124,4204527.441176474,4308219.406862766,4411911.372549027,4515603.338235289,4619295.30392158,4722987.269607842,4826679.235294133,4930371.200980395,5034063.166666687,5137755.132352948,5241447.09803921,5345139.063725501,5448831.029411763,5552522.995098054,5656214.960784316,5759906.9264706075,5863598.892156869,5967290.857843131,6070982.823529422,6174674.789215684,6278366.754901975,6382058.720588237,6485750.6862745285,6589442.65196079,6693134.617647052,6796826.583333343,6900518.549019605,7004210.514705896,7107902.480392158,7211594.4460784495,7315286.411764711,7418978.377450973,7522670.343137264,7626362.308823526,7730054.274509817,7833746.240196079,7937438.2058823705
GANGWON,480907.27941176295,495837.3235294111,510767.36764705554,525697.4117647037,540627.4558823518,555557.5,570487.5441176444,585417.5882352926,600347.6323529407,615277.6764705852,630207.7205882333,645137.7647058815,660067.8088235296,674997.8529411741,689927.8970588222,704857.9411764704,719787.9852941148,734718.029411763,749648.0735294111,764578.1176470555,779508.1617647037,794438.2058823518,809368.25,824298.2941176444,839228.3382352926,854158.3823529407,869088.4264705852,884018.4705882333,898948.5147058815,913878.5588235296,928808.6029411741,943738.6470588222,958668.6911764704,973598.7352941148,988528.779411763,1003458.8235294111,1018388.8676470555,1033318.9117647037,1048248.9558823518,1063179.0,1078109.0441176444,1093039.0882352926,1107969.1323529407,1122899.1764705852,1137829.2205882333,1152759.2647058815,1167689.3088235296,1182619.352941174,1197549.3970588222,1212479.4411764704,1227409.4852941148,1242339.529411763
