City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
ADD_UP,344080.9317,350675.7393,357270.5468,363865.3544,370460.162,377054.9696,383649.7771,390244.5847,396839.3923,403434.1999,410029.0074,416623.815,423218.6226,429813.4301,436408.2377,443003.0453,449597.8529,456192.6604,462787.468,469382.2756,475977.0832,482571.8907,489166.6983,495761.5059,502356.3135,508951.121,515545.9286,522140.7362,528735.5437,535330.3513,541925.1589,548519.9665,555114.774,561709.5816,568304.3892,574899.1968,581494.0043,588088.8119,594683.6195,601278.4271,607873.2346,614468.0422,621062.8498,627657.6574,634252.4649,640847.2725,647442.0801,654036.8876,660631.6952,667226.5028,673821.3104,680416.1179
SEOUL,51003.54412,51821.46078,52639.37745,53457.29412,54275.21078,55093.12745,55911.04412,56728.96078,57546.87745,58364.79412,59182.71078,60000.62745,60818.54412,61636.46078,62454.37745,63272.29412,64090.21078,64908.12745,65726.04412,66543.96078,67361.87745,68179.79412,68997.71078,69815.62745,70633.54412,71451.46078,72269.37745,73087.29412,73905.21078,74723.12745,75541.04412,76358.96078,77176.87745,77994.79412,78812.71078,79630.62745,80448.54412,81266.46078,82084.37745,82902.29412,83720.21078,84538.12745,85356.04412,86173.96078,86991.87745,87809.79412,88627.71078,89445.62745,90263.54412,91081.46078,91899.37745,92717.29412
BUSAN,25502.82353,25941.86275,26380.90196,26819.94118,27258.98039,27698.01961,28137.05882,28576.09804,29015.13725,29454.17647,29893.21569,30332.2549,30771.29412,31210.33333,31649.37255,32088.41176,32527.45098,32966.4902,33405.52941,33844.56863,34283.60784,34722.64706,35161.68627,35600.72549,36039.76471,36478.80392,36917.84314,37356.88235,37795.92157,38234.96078,38674,39113.03922,39552.07843,39991.11765,40430.15686,40869.19608,41308.23529,41747.27451,42186.31373,42625.35294,43064.39216,43503.43137,43942.47059,44381.5098,44820.54902,45259.58824,45698.62745,46137.66667,46576.70588,47015.7451,47454.78431,47893.82353
DAEGU,16195.88971,16506.77941,16817.66912,17128.55882,17439.44853,17750.33824,18061.22794,18372.11765,18683.00735,18993.89706,19304.78676,19615.67647,19926.56618,20237.45588,20548.34559,20859.23529,21170.125,21481.01471,21791.90441,22102.79412,22413.68382,22724.57353,23035.46324,23346.35294,23657.24265,23968.13235,24279.02206,24589.91176,24900.80147,25211.69118,25522.58088,25833.47059,26144.36029,26455.25,26766.13971,27077.02941,27387.91912,27698.80882,28009.69853,28320.58824,28631.47794,28942.36765,29253.25735,29564.14706,29875.03676,30185.92647,30496.81618,30807.70588,31118.59559,31429.48529,31740.375,32051.26471
INCHEON,18002.66176,18434.2451,18865.82843,19297.41176,19728.9951,20160.57843,20592.16176,21023.7451,21455.32843,21886.91176,22318.4951,22750.07843,23181.66176,23613.2451,24044.82843,24476.41176,24907.9951,25339.57843,25771.16176,26202.7451,26634.32843,27065.91176,27497.4951,27929.07843,28360.66176,28792.2451,29223.82843,29655.41176,30086.9951,30518.57843,30950.16176,31381.7451,31813.32843,32244.91176,32676.4951,33108.07843,33539.66176,33971.2451,34402.82843,34834.41176,35265.9951,35697.57843,36129.16176,36560.7451,36992.32843,37423.91176,37855.4951,38287.07843,38718.66176,39150.2451,39581.82843,40013.41176
GWANGJU,8836.544118,9008.637255,9180.730392,9352.823529,9524.916667,9697.009804,9869.102941,10041.19608,10213.28922,10385.38235,10557.47549,10729.56863,10901.66176,11073.7549,11245.84804,11417.94118,11590.03431,11762.12745,11934.22059,12106.31373,12278.40686,12450.5,12622.59314,12794.68627,12966.77941,13138.87255,13310.96569,13483.05882,13655.15196,13827.2451,13999.33824,14171.43137,14343.52451,14515.61765,14687.71078,14859.80392,15031.89706,15203.9902,15376.08333,15548.17647,15720.26961,15892.36275,16064.45588,16236.54902,16408.64216,16580.73529,16752.82843,16924.92157,17097.01471,17269.10784,17441.20098,17613.29412
DAEJEON,8591.742647,8763.602941,8935.463235,9107.323529,9279.183824,9451.044118,9622.904412,9794.764706,9966.625,10138.48529,10310.34559,10482.20588,10654.06618,10825.92647,10997.78676,11169.64706,11341.50735,11513.36765,11685.22794,11857.08824,12028.94853,12200.80882,12372.66912,12544.52941,12716.38971,12888.25,13060.11029,13231.97059,13403.83088,13575.69118,13747.55147,13919.41176,14091.27206,14263.13235,14434.99265,14606.85294,14778.71324,14950.57353,15122.43382,15294.29412,15466.15441,15638.01471,15809.875,15981.73529,16153.59559,16325.45588,16497.31618,16669.17647,16841.03676,17012.89706,17184.75735,17356.61765
ULSAN,6024.448529,6143.838235,6263.227941,6382.617647,6502.007353,6621.397059,6740.786765,6860.176471,6979.566176,7098.955882,7218.345588,7337.735294,7457.125,7576.514706,7695.904412,7815.294118,7934.683824,8054.073529,8173.463235,8292.852941,8412.242647,8531.632353,8651.022059,8770.411765,8889.801471,9009.191176,9128.580882,9247.970588,9367.360294,9486.75,9606.139706,9725.529412,9844.919118,9964.308824,10083.69853,10203.08824,10322.47794,10441.86765,10561.25735,10680.64706,10800.03676,10919.42647,11038.81618,11158.20588,11277.59559,11396.98529,11516.375,11635.76471,11755.15441,11874.54412,11993.93382,12113.32353
SEJONG,1677.909632,1755.12652,1832.343407,1909.560294,1986.777181,2063.994069,2141.210956,2218.427843,2295.64473,2372.861618,2450.078505,2527.295392,2604.512279,2681.729167,2758.946054,2836.162941,2913.379828,2990.596716,3067.813603,3145.03049,3222.247377,3299.464265,3376.681152,3453.898039,3531.114926,3608.331814,3685.548701,3762.765588,3839.982475,3917.199363,3994.41625,4071.633137,4148.850025,4226.066912,4303.283799,4380.500686,4457.717574,4534.934461,4612.151348,4689.368235,4766.585123,4843.80201,4921.018897,4998.235784,5075.452672,5152.669559,5229.886446,5307.103333,5384.320221,5461.537108,5538.753995,5615.970882
GYEONGGI,73524.41912,75469.60294,77414.78676,79359.97059,81305.15441,83250.33824,85195.52206,87140.70588,89085.88971,91031.07353,92976.25735,94921.44118,96866.625,98811.80882,100756.9926,102702.1765,104647.3603,106592.5441,108537.7279,110482.9118,112428.0956,114373.2794,116318.4632,118263.6471,120208.8309,122154.0147,124099.1985,126044.3824,127989.5662,129934.75,131879.9338,133825.1176,135770.3015,137715.4853,139660.6691,141605.8529,143551.0368,145496.2206,147441.4044,149386.5882,151331.7721,153276.9559,155222.1397,157167.3235,159112.5074,161057.6912,163002.875,164948.0588,166893.2426,168838.4265,170783.6103,172728.7941
