,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,3520.9485568823293,3232.7561862156726,2944.563815549016,2656.3714448823594,2368.1790742157027,2079.986703549046,1791.7943328823894,1503.6019622156164,1215.4095915489597,927.2172208823031,639.0248502156464,350.8324795489898,62.64010888233315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSAN,1684.4490206250339,1507.1761657598545,1329.9033108946169,1152.6304560294375,975.3576011642581,798.0847462990205,620.8118914338411,443.5390365686617,266.2661817034823,88.99332683824468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEGU,1110.0455968088354,1006.1080852450978,902.1705736813892,798.2330621176516,694.295550553943,590.3580389902054,486.42052742649685,382.4830158627592,278.54550429902156,174.60799273531302,70.67048117157537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCHEON,1334.8837097499927,1235.6256835392269,1136.367657328432,1037.109631117637,937.8516049068712,838.5935786960763,739.3355524852814,640.0775262745155,540.8195000637206,441.5614738529548,342.3034476421599,243.04542143136496,143.78739522059914,44.52936900980421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWANGJU,596.6730712058779,549.5382327647094,502.4033943235263,455.2685558823432,408.13371744117467,360.9988789999916,313.86404055882304,266.72920211763994,219.5943636764714,172.4595252352883,125.32468679411977,78.18984835293668,31.05500991176814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEJEON,428.4906041323411,365.75271844115923,303.0148327499919,240.27694705881004,177.53906136764272,114.80117567646084,52.06328998527897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULSAN,679.7859477794118,639.1055177941162,598.4250878088205,557.7446578235249,517.0642278382293,476.38379785293364,435.703367867638,395.0229378823424,354.34250789704674,313.6620779117511,272.98164792647003,232.3012179411744,191.62078795587877,150.94035797058314,110.2599279852875,69.57949799999187,28.89906801469624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEJONG,241.6810673274449,255.7366773668473,269.79228740624967,283.84789744565205,297.90350748505443,311.9591175244532,326.01472756385556,340.07033760325794,354.1259476426603,368.1815576820627,382.23716772146145,396.2927777608638,410.3483878002662,424.4039978396686,438.459607879071,452.51521791847335,466.5708279578721,480.6264379972745,494.68204803667686,508.73765807607924,522.7932681154816,536.848878154884,550.9044881942827,564.9600982336851,579.0157082730875,593.0713183124899,607.1269283518923,621.182538391291,635.2381484306934,649.2937584700958,663.3493685094982,677.4049785489005,691.4605885883029,705.5161986277017,719.571808667104,733.6274187065064,747.6830287459088,761.7386387853112,775.7942488247136,789.8498588641123,803.9054689035147,817.9610789429171,832.0166889823195,846.0722990217218,860.1279090611206,874.183519100523,888.2391291399254,902.2947391793277,916.3503492187301,930.4059592581325,944.4615692975312,958.5171793369336
GYEONGGI,6458.745501639729,6235.101503514743,6011.457505389699,5787.813507264713,5564.169509139727,5340.525511014741,5116.881512889697,4893.237514764711,4669.593516639725,4445.949518514739,4222.305520389695,3998.6615222647088,3775.017524139723,3551.373526014737,3327.7295278896927,3104.0855297647067,2880.441531639721,2656.797533514735,2433.1535353896907,2209.5095372647047,1985.8655391397187,1762.2215410147328,1538.5775428896886,1314.9335447647027,1091.2895466397167,867.6455485147308,644.0015503897448,420.35755226470064,196.7135541397147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANGWON,706.776630345601,657.7223549460905,608.66807954658,559.6138041470695,510.55952874755894,461.5052533480484,412.4509779485379,363.3967025490274,314.3424271495169,265.28815175000636,216.23387635049585,167.17960095098533,118.12532555147482,69.0710501519643,20.016774752468336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
