Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,63827.58823529398,64972.33333333302,66117.07843137253,67261.82352941157,68406.56862745108,69551.31372549012,70696.05882352917,71840.80392156867,72985.54901960772,74130.29411764676,75275.03921568627,76419.78431372531,77564.52941176482,78709.27450980386,79854.0196078429,80998.76470588241,82143.50980392145,83288.25490196049,84433.0,85577.74509803904,86722.49019607855,87867.23529411759,89011.98039215663,90156.72549019614,91301.47058823518,92446.21568627423,93590.96078431373,94735.70588235278,95880.45098039182,97025.19607843133,98169.94117647037,99314.68627450988,100459.43137254892,101604.17647058796,102748.92156862747,103893.66666666651,105038.41176470555,106183.15686274506,107327.9019607841,108472.64705882361,109617.39215686265,110762.1372549017,111906.8823529412,113051.62745098025,114196.37254901929,115341.1176470588,116485.86274509784,117630.60784313735,118775.35294117639,119920.09803921543,121064.84313725494,122209.58823529398
BUSAN,28095.904411764815,29010.338235294214,29924.77205882361,30839.20588235301,31753.639705882408,32668.073529411806,33582.507352941204,34496.9411764706,35411.375,36325.8088235294,37240.242647058796,38154.676470588194,39069.11029411759,39983.54411764699,40897.97794117639,41812.41176470579,42726.84558823542,43641.279411764815,44555.71323529421,45470.14705882361,46384.58088235301,47299.01470588241,48213.448529411806,49127.882352941204,50042.3161764706,50956.75,51871.1838235294,52785.617647058796,53700.051470588194,54614.48529411759,55528.91911764699,56443.35294117639,57357.78676470579,58272.22058823542,59186.654411764815,60101.08823529421,61015.52205882361,61929.95588235301,62844.38970588241,63758.823529411806,64673.257352941204,65587.6911764706,66502.125,67416.5588235294,68330.9926470588,69245.4264705882,70159.86029411759,71074.29411764699,71988.72794117639,72903.16176470602,73817.59558823542,74732.02941176482
DAEGU,18200.088235294214,18744.098039215663,19288.107843137346,19832.117647058796,20376.12745098048,20920.13725490193,21464.14705882361,22008.15686274506,22552.166666666744,23096.176470588194,23640.186274509877,24184.196078431327,24728.20588235301,25272.21568627446,25816.225490196142,26360.235294117592,26904.245098039275,27448.254901960725,27992.264705882408,28536.274509803858,29080.28431372554,29624.29411764699,30168.303921568673,30712.313725490123,31256.323529411806,31800.33333333349,32344.34313725494,32888.35294117662,33432.36274509807,33976.372549019754,34520.382352941204,35064.39215686289,35608.40196078434,36152.41176470602,36696.42156862747,37240.43137254915,37784.4411764706,38328.450980392285,38872.460784313735,39416.47058823542,39960.48039215687,40504.49019607855,41048.5,41592.50980392168,42136.51960784313,42680.529411764815,43224.539215686265,43768.54901960795,44312.5588235294,44856.56862745108,45400.57843137253,45944.58823529421
INCHEON,22121.514705882175,22948.539215686265,23775.563725490123,24602.58823529398,25429.61274509784,26256.63725490193,27083.661764705786,27910.686274509644,28737.710784313735,29564.735294117592,30391.75980392145,31218.784313725308,32045.808823529398,32872.833333333256,33699.85784313711,34526.882352941204,35353.90686274506,36180.93137254892,37007.95588235278,37834.98039215687,38662.004901960725,39489.02941176458,40316.05392156844,41143.07843137253,41970.10294117639,42797.127450980246,43624.15196078434,44451.176470588194,45278.20098039205,46105.22549019591,46932.25,47759.27450980386,48586.299019607715,49413.32352941157,50240.34803921566,51067.37254901952,51894.39705882338,52721.42156862747,53548.44607843133,54375.470588235185,55202.49509803904,56029.51960784313,56856.54411764699,57683.56862745085,58510.59313725494,59337.617647058796,60164.642156862654,60991.66666666651,61818.6911764706,62645.71568627446,63472.74019607832,64299.764705882175
GWANGJU,10499.330882352893,10851.720588235301,11204.110294117592,11556.5,11908.889705882291,12261.279411764699,12613.66911764699,12966.058823529398,13318.448529411806,13670.838235294097,14023.227941176505,14375.617647058796,14728.007352941204,15080.397058823495,15432.786764705903,15785.176470588194,16137.566176470602,16489.955882352893,16842.3455882353,17194.735294117592,17547.125,17899.51470588229,18251.9044117647,18604.29411764699,18956.683823529398,19309.073529411806,19661.463235294097,20013.852941176505,20366.242647058796,20718.632352941204,21071.022058823495,21423.411764705903,21775.801470588194,22128.191176470602,22480.580882352893,22832.9705882353,23185.360294117592,23537.75,23890.13970588229,24242.5294117647,24594.91911764699,24947.308823529398,25299.698529411806,25652.088235294097,26004.477941176505,26356.867647058796,26709.257352941204,27061.647058823495,27414.036764705903,27766.426470588194,28118.816176470602,28471.205882352893
DAEJEON,10368.514705882408,10661.852941176505,10955.191176470602,11248.529411764699,11541.867647058796,11835.20588235301,12128.544117647107,12421.882352941204,12715.220588235301,13008.558823529398,13301.897058823612,13595.235294117709,13888.573529411806,14181.911764705903,14475.25,14768.588235294097,15061.92647058831,15355.264705882408,15648.602941176505,15941.941176470602,16235.279411764699,16528.617647058796,16821.95588235301,17115.294117647107,17408.632352941204,17701.9705882353,17995.308823529398,18288.64705882361,18581.98529411771,18875.323529411806,19168.661764705903,19462.0,19755.338235294097,20048.67647058831,20342.014705882408,20635.352941176505,20928.691176470602,21222.0294117647,21515.367647058796,21808.70588235301,22102.044117647107,22395.382352941204,22688.7205882353,22982.058823529398,23275.39705882361,23568.73529411771,23862.073529411806,24155.411764705903,24448.75,24742.088235294097,25035.42647058831,25328.764705882408
ULSAN,8354.132352941204,8627.598039215663,8901.063725490123,9174.529411764699,9447.995098039159,9721.460784313735,9994.926470588194,10268.39215686277,10541.85784313723,10815.323529411806,11088.789215686265,11362.254901960725,11635.720588235301,11909.18627450976,12182.651960784337,12456.117647058796,12729.583333333372,13003.049019607832,13276.514705882291,13549.980392156867,13823.446078431327,14096.911764705903,14370.377450980362,14643.843137254938,14917.308823529398,15190.774509803858,15464.240196078434,15737.705882352893,16011.17156862747,16284.637254901929,16558.102941176505,16831.568627450964,17105.034313725424,17378.5,17651.96568627446,17925.431372549036,18198.897058823495,18472.36274509807,18745.82843137253,19019.29411764699,19292.759803921566,19566.225490196026,19839.691176470602,20113.15686274506,20386.622549019638,20660.088235294097,20933.553921568673,21207.019607843133,21480.485294117592,21753.95098039217,22027.416666666628,22300.882352941204
SEJONG,2273.0,2398.333333333343,2523.666666666657,2649.0,2774.333333333343,2899.666666666657,3025.0,3150.333333333343,3275.666666666657,3401.0,3526.333333333343,3651.666666666657,3777.0,3902.333333333343,4027.666666666657,4153.0,4278.333333333343,4403.666666666657,4529.0,4654.333333333343,4779.666666666657,4905.0,5030.333333333343,5155.666666666657,5281.0,5406.333333333343,5531.666666666657,5657.0,5782.333333333343,5907.666666666657,6033.0,6158.333333333343,6283.666666666657,6409.0,6534.333333333343,6659.666666666657,6785.0,6910.333333333343,7035.666666666657,7161.0,7286.333333333343,7411.666666666657,7537.0,7662.333333333343,7787.666666666657,7913.0,8038.333333333343,8163.666666666657,8289.0,8414.333333333343,8539.666666666657,8665.0
GYEONGGI,99739.95588235278,103538.5,107337.04411764722,111135.58823529445,114934.13235294074,118732.67647058796,122531.22058823518,126329.76470588241,130128.30882352963,133926.85294117685,137725.39705882315,141523.94117647037,145322.4852941176,149121.02941176482,152919.57352941204,156718.11764705926,160516.66176470555,164315.20588235278,168113.75,171912.29411764722,175710.83823529445,179509.38235294167,183307.92647058796,187106.47058823518,190905.0147058824,194703.55882352963,198502.10294117685,202300.64705882315,206099.19117647037,209897.7352941176,213696.27941176482,217494.82352941204,221293.36764705926,225091.91176470555,228890.45588235278,232689.0,236487.54411764722,240286.08823529445,244084.63235294167,247883.17647058796,251681.72058823518,255480.2647058824,259278.80882352963,263077.35294117685,266875.8970588241,270674.44117647037,274472.9852941176,278271.5294117648,282070.07352941204,285868.61764705926,289667.16176470555,293465.7058823528
GANGWON,12834.992647058796,13285.867647058796,13736.742647058796,14187.617647058796,14638.492647058796,15089.367647058796,15540.242647058796,15991.117647058796,16441.992647058796,16892.867647058796,17343.742647058796,17794.617647058796,18245.492647058796,18696.367647058796,19147.242647058796,19598.117647058796,20048.992647058796,20499.867647058796,20950.742647058796,21401.617647058796,21852.492647058796,22303.367647058796,22754.242647058796,23205.117647058796,23655.992647058796,24106.867647058796,24557.742647058796,25008.617647058796,25459.492647058796,25910.367647058796,26361.242647058796,26812.117647058796,27262.992647058796,27713.867647058796,28164.742647058796,28615.617647058796,29066.492647058796,29517.367647058796,29968.242647058796,30419.117647058796,30869.992647058796,31320.867647058796,31771.742647058796,32222.617647058796,32673.492647058796,33124.367647058796,33575.242647058796,34026.117647058796,34476.992647058796,34927.867647058796,35378.742647058796,35829.617647058796
