,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
ADD_UP,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
SEOUL,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
BUSAN,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
DAEGU,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
INCHEON,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
GWANGJU,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
DAEJEON,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
ULSAN,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
SEJONG,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
GYEONGGI,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
GANGWON,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
CHUNGBUK,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
CHUNGNAM,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
JEONBUK,12787398,13113939,13440479,13767020,14093561,14420102,14746643,15073184,15399724,15726265,16052806,16379347,16705888,17032429,17358969,17685510,18012051,18338592,18665133,18991674,19318214,19644755,19971296,20297837,20624378,20950919,21277459,21604000,21930541,22257082,22583623,22910164,23236704,23563245,23889786,24216327,24542868,24869409,25195949,25522490,25849031,26175572,26502113,26828654,27155195,27481735,27808276,28134817,28461358,28787899,29114440,29440980
