Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,203.06131116176402,174.39251906862773,145.72372697549145,117.05493488235516,88.38614278921887,59.717350696082576,31.04855860293901,2.379766509802721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BUSAN,148.7884237132348,136.54056552450857,124.29270733578232,112.04484914705972,99.79699095833348,87.54913276960724,75.301274580881,63.0534163921584,50.805558203432156,38.557700014705915,26.309841825979674,14.061983637253434,1.814125448530831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEGU,5.66577892647183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INCHEON,121.06686183088095,114.0194239362736,106.97198604166624,99.92454814705889,92.87711025244971,85.82967235784236,78.782234463235,71.73479656862764,64.68735867401847,57.63992077941111,50.59248288480376,43.54504499019458,36.49760709558723,29.45016920097987,22.402731306372516,15.355293411763341,8.307855517155986,1.2604176225486299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GWANGJU,28.384353558823932,20.942403921568257,13.5004542843144,6.058504647058726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAEJEON,17.70389729411727,10.592578980391409,3.4812606666673673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ULSAN,55.07056997058862,50.91620956862789,46.76184916666716,42.60748876470643,38.4531283627457,34.29876796078497,30.14440755882424,25.99004715686351,21.835686754900962,17.681326352940232,13.526965950979502,9.372605549018772,5.218245147058042,1.0638847450973117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEJONG,14.1359417259589,14.93725151225226,15.738561298545392,16.539871084838524,17.341180871131883,18.142490657425014,18.943800443718374,19.745110230011505,20.546420016304637,21.347729802597996,22.149039588891128,22.95034937518426,23.75165916147762,24.55296894777075,25.354278734063882,26.15558852035724,26.956898306650373,27.758208092943505,28.559517879236864,29.360827665529996,30.162137451823355,30.963447238116487,31.76475702440962,32.56606681070298,33.36737659699611,34.16868638328924,34.9699961695826,35.77130595587573,36.572615742168864,37.37392552846222,38.175235314755355,38.976545101048714,39.777854887341846,40.57916467363498,41.38047445992834,42.18178424622147,42.9830940325146,43.78440381880796,44.58571360510109,45.38702339139422,46.18833317768758,46.989642963980714,47.790952750273846,48.592262536567205,49.39357232286034,50.194882109153696,50.99619189544683,51.79750168173996,52.59881146803332,53.40012125432645,54.20143104061958,55.00274082691294
GYEONGGI,553.6387472720526,528.4831391715634,503.3275310710742,478.171922970585,453.0163148700958,427.8607067696066,402.70509866911016,377.54949056862097,352.3938824681318,327.2382743676426,302.0826662671534,276.9270581666642,251.77145006617502,226.61584196568583,201.46023386518937,176.30462576470018,151.149017664211,125.9934095637218,100.83780146323261,75.68219336274342,50.52658526225423,25.370977161757764,0.21536906126857502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GANGWON,41.155298411764306,35.029219921569165,28.903141431372205,22.777062941177064,16.650984450980104,10.524905960784963,4.398827470588003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
