AREA,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075
SEOUL,9352243,9182370,8902713,8590442,8257722,7904554,7530939,7136874,6722364,6287404,5831997
BUSAN,3267305,3176493,3049008,2891636,2722412,2542212,2351037,2148887,1935762,1711658,1476578
DAEGU,2360381,2304147,2219645,2116904,2006389,1888104,1762045,1628215,1486612,1337237,1180090
INCHEON,2988676,2944203,2867386,2758226,2627212,2485409,2332816,2169434,1995262,1810301,1614550
GWANGJU,1413374,1386147,1340964,1284734,1224204,1159369,1090234,1016794,939054,857010,770665
DAEJEON,1437235,1411328,1366282,1311292,1252007,1188425,1120546,1048371,971900,891132,806067
ULSAN,1102191,1088583,1060787,1022502,981038,936589,889155,838737,785334,728946,669573
SEJONG,391562,406401,424450,445709,470178,497857,528746,562845,600154,640673,684402
GYEONGGI,13614986,13475981,13194951,12771896,12225623,11624579,10974905,10276602,9529669,8734106,7889914
GANGWON,1512253,1461739,1394614,1311773,1221248,1124943,1022861,915001,801362,681945,556750
CHUNGBUK,1581449,1538451,1476957,1398296,1312180,1220494,1123238,1020413,912018,798054,678520
CHUNGNAM,2112895,2051635,1964375,1854949,1736834,1611166,1477945,1337170,1188841,1032960,869525
JEONBUK,1733383,1663573,1573246,1475583,1372198,1263092,1148262,1027712,901438,769443,631726
JEONNAM,1780574,1706263,1610235,1500605,1385600,1265220,1139465,1008335,871830,729950,582695
GYEONGBUK,2524268,2425910,2294611,2145587,1987626,1820727,1644891,1460117,1266406,1063757,852171
GYEONGNAM,3224954,3128117,2988464,2830683,2662031,2482508,2292114,2090849,1878714,1655709,1421833
JEJU,672900,662181,644550,620006,588548,551437,511309,468246,422249,373317,321451
