AREA,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
ADD_UP,414.9024437647058,430.1649029137261,445.4273620627464,460.6898212117667,475.952280360787,491.21473950980726,506.4771986588239,521.7396578078442,537.0021169568645,552.2645761058848,567.5270352549051,582.7894944039217,598.051953552942,613.3144127019623,628.5768718509826,643.8393310000029,659.1017901490195,674.3642492980398,689.6267084470601,704.8891675960804,720.1516267451007,735.414085894121,750.6765450431376,765.9390041921579,781.2014633411782,796.4639224901985,811.7263816392187,826.9888407882354,842.2512999372557,857.513759086276,872.7762182352963,888.0386773843165,903.3011365333368,918.5635956823535,933.8260548313738,949.088513980394,964.3509731294143,979.6134322784346,994.8758914274513,1010.1383505764716,1025.4008097254919,1040.6632688745121,1055.9257280235324,1071.188187172549,1086.4506463215694,1101.7131054705897,1116.97556461961,1132.2380237686302,1147.5004829176505,1162.7629420666672,1178.0254012156875,1193.2878603647077
BUSAN,437.1102941176432,453.85588235293835,470.6014705882335,487.34705882352864,504.0926470588238,520.8382352941189,537.5838235294141,554.329411764702,571.0749999999971,587.8205882352922,604.5661764705874,621.3117647058825,638.0573529411777,654.8029411764728,671.5485294117607,688.2941176470558,705.039705882351,721.7852941176461,738.5308823529413,755.2764705882364,772.0220588235316,788.7676470588194,805.5132352941146,822.2588235294097,839.0044117647049,855.75,872.4955882352951,889.2411764705903,905.9867647058782,922.7323529411733,939.4779411764684,956.2235294117636,972.9691176470587,989.7147058823539,1006.460294117649,1023.2058823529369,1039.951470588232,1056.6970588235272,1073.4426470588223,1090.1882352941175,1106.9338235294126,1123.6794117647078,1140.4249999999956,1157.1705882352908,1173.916176470586,1190.661764705881,1207.4073529411762,1224.1529411764714,1240.8985294117665,1257.6441176470544,1274.3897058823495,1291.1352941176447
CHUNGBUK,250.14926470588216,257.52009803921464,264.89093137254895,272.26176470588143,279.63259803921574,287.0034313725482,294.3742647058825,301.745098039215,309.1159313725493,316.4867647058818,323.8575980392143,331.2284313725486,338.59926470588107,345.9700980392154,353.34093137254786,360.71176470588216,368.08259803921464,375.45343137254895,382.82426470588143,390.19509803921574,397.5659313725482,404.9367647058825,412.307598039215,419.6784313725493,427.0492647058818,434.4200980392143,441.7909313725486,449.16176470588107,456.5325980392154,463.90343137254786,471.27426470588216,478.64509803921464,486.01593137254895,493.38676470588143,500.75759803921574,508.1284313725482,515.4992647058825,522.870098039215,530.2409313725493,537.6117647058818,544.9825980392143,552.3534313725486,559.7242647058811,567.0950980392154,574.4659313725479,581.8367647058822,589.2075980392146,596.578431372549,603.9492647058814,611.3200980392157,618.6909313725482,626.0617647058825
CHUNGNAM,256.21544117647136,263.14460784313815,270.0737745098031,277.0029411764699,283.9321078431367,290.8612745098035,297.79044117647027,304.71960784313706,311.64877450980384,318.57794117647063,325.5071078431374,332.4362745098042,339.365441176471,346.2946078431378,353.22377450980457,360.15294117647136,367.08210784313815,374.0112745098031,380.9404411764699,387.8696078431367,394.7987745098035,401.72794117647027,408.65710784313706,415.58627450980384,422.51544117647063,429.4446078431374,436.3737745098042,443.302941176471,450.2321078431378,457.16127450980457,464.09044117647136,471.01960784313815,477.9487745098031,484.8779411764699,491.8071078431367,498.7362745098035,505.66544117647027,512.594607843137,519.5237745098038,526.4529411764706,533.3821078431374,540.3112745098042,547.240441176471,554.1696078431378,561.0987745098046,568.0279411764714,574.9571078431381,581.8862745098031,588.8154411764699,595.7446078431367,602.6737745098035,609.6029411764703
DAEGU,412.63014705882233,428.3093137254873,443.9884803921559,459.6676470588209,475.3468137254895,491.02598039215445,506.70514705882306,522.384313725488,538.0634803921566,553.7426470588216,569.4218137254866,585.1009803921552,600.7801470588201,616.4593137254888,632.1384803921537,647.8176470588223,663.4968137254873,679.1759803921559,694.8551470588209,710.5343137254895,726.2134803921545,741.8926470588231,757.571813725488,773.2509803921566,788.9301470588216,804.6093137254866,820.2884803921552,835.9676470588201,851.6468137254888,867.3259803921537,883.0051470588223,898.6843137254873,914.3634803921559,930.0426470588209,945.7218137254895,961.4009803921545,977.0801470588231,992.759313725488,1008.4384803921566,1024.1176470588216,1039.7968137254866,1055.4759803921552,1071.1551470588201,1086.8343137254888,1102.5134803921537,1118.1926470588223,1133.8718137254873,1149.550980392156,1165.2301470588209,1180.9093137254895,1196.5884803921545,1212.267647058823
DAEJEON,400.0823529411755,415.1019607843118,430.12156862744814,445.1411764705881,460.16078431372443,475.18039215686076,490.1999999999971,505.21960784313706,520.2392156862734,535.2588235294097,550.278431372546,565.298039215686,580.3176470588223,595.3372549019587,610.356862745095,625.376470588235,640.3960784313713,655.4156862745076,670.4352941176439,685.4549019607839,700.4745098039202,715.4941176470566,730.5137254901929,745.5333333333328,760.5529411764692,775.5725490196055,790.5921568627455,805.6117647058818,820.6313725490181,835.6509803921545,850.6705882352944,865.6901960784307,880.7098039215671,895.7294117647034,910.7490196078434,925.7686274509797,940.788235294116,955.8078431372523,970.8274509803923,985.8470588235286,1000.866666666665,1015.8862745098013,1030.9058823529413,1045.9254901960776,1060.945098039214,1075.9647058823502,1090.9843137254902,1106.0039215686265,1121.0235294117629,1136.0431372548992,1151.0627450980392,1166.0823529411755
GANGWON,251.39338235294053,260.6083333333336,269.823284313723,279.038235294116,288.25318627450906,297.4681372549021,306.6830882352915,315.89803921568455,325.1129901960776,334.32794117647063,343.54289215686003,352.7578431372531,361.9727941176461,371.18774509803916,380.40269607842856,389.6176470588216,398.83259803921464,408.0475490196077,417.2624999999971,426.47745098039013,435.6924019607832,444.9073529411762,454.1223039215656,463.33725490195866,472.5522058823517,481.76715686274474,490.9821078431378,500.1970588235272,509.4120098039202,518.6269607843133,527.8419117647063,537.0568627450957,546.2718137254888,555.4867647058818,564.7017156862748,573.9166666666642,583.1316176470573,592.3465686274503,601.5615196078434,610.7764705882328,619.9914215686258,629.2063725490189,638.4213235294119,647.6362745098013,656.8512254901943,666.0661764705874,675.2811274509804,684.4960784313698,693.7110294117629,702.9259803921559,712.140931372549,721.3558823529384
GWANGJU,346.7522058823524,361.2534313725482,375.754656862744,390.2558823529398,404.7571078431356,419.2583333333314,433.7595588235308,448.2607843137266,462.7620098039224,477.2632352941182,491.764460784314,506.2656862745098,520.7669117647056,535.2681372549014,549.7693627450972,564.270588235293,578.7718137254888,593.2730392156845,607.774264705884,622.2754901960798,636.7767156862756,651.2779411764714,665.7791666666672,680.280392156863,694.7816176470587,709.2828431372545,723.7840686274503,738.2852941176461,752.7865196078419,767.2877450980377,781.7889705882335,796.2901960784329,810.7914215686287,825.2926470588245,839.7938725490203,854.2950980392161,868.7963235294119,883.2975490196077,897.7987745098035,912.2999999999993,926.8012254901951,941.3024509803909,955.8036764705867,970.3049019607861,984.8061274509819,999.3073529411777,1013.8085784313735,1028.3098039215693,1042.811029411765,1057.3122549019608,1071.8134803921566,1086.3147058823524
GYEONGBUK,225.26838235294235,232.274019607843,239.27965686274547,246.28529411764794,253.2909313725504,260.29656862745105,267.3022058823535,274.307843137256,281.31348039215663,288.3191176470591,295.32475490196157,302.33039215686404,309.3360294117647,316.34166666666715,323.3473039215696,330.3529411764721,337.35857843137273,344.3642156862752,351.36985294117767,358.3754901960783,365.3811274509808,372.38676470588325,379.3924019607857,386.39803921568637,393.40367647058883,400.4093137254913,407.41495098039195,414.4205882352944,421.4262254901969,428.43186274509935,435.4375,442.44313725490247,449.44877450980493,456.4544117647056,463.46004901960805,470.4656862745105,477.471323529413,484.47696078431363,491.4825980392161,498.48823529411857,505.49387254902103,512.4995098039217,519.5051470588242,526.5107843137266,533.5164215686273,540.5220588235297,547.5276960784322,554.5333333333347,561.5389705882353,568.5446078431378,575.5502450980403,582.5558823529409
GYEONGGI,537.9875000000029,555.9004901960798,573.8134803921566,591.7264705882335,609.6394607843176,627.5524509803945,645.4654411764714,663.3784313725482,681.2914215686324,699.2044117647092,717.1174019607861,735.030392156863,752.9433823529398,770.856372549024,788.7693627451008,806.6823529411777,824.5953431372545,842.5083333333314,860.4213235294155,878.3343137254924,896.2473039215693,914.1602941176461,932.0732843137303,949.9862745098071,967.899264705884,985.8122549019608,1003.7252450980377,1021.6382352941218,1039.5512254901987,1057.4642156862756,1075.3772058823524,1093.2901960784366,1111.2031862745134,1129.1161764705903,1147.0291666666672,1164.942156862744,1182.8551470588282,1200.768137254905,1218.6811274509819,1236.5941176470587,1254.5071078431356,1272.4200980392197,1290.3330882352966,1308.2460784313735,1326.1590686274503,1344.0720588235345,1361.9850490196113,1379.8980392156882,1397.811029411765,1415.724019607842,1433.637009803926,1451.550000000003
