City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
BUSAN,13208.16176,12180.2451,11152.32843,10124.41176,9096.495098,8068.578431,7040.661765,6012.745098,4984.828431,3956.911765,2928.995098,1901.078431,873.1617647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUNGBUK,7349.852941,6832.823529,6315.794118,5798.764706,5281.735294,4764.705882,4247.676471,3730.647059,3213.617647,2696.588235,2179.558824,1662.529412,1145.5,628.4705882,111.4411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHUNGNAM,9790.323529,9052.470588,8314.617647,7576.764706,6838.911765,6101.058824,5363.205882,4625.352941,3887.5,3149.647059,2411.794118,1673.941176,936.0882353,198.2352941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAEGU,9471.933824,8652.102941,7832.272059,7012.441176,6192.610294,5372.779412,4552.948529,3733.117647,2913.286765,2093.455882,1273.625,453.7941176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DAEJEON,6485.588235,5888.647059,5291.705882,4694.764706,4097.823529,3500.882353,2903.941176,2307,1710.058824,1113.117647,516.1764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GANGWON,6268.661765,5835.343137,5402.02451,4968.705882,4535.387255,4102.068627,3668.75,3235.431373,2802.112745,2368.794118,1935.47549,1502.156863,1068.838235,635.5196078,202.2009804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GWANGJU,6264.080882,5717.946078,5171.811275,4625.676471,4079.541667,3533.406863,2987.272059,2441.137255,1895.002451,1348.867647,802.7328431,256.5980392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEONGBUK,10434.76471,9465.588235,8496.411765,7527.235294,6558.058824,5588.882353,4619.705882,3650.529412,2681.352941,1712.176471,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEONGGI,68447.09559,64711.30882,60975.52206,57239.73529,53503.94853,49768.16176,46032.375,42296.58824,38560.80147,34825.01471,31089.22794,27353.44118,23617.65441,19881.86765,16146.08088,12410.29412,8674.507353,4938.720588,1202.933824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GYEONGNAM,13261.32353,11906.09804,10550.87255,9195.647059,7840.421569,6485.196078,5129.970588,3774.745098,2419.519608,1064.294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
