AREA,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,0.19,0.4,0.63,0.87,1.14,1.42,1.72,2.04,2.38,2.74,3.12,3.52,3.94,4.38,4.85,5.33,5.83,6.35,6.89,7.45,8.03,8.64,9.26,9.9,10.57,11.26,11.96,12.69,13.45,14.22,15.02,15.84,16.68,17.55,18.45,19.37,20.31,21.28,22.28,23.3,24.36,25.44,26.55,27.69,28.86,30.07,31.3,32.57,33.87,35.21,36.58,37.99
BUSAN,0.43,0.89,1.35,1.84,2.34,2.86,3.42,4.0,4.61,5.25,5.92,6.62,7.36,8.12,8.92,9.75,10.61,11.51,12.44,13.41,14.41,15.45,16.53,17.65,18.8,20.0,21.24,22.53,23.85,25.23,26.65,28.13,29.65,31.22,32.85,34.54,36.28,38.09,39.96,41.89,43.89,45.95,48.1,50.31,52.6,54.98,57.44,59.98,62.62,65.35,68.18,71.11
DAEGU,0.33,0.68,1.06,1.46,1.88,2.33,2.81,3.32,3.86,4.43,5.04,5.67,6.35,7.05,7.8,8.57,9.39,10.24,11.12,12.05,13.02,14.02,15.07,16.16,17.3,18.48,19.71,20.98,22.31,23.69,25.12,26.6,28.14,29.75,31.41,33.13,34.92,36.78,38.71,40.71,42.79,44.95,47.19,49.51,51.92,54.43,57.03,59.73,62.53,65.45,68.47,71.61
INCHEON,0.15,0.32,0.5,0.7,0.92,1.16,1.43,1.74,2.09,2.47,2.9,3.35,3.85,4.39,4.97,5.58,6.24,6.94,7.69,8.48,9.32,10.21,11.14,12.13,13.17,14.27,15.43,16.64,17.92,19.26,20.67,22.16,23.72,25.35,27.07,28.87,30.77,32.76,34.84,37.04,39.34,41.76,44.3,46.96,49.77,52.71,55.81,59.07,62.49,66.09,69.88,73.86
GWANGJU,0.22,0.46,0.72,1.0,1.31,1.64,2.0,2.39,2.81,3.26,3.74,4.25,4.79,5.37,5.97,6.61,7.28,7.99,8.73,9.51,10.32,11.18,12.07,13.0,13.97,14.99,16.05,17.16,18.31,19.51,20.77,22.07,23.43,24.85,26.33,27.87,29.47,31.14,32.89,34.7,36.59,38.56,40.61,42.75,44.97,47.3,49.72,52.24,54.88,57.62,60.49,63.48
DAEJEON,0.16,0.34,0.53,0.75,0.99,1.24,1.52,1.84,2.18,2.56,2.96,3.39,3.86,4.35,4.87,5.43,6.01,6.63,7.27,7.95,8.66,9.41,10.18,10.99,11.84,12.71,13.63,14.58,15.57,16.59,17.66,18.76,19.91,21.09,22.32,23.6,24.92,26.28,27.7,29.16,30.67,32.24,33.86,35.53,37.27,39.06,40.91,42.83,44.81,46.86,48.97,51.16
ULSAN,0.11,0.23,0.36,0.51,0.67,0.85,1.06,1.3,1.56,1.84,2.16,2.49,2.86,3.25,3.66,4.1,4.57,5.06,5.58,6.12,6.69,7.28,7.91,8.56,9.23,9.94,10.67,11.43,12.23,13.05,13.9,14.78,15.7,16.64,17.63,18.64,19.69,20.78,21.91,23.07,24.27,25.52,26.8,28.13,29.51,30.93,32.4,33.92,35.49,37.12,38.8,40.54
SEJONG,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.23,0.87,1.62,2.48,3.46,4.58,5.84,7.26,8.86,10.65,12.65,14.88,17.38,20.16,23.26,26.71,30.55,34.82,39.58,44.88,50.78,57.34,64.65,72.79,81.85,91.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
GYEONGGI,0.08,0.17,0.28,0.42,0.57,0.75,0.95,1.19,1.47,1.77,2.11,2.48,2.89,3.33,3.81,4.32,4.87,5.46,6.08,6.75,7.46,8.21,9.0,9.84,10.72,11.65,12.63,13.66,14.75,15.89,17.09,18.35,19.67,21.06,22.51,24.04,25.64,27.33,29.09,30.94,32.88,34.91,37.05,39.28,41.63,44.09,46.68,49.39,52.24,55.22,58.36,61.65
GANGWON,0.55,1.12,1.71,2.32,2.96,3.62,4.31,5.03,5.79,6.57,7.39,8.23,9.12,10.03,10.98,11.96,12.98,14.04,15.13,16.26,17.42,18.63,19.88,21.17,22.51,23.89,25.31,26.78,28.31,29.88,31.5,33.18,34.92,36.71,38.57,40.49,42.47,44.52,46.64,48.83,51.1,53.45,55.89,58.41,61.01,63.72,66.52,69.42,72.43,75.54,78.78,82.13
