AREA,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075
SEOUL,0.4,1.72,3.52,5.83,8.64,11.96,15.84,20.31,25.44,31.3,37.99
BUSAN,0.89,3.42,6.62,10.61,15.45,21.24,28.13,36.28,45.95,57.44,71.11
DAEGU,0.68,2.81,5.67,9.39,14.02,19.71,26.6,34.92,44.95,57.03,71.61
INCHEON,0.32,1.43,3.35,6.24,10.21,15.43,22.16,30.77,41.76,55.81,73.86
GWANGJU,0.46,2,4.25,7.28,11.18,16.05,22.07,29.47,38.56,49.72,63.48
DAEJEON,0.34,1.52,3.39,6.01,9.41,13.63,18.76,24.92,32.24,40.91,51.16
ULSAN,0.23,1.06,2.49,4.57,7.28,10.67,14.78,19.69,25.52,32.4,40.54
SEJONG,0.01,0.01,0.01,0.23,4.58,12.65,26.71,50.78,91.96,100,100
GYEONGGI,0.17,0.95,2.48,4.87,8.21,12.63,18.35,25.64,34.91,46.68,61.65
GANGWON,1.12,4.31,8.23,12.98,18.63,25.31,33.18,42.47,53.45,66.52,82.13
CHUNGBUK,0.86,3.48,6.9,11.23,16.58,23.08,30.93,40.4,51.83,65.65,82.46
CHUNGNAM,0.92,3.66,7.22,11.72,17.27,23.98,32.04,41.67,53.16,66.87,83.24
JEONBUK,1.25,4.79,9.1,14.31,20.54,27.91,36.62,46.89,59.01,73.34,90.31
JEONNAM,1.37,5.16,9.76,15.34,21.98,29.8,38.96,49.65,62.11,76.63,93.56
GYEONGBUK,1.21,4.65,8.86,13.97,20.08,27.3,35.8,45.78,57.48,71.23,87.4
GYEONGNAM,0.9,3.5,6.81,10.9,15.85,21.78,28.83,37.18,47.08,58.84,72.84
JEJU,0.51,2.04,4.33,7.71,12.29,18.28,25.94,35.65,47.89,63.33,82.83
