City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,1414003.5374084613,1407254.8260915847,1400003.960329868,1392365.8535867152,1384431.8129333272,1376274.4213634036,1360276.082103235,1343593.5420892036,1326473.1697779451,1309096.9289427067,1291598.6995674886,1274076.5926638192,1256602.1838388033,1239227.404666276,1221989.6685338498,1204915.6737059928,1188024.219692434,1171328.290004694,1154836.5907736525,1138554.6864799634,1122485.837774146,1106631.619225872,1090992.3746223361,1075567.5524148091,1060355.9527780784,1045355.9095072518,1030565.4238853379,1015982.2631565764,1001604.0329204599,987428.2303122561,973452.2830298427,959673.5779352557,946089.4819780482,932697.3574643602,919494.5731627381,906478.512345104,893646.5785720177,880996.1998182574,868524.8313777585,856229.9578712963,844109.0945950975,832159.7883858151,820379.6181310619,808766.1950206514,797317.1626086062,786030.1967375159,774903.0053632176,763933.3283077455,753118.9369611129,742457.6339470452,731947.252763786,721585.6574081361
BUSAN,366604.8819470111,361663.2155751649,357027.7770166931,352628.36232212663,348396.5119460596,344275.3337135774,335827.1160801827,327735.7490221423,319853.9209283128,312089.76160715095,304406.0620131782,296806.9893013677,289320.1058339759,281979.6967094958,274814.8840658838,267843.5608167991,261071.3763618183,254494.07329472352,248101.31890997852,241880.53522585178,235819.81287303267,229909.56746268447,224143.0280509548,218515.89011542685,213025.53613292598,207670.17498210477,202448.13601365717,197357.42626517825,192395.5548412149,187559.56314120497,182846.17404924709,178251.97823820903,173773.5983928519,169407.80021730348,165151.5437768147,161001.9854458253,156956.44857387996,153012.38148705312,149167.31731435444,145418.8441316271,141764.5881981664,138202.20888004982,134729.40161606195,131343.9047739607,128043.50692255834,124826.0522908527,121689.44348352979,118631.64154278267,115650.6640528114,112744.58219024345,109911.51753536957,107149.63921013499
DAEGU,261825.45371837224,259454.3885129296,256984.40567100106,254359.91697554718,251598.07962711598,248749.1594532155,243207.22959133502,237506.18705989709,231737.74307158325,226024.42804636186,220456.44195905072,215072.53082088396,209870.20985461693,204826.4991075111,199915.88043470634,195120.09927093642,190430.28145626283,185844.4746304209,181363.85534718804,176989.70333494863,172721.89406757298,168558.70858523136,164497.36401880285,160534.69858646602,156667.6738209762,152893.59685968675,149210.12046729444,145615.13299259133,142106.635060477,138682.65573313032,135341.21927077265,132080.3489136591,128898.08704483123,125792.51539414008,122761.76722439939,119804.0305601132,116917.54538248079,114100.59851619769,111351.51892408903,108668.67460385126,106050.47108058583,103495.35089916381,101001.79345427203,98568.31471279124,96193.46665772016,93875.83648238935,91614.0456510345,89406.7489408991,87252.63353699155,85150.41820191868,83098.85251058252,81096.71612712284
INCHEON,369945.35054924065,368392.81649634993,366806.18611412356,365182.2861726406,363549.5493298999,361917.40691598743,358680.6135259568,355427.5690780406,352180.19846710586,348962.497518297,345774.19515419286,342615.02277407626,339484.71423130535,336383.00581089227,333309.63620728586,330264.346502358,327246.88014359097,324256.98292246397,321294.4029530368,318358.89065073023,315450.19871129893,312568.0820899975,309712.2979809363,306882.6057966266,304078.76714771125,301300.54582288227,298547.7077689805,295820.02107127797,293117.2559339399,290439.1846606653,287785.5816355049,285156.22330385365,282550.8881536173,279969.356696551,277411.41144976835,274876.8369174194,272365.419572536,269876.9478390433,267411.2120739348,264968.0045496117,262547.1194363821,260148.3527851208,257771.50251008768,255416.36837190285,253082.7519606771,250770.45667929688,248479.28772686198,246209.05208227402,243959.5584879757,241730.61743383782,239522.04114119415,237333.64354702146
GWANGJU,172590.19417775332,170262.8628228238,168105.30969752616,166080.37119882743,164160.7862029722,162326.37125792148,158557.35909468305,155054.3267131771,151748.79417934353,148594.648183345,145560.61753721168,142625.33693672987,139774.08015225525,136996.58462124967,134285.59650380726,131635.89462009628,129043.63424016857,126505.90523334163,124020.43421744886,121585.38360163629,119199.21590074767,116860.60205455315,114568.35943093698,112321.40986089413,110118.75119587297,107959.43799558004,105842.56838219771,103767.27506018757,101732.71915085679,99738.08592960401,97782.58184994962,95865.43243842675,93985.88077943547,92143.18640033586,90336.6244286246,88565.48493461551,86829.07240112219,85126.70528060099,83457.71561301898,81821.44868635888,80217.26272751411,78644.52861527207,77102.62960974885,75590.96109443808,74108.93032825367,72655.95620576746,71231.46902439893,69834.91025768967,68465.73233404983,67123.39842053552,65807.38221133397,64517.167720711725
DAEJEON,181899.65131664902,180371.0538817685,178781.38748447536,177191.13185390935,175612.17017818222,174048.2894343209,170934.51856365622,167837.3987561461,164796.3948881354,161810.49020894547,158878.68639014912,156000.0031917823,153173.47813460388,150398.16617829338,147673.13940547965,144997.48671149445,142370.31349974722,139790.74138261934,137257.90788777784,134770.96616981042,132329.08472708502,129931.4471237398,127577.25171671012,125265.71138770174,122996.0532800199,120767.51854016713,118579.36206412276,116430.85224821954,114321.27074453425,112249.91222071,110216.08412413065,108219.10645036768,106258.31151582283,104333.0437344901,102442.65939876229,100586.52646420956,98764.02433825702,96974.54367269143,95217.48615992756,93492.26433296576,91798.30136897399,90135.03089642896,88501.89680575138,86898.35306337244,85323.86352916904,83777.90177720688,82259.95091973162,80769.5034343489,79306.06099433571,77869.13430202639,76458.24292521733,75072.91513653594
ULSAN,112810.16522246327,111118.01274412632,109459.7033153561,107868.67602251726,106553.93112871566,105439.56635687318,103071.21569865376,101051.56238407204,99336.84437892721,97847.73901554807,96332.63999552012,94690.0299784455,92864.36819862541,90844.07347496376,88653.9412543403,86343.8929786606,83976.37338690816,81614.61205012305,79313.40546094428,77113.27159566984,75038.03957965598,73095.35375351965,71279.26439230061,69574.012985116,67958.21433608938,66408.80743404513,64904.33588059686,63427.29943001168,61965.48119483374,60512.29576721444,59066.315778379016,57630.21037322844,56209.36267194006,54810.424226516276,53440.01979833308,52103.74843277768,50805.552103364345,49547.45488778201,48329.62312753502,47150.66445364849,46008.07052278192,44898.71141382076,43819.30416606396,42766.79906933793,41738.65079049535,40732.96383389551,39748.520691767204,38784.71476161862,37841.41800372088,36918.81553204837,36017.23673539122,35137.00646389888
SEJONG,47178.47308754379,46470.79599123063,45777.27243684374,45097.58396968977,44431.41977798801,43778.47650179761,42465.12220674368,41191.16854054137,39955.43348432513,38756.77047979537,37594.06736540151,36466.245344439456,35372.257984106276,34311.09024458308,33281.75753724559,32283.304811128222,31314.80566679437,30375.361496790545,29464.100651886823,28580.17763233022,27722.77230336031,26891.0891342595,26084.356460231716,25301.82576642476,24542.770993432016,23806.487863629052,23092.29322772018,22399.524430888578,21727.53869796192,21075.712537023064,20443.44116091237,19830.137926084997,19235.23378830245,18658.176774653377,18098.431471413776,17555.47852727136,17028.81417145322,16517.949746309623,16022.411253920336,15541.738916302726,15075.486748813642,14623.222146349233,14184.525481958757,13758.989717499993,13346.220025974993,12945.833425195742,12557.458422439871,12180.734669766674,11815.312629673674,11460.853250783462,11117.027653259958,10783.51682366216
GYEONGGI,1674166.5830267717,1662924.3487169533,1654606.5696454986,1648562.3662601279,1643986.3590434853,1640148.5876552686,1630238.7048076943,1622717.8710716367,1615878.0514701752,1608566.9859597643,1600306.2602537319,1591148.2526970345,1581428.027052189,1571532.3810955079,1561752.5346371338,1552232.0752147513,1542985.4993718478,1533950.2382074476,1525040.5455137554,1516185.0907376858,1507343.396889016,1498505.1721024432,1489680.260060858,1480886.5428884523,1472140.5739406107,1463452.749880882,1454826.580176744,1446260.489253014,1437750.460015305,1429292.30042716,1420882.9712447778,1412520.9611998287,1404206.0075876138,1395938.5393975934,1387719.143546183,1379548.215377398,1371425.824682201,1363351.7455872616,1355325.5687481626,1347346.8236868668,1339415.0675496317,1331529.9265424088,1323691.097524898,1315898.3267460738,1308151.3825820575,1300450.03365732,1292794.0370041355,1285183.135649026,1277617.0622577304,1270095.545005068,1262618.3128056403,1255185.0985043186
GANGWON,143462.01939877524,141698.4304720626,140092.96310750718,138543.6761474,137029.8907713445,135544.47716472566,132521.20803485907,129630.13041386272,126802.12443199923,124035.81412079441,121329.85352984986,118682.92607196972,116093.7438825742,113561.04719308804,111083.60371799924,108660.2080552895,106289.68109994497,103970.86947026181,101702.64494666753,99483.90392278474,97313.56686847069,95190.57780457112,93113.90378913264,91082.53441482421,89095.48131732254,87151.77769442278,85250.47783564003,83390.65666207338,81571.40927630781,79791.85052213592,78051.11455388431,76348.3544151358,74682.74162664208,73053.46578322657,71459.73415948109,69900.77132406473,68375.81876241717,66884.1345077028,65424.9927798062,63997.68363220327,62601.512606536206,61235.80039472426,59899.88250844588,58593.108955831376,57314.8439252089,56064.46547574983,54841.3652348629,53644.94810219012,52474.63196006019,51329.84739025878,50210.03739697756,49114.65713580753
