City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,2319630.985,2354425.45,2389915.804,2426117.705,2463047.186,2500720.665,2575742.285,2653014.554,2732604.99,2814583.14,2899020.634,2985991.253,3075570.991,3167838.12,3262873.264,3360759.462,3461582.246,3565429.713,3672392.605,3782564.383,3896041.314,4012922.554,4133310.23,4257309.537,4385028.823,4516579.688,4652077.079,4791639.391,4935388.573,5083450.23,5235953.737,5393032.349,5554823.319,5721468.019,5893112.06,6069905.421,6252002.584,6439562.662,6632749.541,6831732.028,7036683.988,7247784.508,7465218.043,7689174.585,7919849.822,8157445.317,8402168.676,8654233.737,8913860.749,9181276.571,9456714.868,9740416.314
BUSAN,991872.9873,1006751.082,1021926.739,1037406.653,1053197.679,1069306.839,1101386.044,1134427.626,1168460.454,1203514.268,1239619.696,1276808.287,1315112.536,1354565.912,1395202.889,1437058.976,1480170.745,1524575.867,1570313.143,1617422.538,1665945.214,1715923.57,1767401.277,1820423.316,1875036.015,1931287.095,1989225.708,2048902.48,2110369.554,2173680.641,2238891.06,2306057.792,2375239.525,2446496.711,2519891.612,2595488.361,2673353.012,2753553.602,2836160.21,2921245.016,3008882.367,3099148.838,3192123.303,3287887.002,3386523.612,3488119.32,3592762.9,3700545.787,3811562.161,3925909.025,4043686.296,4164996.885
DAEGU,652110.3989,661892.0548,671869.3439,682046.6679,692428.5341,703019.5583,724110.145,745833.4494,768208.4529,791254.7064,814992.3476,839442.1181,864625.3816,890564.1431,917281.0673,944799.4994,973143.4843,1002337.789,1032407.923,1063380.16,1095281.565,1128140.012,1161984.212,1196843.739,1232749.051,1269731.522,1307823.468,1347058.172,1387469.917,1429094.015,1471966.835,1516125.84,1561609.616,1608457.904,1656711.641,1706412.99,1757605.38,1810333.541,1864643.548,1920582.854,1978200.34,2037546.35,2098672.74,2161632.923,2226481.91,2293276.368,2362074.659,2432936.898,2505925.005,2581102.756,2658535.838,2738291.913
INCHEON,672330.9495,682415.9138,692702.5773,703195.4784,713899.2641,724818.6933,746563.2541,768960.1517,792028.9562,815789.8249,840263.5197,865471.4253,891435.568,918178.6351,945723.9941,974095.7139,1003318.585,1033418.143,1064420.687,1096353.308,1129243.907,1163121.224,1198014.861,1233955.307,1270973.966,1309103.185,1348376.281,1388827.569,1430492.396,1473407.168,1517609.383,1563137.664,1610031.794,1658332.748,1708082.731,1759325.213,1812104.969,1866468.118,1922462.162,1980136.026,2039540.107,2100726.31,2163748.1,2228660.543,2295520.359,2364385.97,2435317.549,2508377.075,2583628.388,2661137.239,2740971.356,2823200.497
GWANGJU,320268.8189,325072.8512,329972.9641,334971.3195,340070.1311,345271.6656,355629.8156,366298.7101,377287.6714,388606.3015,400264.4906,412272.4253,424640.5981,437379.816,450501.2105,464016.2468,477936.7342,492274.8362,507043.0813,522254.3737,537922.005,554059.6651,570681.4551,587801.8987,605435.9557,623599.0343,642307.0054,661576.2155,681423.502,701866.2071,722922.1933,744609.8591,766948.1548,789956.5995,813655.2975,838064.9564,863206.9051,889103.1122,915776.2056,943249.4918,971546.9765,1000693.386,1030714.187,1061635.613,1093484.681,1126289.222,1160077.899,1194880.235,1230726.643,1267648.442,1305677.895,1344848.232
DAEJEON,333293.8296,338293.237,343392.6326,348594.2661,353900.4412,359313.517,370092.9225,381195.7101,392631.5814,404410.5289,416542.8448,429039.1301,441910.304,455167.6131,468822.6415,482887.3208,497373.9404,512295.1586,527664.0134,543493.9338,559798.7518,576592.7143,593890.4958,611707.2106,630058.4269,648960.1798,668428.9851,688481.8547,709136.3103,730410.3997,752322.7116,774892.393,798139.1648,822083.3397,846745.8399,872148.2151,898312.6616,925262.0414,953019.9027,981610.4997,1011058.815,1041390.579,1072632.297,1104811.265,1137955.603,1172094.272,1207257.1,1243474.813,1280779.057,1319202.429,1358778.502,1399541.857
ULSAN,227406.0925,230817.1839,234296.4971,237845.5672,241465.9658,245159.3028,252514.0819,260089.5043,267892.1894,275928.9551,284206.8238,292733.0285,301515.0193,310560.4699,319877.284,329473.6025,339357.8106,349538.5449,360024.7013,370825.4423,381950.2056,393408.7118,405210.9731,417367.3023,429888.3214,442784.971,456068.5202,469750.5758,483843.093,498358.3858,513309.1374,528708.4115,544569.6639,560906.7538,577733.9564,595065.9751,612917.9543,631305.493,650244.6578,669751.9975,689844.5574,710539.8941,731856.091,753811.7737,776426.1269,799718.9107,823710.478,848421.7924,873874.4461,900090.6795,927093.3999,954906.2019
SEJONG,59186.57485,60074.37348,60979.92807,61903.63815,62845.9128,63807.17097,65721.38609,67693.02768,69723.81851,71815.53306,73969.99905,76189.09903,78474.772,80829.01516,83253.88561,85751.50218,88324.04725,90973.76866,93702.98172,96514.07117,99409.49331,102391.7781,105463.5315,108627.4374,111886.2605,115242.8483,118700.1338,122261.1378,125928.9719,129706.8411,133598.0463,137605.9877,141734.1673,145986.1924,150365.7781,154876.7515,159523.054,164308.7456,169238.008,174315.1483,179544.6027,184930.9408,190478.869,196193.2351,202079.0321,208141.4031,214385.6452,220817.2145,227441.731,234264.9829,241292.9324,248531.7204
GYEONGGI,2898937.851,2942421.919,2986775.668,3032018.667,3078170.952,3125253.042,3219010.633,3315580.952,3415048.381,3517499.832,3623024.827,3731715.572,3843667.039,3958977.05,4077746.362,4200078.753,4326081.115,4455863.549,4589539.455,4727225.639,4869042.408,5015113.68,5165567.091,5320534.103,5480150.126,5644554.63,5813891.269,5988308.007,6167957.247,6352995.965,6543585.844,6739893.419,6942090.222,7150352.928,7364863.516,7585809.422,7813383.704,8047785.215,8289218.772,8537895.335,8794032.195,9057853.161,9329588.756,9609476.418,9897760.711,10194693.53,10500534.34,10815550.37,11140016.88,11474217.39,11818443.91,12172997.22
GANGWON,517392.5534,525153.4418,533069.5478,541144.3641,549381.4667,557784.5178,574518.0533,591753.5949,609506.2028,627791.3889,646625.1305,666023.8844,686004.601,706584.739,727782.2812,749615.7496,772104.2221,795267.3488,819125.3692,843699.1303,869010.1042,895080.4073,921932.8196,949590.8041,978078.5283,1007420.884,1037643.511,1068772.816,1100836,1133861.08,1167876.913,1202913.22,1239000.617,1276170.635,1314455.754,1353889.427,1394506.11,1436341.293,1479431.532,1523814.478,1569528.912,1616614.78,1665113.223,1715066.62,1766518.618,1819514.177,1874099.602,1930322.59,1988232.268,2047879.236,2109315.613,2172595.081
