City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,57393.47606038901,56532.57391948317,55688.88982139545,54862.03636016244,54051.63542756386,53257.31798067895,51659.598441258575,50109.81048802082,48606.516173380194,47575.08814936007,47036.53204438397,46989.91957323028,47309.535653542516,47756.11873873274,48266.6840713846,48403.77136852225,48174.934671216295,47632.34277365537,46957.72695613035,46436.59411171279,46158.79584506463,46138.52260562894,46327.70479760861,46640.463692123216,46980.19162311346,47263.21714443665,47435.059128089495,47477.3248208653,47405.25010036575,47257.8626368916,47084.25453214894,46930.00337219283,46827.10004104892,46789.17592565282,46812.05765089509,46878.34845701377,46964.09767919578,47045.606687640386,47104.82257042637,47132.39180062965,47128.1298450153,47099.28115951474,47057.384324734456,47014.74044736917,46981.394852615114,46963.244497865504,46961.4914539621,46973.29778131356,46993.24556598912,47015.102037269775,47033.42257630248,47044.65549072649
BUSAN,10102.960339722513,10003.248920364216,9913.839568775873,9833.44278803891,9760.96001526825,9695.450323555413,9558.29446257196,9441.877777352698,9342.869290554083,9258.523047901532,9186.562912557001,9125.093018240357,9072.52748643975,9027.534760602219,8988.99314368231,8955.95500559612,8927.617761696996,8903.300185408241,8882.422957718925,8864.492608098744,8849.088189826083,8835.850174926562,8824.471162130807,8814.688074279662,8806.275585807723,8799.04057097566,8792.817402820005,8787.463963880256,8782.858254536914,8778.8955046697,8775.485710395207,8772.551530684372,8770.026489317948,8767.853436395735,8765.98323084727,8764.373611391702,8762.988228393287,8761.795813239563,8760.76946537769,8759.886040097905,8759.125622646196,8758.471076358199,8757.90765429555,8757.42266538638,8757.005187365767,8756.645819915007,8756.336472340257,8756.070180935576,8755.840951863634,8755.643625976507,8755.473762503727,8755.327538967504
DAEGU,10102.960339722513,10003.248920364216,9913.839568775873,9833.44278803891,9760.96001526825,9695.450323555413,9558.29446257196,9441.877777352698,9342.869290554083,9258.523047901532,9186.562912557001,9125.093018240357,9072.52748643975,9027.534760602219,8988.99314368231,8955.95500559612,8927.617761696996,8903.300185408241,8882.422957718925,8864.492608098744,8849.088189826083,8835.850174926562,8824.471162130807,8814.688074279662,8806.275585807723,8799.04057097566,8792.817402820005,8787.463963880256,8782.858254536914,8778.8955046697,8775.485710395207,8772.551530684372,8770.026489317948,8767.853436395735,8765.98323084727,8764.373611391702,8762.988228393287,8761.795813239563,8760.76946537769,8759.886040097905,8759.125622646196,8758.471076358199,8757.90765429555,8757.42266538638,8757.005187365767,8756.645819915007,8756.336472340257,8756.070180935576,8755.840951863634,8755.643625976507,8755.473762503727,8755.327538967504
INCHEON,10102.960339722513,10003.248920364216,9913.839568775873,9833.44278803891,9760.96001526825,9695.450323555413,9558.29446257196,9441.877777352698,9342.869290554083,9258.523047901532,9186.562912557001,9125.093018240357,9072.52748643975,9027.534760602219,8988.99314368231,8955.95500559612,8927.617761696996,8903.300185408241,8882.422957718925,8864.492608098744,8849.088189826083,8835.850174926562,8824.471162130807,8814.688074279662,8806.275585807723,8799.04057097566,8792.817402820005,8787.463963880256,8782.858254536914,8778.8955046697,8775.485710395207,8772.551530684372,8770.026489317948,8767.853436395735,8765.98323084727,8764.373611391702,8762.988228393287,8761.795813239563,8760.76946537769,8759.886040097905,8759.125622646196,8758.471076358199,8757.90765429555,8757.42266538638,8757.005187365767,8756.645819915007,8756.336472340257,8756.070180935576,8755.840951863634,8755.643625976507,8755.473762503727,8755.327538967504
GWANGJU,10102.960339722513,10003.248920364216,9913.839568775873,9833.44278803891,9760.96001526825,9695.450323555413,9558.29446257196,9441.877777352698,9342.869290554083,9258.523047901532,9186.562912557001,9125.093018240357,9072.52748643975,9027.534760602219,8988.99314368231,8955.95500559612,8927.617761696996,8903.300185408241,8882.422957718925,8864.492608098744,8849.088189826083,8835.850174926562,8824.471162130807,8814.688074279662,8806.275585807723,8799.04057097566,8792.817402820005,8787.463963880256,8782.858254536914,8778.8955046697,8775.485710395207,8772.551530684372,8770.026489317948,8767.853436395735,8765.98323084727,8764.373611391702,8762.988228393287,8761.795813239563,8760.76946537769,8759.886040097905,8759.125622646196,8758.471076358199,8757.90765429555,8757.42266538638,8757.005187365767,8756.645819915007,8756.336472340257,8756.070180935576,8755.840951863634,8755.643625976507,8755.473762503727,8755.327538967504
DAEJEON,10102.960339722513,10003.248920364216,9913.839568775873,9833.44278803891,9760.96001526825,9695.450323555413,9558.29446257196,9441.877777352698,9342.869290554083,9258.523047901532,9186.562912557001,9125.093018240357,9072.52748643975,9027.534760602219,8988.99314368231,8955.95500559612,8927.617761696996,8903.300185408241,8882.422957718925,8864.492608098744,8849.088189826083,8835.850174926562,8824.471162130807,8814.688074279662,8806.275585807723,8799.04057097566,8792.817402820005,8787.463963880256,8782.858254536914,8778.8955046697,8775.485710395207,8772.551530684372,8770.026489317948,8767.853436395735,8765.98323084727,8764.373611391702,8762.988228393287,8761.795813239563,8760.76946537769,8759.886040097905,8759.125622646196,8758.471076358199,8757.90765429555,8757.42266538638,8757.005187365767,8756.645819915007,8756.336472340257,8756.070180935576,8755.840951863634,8755.643625976507,8755.473762503727,8755.327538967504
ULSAN,10102.960339722513,10003.248920364216,9913.839568775873,9833.44278803891,9760.96001526825,9695.450323555413,9558.29446257196,9441.877777352698,9342.869290554083,9258.523047901532,9186.562912557001,9125.093018240357,9072.52748643975,9027.534760602219,8988.99314368231,8955.95500559612,8927.617761696996,8903.300185408241,8882.422957718925,8864.492608098744,8849.088189826083,8835.850174926562,8824.471162130807,8814.688074279662,8806.275585807723,8799.04057097566,8792.817402820005,8787.463963880256,8782.858254536914,8778.8955046697,8775.485710395207,8772.551530684372,8770.026489317948,8767.853436395735,8765.98323084727,8764.373611391702,8762.988228393287,8761.795813239563,8760.76946537769,8759.886040097905,8759.125622646196,8758.471076358199,8757.90765429555,8757.42266538638,8757.005187365767,8756.645819915007,8756.336472340257,8756.070180935576,8755.840951863634,8755.643625976507,8755.473762503727,8755.327538967504
SEJONG,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
GYEONGGI,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
GANGWON,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
CHUNGBUK,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
CHUNGNAM,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
JEONBUK,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
JEONNAM,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
GYEONGBUK,14627.938041439496,14465.23429891414,14314.655325318925,14175.057065728242,14045.428475961144,13924.872897365238,13676.701544282434,13455.421954556403,13257.796938730613,13081.035706341123,12922.722702581044,12780.75937129748,12653.316232186777,12538.793235517303,12435.78679680005,12343.06225100717,12259.530726442827,12184.229640812378,12116.30618023526,12055.003246235516,11999.647453891339,11949.638842211776,11904.442019909859,11863.57851948237,11826.62017252244,11793.183351520702,11762.923949637981,11735.532991294463,11710.732783887312,11688.273535285509,11667.930373561781,11649.500715187647,11632.801936021488,11617.66930616825,11603.954155428568,11591.522240783806,11580.252291341843,11570.034709526752,11560.770410139836,11552.369781336232,11544.751753621402,11537.842964733301,11531.577009787057,11525.8937673589,11520.738793307703,11516.062775103317,11511.821040273157,11507.973113311527,11504.482316035763,11501.315406932497,11498.442255528003,11495.835548247414
