City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,52232.52005459512,52596.08342060551,52980.35569388106,53376.13321972425,53781.72159440236,54196.68188482515,55019.00689517685,55874.0390667807,56756.292775920956,57666.560977523666,58605.66195703251,59574.440132765594,60573.7668000267,61604.540910709155,62667.689952298024,63764.170715532644,64894.97022295533,66061.1066067298,67263.63006420524,68503.62376124508,69782.20488612354,71100.52564811098,72459.77428794044,73861.17624704132,75305.99521075562,76795.53431626645,78331.13731071273,79914.18979592275,81546.12051947255,83228.40263440262,84962.55509668111,86750.14402390791,88592.7841490114,90492.14030810908,92449.92893458753,94467.91965513592,96547.93694827287,98691.86175421576,100901.63322345266,103179.25056108783,105526.77474462154,107946.33054705852,110440.10838639972,113010.36641366294,115659.43252569917,118389.70658262388,121203.66254489869,124103.85081645128,127092.90052366999,130173.52200454261,133348.50927884848,136620.7426154915
BUSAN,26390.195466442216,26609.73272045222,26869.409531013676,27127.035553788333,27397.906673996862,27673.576688438334,28220.120505313018,28797.762096648046,29392.54787267587,30015.603087982356,30660.673240095657,31333.669686501955,32032.110496245383,32759.42980671018,33515.02309359591,34301.17800313342,35118.25485996197,35968.044435325486,36851.435421756,37770.041932206295,38725.07545894616,39718.134684754914,40750.66089403519,41824.32220443384,42940.75169267514,44101.73550798003,45309.0880869617,46564.74538326911,47870.706747870936,49229.082491667614,50642.0682342226,52111.97060587325,53641.19758226113,55232.273880978886,56887.839315790465,58610.65953479903,60403.62856163045,62269.77759740702,64212.280041931816,66234.4596129913,68339.7970000374,70531.93808514671,72814.70182957142,75192.08901293852,77668.29115609571,80247.70006776502,82934.91775210842,85734.76694882232,88652.30213187818,91692.82110123179,94861.87722199838,98165.29219067417
DAEGU,17096.341573164773,17264.898138977544,17476.271826677406,17684.094750255357,17903.43698544387,18126.31691586924,18566.803302038385,19035.210412880784,19514.893061118168,20017.909827843512,20537.708978875475,21079.903610220936,21642.253573298138,22227.68892799257,22835.84082975093,23468.55338151203,24126.30122028117,24810.52301262461,25522.106850286953,26262.378949408063,27032.4641965279,27833.70587778982,28667.396628960043,29534.957663756315,30437.826502148928,31377.53459524123,32355.661624629276,33373.87019523868,34433.88851511834,35537.527155717056,36686.67384525629,37883.30288604616,39129.47530053745,40427.34526770564,41779.16286719792,43187.279463292856,44654.15174082268,46182.34694885966,47774.54777451201,49433.557779783216,51162.30692466035,52963.85743574627,54841.40993279136,56798.309756757866,58838.05376867093,60964.29724641128,63180.86136609479,65491.74073094712,67901.11158999409,70413.34011706119,73032.99129123837,75764.83817074278
INCHEON,18853.98373603129,19022.22496032204,19279.909087365653,19530.835885378314,19810.618556174755,20091.47269863143,20641.61697089748,21242.36650443109,21860.68844723106,22516.764783699124,23194.00500559788,23909.16805205065,24655.593287793978,25441.74701045786,26264.655963779864,27130.35702356299,28038.17769727279,28992.842927826165,29995.175643462542,31049.266390713812,32156.974057024905,33322.1739860709,34547.50843355201,35836.90618174089,37193.665151626075,38621.94978928111,40125.662800759,41709.338309421924,43377.481577833416,45135.10543712828,46987.34782199715,48939.7982291867,50998.28081198455,53169.05763856063,55458.71094474402,57874.27488127318,60423.177898266586,63113.33354991822,65953.12013092687,68951.44882268652,72117.76726398071,75462.11620987559,78995.14915321421,82728.18443309388,86673.23665412344,90843.06856686043,95251.23190232035,99912.12202283482,104841.02730391007,110054.18823135509,115568.85549449771,121403.35525482499
GWANGJU,9035.742946991439,9118.30172787492,9225.154598687699,9327.832748731329,9438.644056486963,9550.059308095802,9771.957982851904,10008.349587697863,10251.492647043253,10508.293053518675,10774.216719228225,11053.742928406711,11344.331223061148,11648.993144806373,11966.438606382151,12298.8034573191,12645.593928116701,13008.436917817693,13387.358889747606,13783.706324884872,14197.859500643961,14631.028378648447,15083.848390838368,15557.485224218297,16052.77282981167,16570.893545852694,17112.849463978655,17679.881682019837,18273.14669006844,18893.975409259205,19543.67572787074,20223.693218826364,20935.49136938821,21680.652034076804,22460.80357534345,23277.684471692613,24133.101101218774,25028.968885105456,25967.28851778925,26950.17353731476,27979.838103648988,29058.616491850786,30188.95822120442,31373.442876725338,32614.780029939055,33915.82149441617,35279.5645157809,36709.1627608956,38207.93202025836,39779.36058551736,41427.11693780826,43155.060372301254
DAEJEON,8872.298536589808,8950.236984023351,9050.273424362531,9144.13230988264,9246.654201234809,9347.457616077063,9550.967586071947,9764.208778731776,9982.857703855196,10211.31293485691,10446.123829896302,10690.939357127812,10943.024128047804,11205.422372868872,11475.986113730138,11757.273131476662,12047.619253217847,12349.19247956045,12660.728593535885,12984.084941638714,13318.32950084564,13665.073845495295,14023.66352604947,14395.517669924933,14780.215515284091,15179.027706176495,15591.732046672507,16019.487091177007,16462.24127542744,16921.07134088559,17396.074314066253,17888.270475825193,18397.888256268132,18925.912878472045,19472.69098944113,20039.19099972405,20625.867904983006,21233.68905683368,21863.210694383237,22515.412884588342,23190.94834834739,23890.82211092046,24615.78057978719,25366.864820389354,26144.91381039055,26951.014929956258,27786.100019187375,28651.312393374894,29547.678453367516,30476.40667571449,31438.620789919245,32435.60346191453
ULSAN,6223.866346038003,6277.056749645111,6331.514125189482,6387.191410121212,6444.110538349475,6502.305189038756,6618.1377741287315,6737.881285797562,6861.642346204129,6989.58974452932,7121.898171977973,7258.7492674930445,7400.331920584602,7546.842599669778,7698.485687877382,7855.473839738943,8018.02835776875,8186.379574385746,8360.767263267837,8541.441057197442,8728.660900212195,8922.697503331152,9123.832830894058,9332.360613805778,9548.586869678436,9772.830461736292,10005.423679593794,10246.71284186875,10497.058931184289,10756.838259560991,11026.443157031506,11306.282698450737,11596.78346654283,11898.390339136102,12211.567324702104,12536.79842887396,12874.588565561844,13225.464508404832,13589.975882901977,13968.696213656549,14362.22401367054,14771.183924255442,15196.227912164537,15638.036517712084,16097.320167128742,16574.820541904865,17071.3120123591,17587.603143563116,18124.53826021804,18682.999104109545,19263.90655029271,19868.222413529016
SEJONG,1736.128734574026,1778.9183940039547,1824.1946885170537,1872.16029211553,1923.0368230636486,1977.0667264767294,2084.2464486386725,2201.258157665406,2329.190527070929,2469.260103090883,2622.826562353875,2791.409797620378,2976.709049017381,3180.624331024128,3405.2804234467067,3653.0537404642273,3926.6024159919825,4228.900000844712,4563.273198610234,4933.444110519618,5343.5775749441445,5798.334145170853,6302.929454653006,6863.200673834797,7485.680943649249,8177.682746787807,8947.391249213395,9803.968861822841,10757.672329862071,11819.983858137655,13003.757966489638,14323.38596954981,15794.980152888083,17436.58007783399,19268.383586957196,21313.00554763838,23595.767627134293,26145.0227775417,28992.518746667698,32173.805000354903,35728.68870874077,39701.74520424788,44142.889746275956,49108.0179383164,54659.7227949915,60868.098051523804,67811.63756004891,75578.2427908514,84266.35109984581,93986.19931429806,104861.23890880561,117029.72092649115
GYEONGGI,76910.62930873803,77649.95066355745,78635.48258518052,79571.18074437615,80603.78316368375,81639.22453998525,83712.40819006394,85936.09230027915,88248.25964188509,90713.07639068985,93284.98241407753,96011.11606847149,98862.34944834483,101874.66808276942,105029.90260773734,108356.42437991625,111844.20973717922,115516.56248967601,119369.63105664434,123423.49827236775,127679.11558391526,132154.69980321894,136855.07349445872,141797.5991947251,146990.35724489205,152450.6303796713,158189.37752837082,164224.4148586734,170569.37550072,177243.11569579222,184261.8715856038,191645.97932179738,199414.3114079204,207589.08627730142,216191.931086253,225247.33368112304,234779.86665548498,244816.67587660707,255385.53522561718,266516.65249154164,278241.31977877975,290593.23753974424,303607.5932380678,317322.047339924,331776.12221714837,347011.95189562277,363073.8974489825,380009.13541429973,397867.44039548555,416701.6647704973,436567.6480995062,457524.62598887156
GANGWON,14313.693498209577,14419.589354896598,14550.457401265205,14676.572520234839,14812.279682693248,14948.168498632353,15220.115523091406,15507.11328018477,15802.816179483178,16113.440711784695,16434.60610533539,16770.952416776163,17119.525497713086,17483.852494268358,17862.02186293798,18256.782440513074,18666.991931689226,19094.863147232714,19539.82925912791,20003.743324754138,20486.477533705493,20989.6543687679,21513.490005885353,22059.47205305496,22628.09567528614,23220.785640366343,23838.27303009804,24481.97519210875,25152.832179457317,25852.297924683407,26581.506552273124,27341.984747584836,28135.054995871273,28962.347979755825,29825.375925497385,30725.901774028942,31665.634657570095,32646.496538517225,33670.40554795494,34739.46918822133,35855.83090953102,37021.810942851705,38239.79842841883,39512.35490364337,40842.139452315,42231.985664217034,43684.850718862865,45203.87364945582,46792.342043137454,48453.73711431815,50191.71344997397,52010.13507337748
