City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,4042.897469019777,3982.25400698448,3922.8234141898897,3864.578401078089,3807.4923330405522,3751.539214044409,3638.993037623077,3529.8232464943844,3423.928549099553,3321.210692626566,3221.5743718477693,3124.927140692336,3031.1793264715657,2940.243946677418,2852.0366282770956,2766.475529428783,2683.481263545919,2602.9768256395414,2524.8875208703553,2449.1408952442443,2375.666668386917,2304.3966683353096,2235.26476828525,2168.206825236692,2103.1606204795917,2040.0658018652039,1978.8638278092476,1919.4979129749702,1861.9129755857211,1806.0555863181496,1751.8739187286048,1699.3177011667467,1648.3381701317442,1598.8880250277916,1550.921384276958,1504.3937427486492,1459.2619304661896,1415.4840725522038,1373.0195503756377,1331.8289638643685,1291.8740949484375,1253.1178720999844,1215.5243359369847,1179.0586058588751,1143.686847683109,1109.3762422526158,1076.0949549850372,1043.812106335486,1012.4977431454216,982.122810851059,952.6591265255271,924.0793527297611
BUSAN,2058.9883257486385,2028.103500862409,1997.836372473904,1968.1730424119246,1939.0999460613814,1910.6038440243894,1853.285728703658,1797.6871568425483,1743.7565421372713,1691.4438458731536,1640.7005304969587,1591.47951458205,1543.7351291445884,1497.4230752702506,1452.5003830121432,1408.925371521779,1366.6576103761254,1325.6578820648417,1285.8881456028964,1247.3115012348094,1209.8921561977652,1173.5953915118323,1138.3875297664772,1104.2359038734828,1071.1088267572784,1038.97556195456,1007.806295095923,977.5721062430454,948.244943055754,919.7975947640813,892.2036669211589,865.4375569135241,839.4744302061182,814.2901972999348,789.8614913809366,766.1656466395085,743.1806772403233,720.8852569231136,699.2586992154202,678.2809382389576,657.9325100917887,638.1945347890351,619.048698745364,600.477237783003,582.462920649513,564.9890330300274,548.0393620391267,531.5981811779528,515.6502357426142,500.18072867033567,485.17530681022566,470.6200476059189
DAEGU,1184.9160201281854,1167.1422798262627,1149.7240143303782,1132.6532254573965,1115.9221069805767,1099.5230398306637,1066.5373486357437,1034.5412281766714,1003.5049913313713,973.3998415914301,944.1978463436872,915.8719109533764,888.3957536247752,861.7438810160319,835.8915645855508,810.8148176479843,786.4903731185447,762.8956619249884,740.0087920672387,717.8085283052214,696.2742724560649,675.386044282383,655.1244629539115,635.4707290652941,616.4066071933353,597.9144089775351,579.9769767082091,562.5776674069627,545.7003373847539,529.3293272632112,513.449447445315,498.0459640219554,483.10458510129666,468.6114475482578,454.55310412181007,440.9165109981557,427.68901566821097,414.85834519816467,402.41259484221973,390.34021699695313,378.6300104870445,367.2711101724332,356.2529768672602,345.5653875612424,335.19842593440507,325.14247315637294,315.3881989616817,305.92655299283126,296.74875640304634,287.8462937109549,279.2109048996262,270.8345777526374
INCHEON,1401.0385165826394,1380.0229388338998,1359.4276726401351,1339.243260991358,1326.9741181581635,1312.4052018685732,1279.2944160728007,1247.1769538509013,1216.0230154956587,1185.8036952910736,1150.2295844323414,1115.7226968993712,1082.25101599239,1049.7834855126182,1018.2899809472397,987.7412815188226,958.1090430732578,929.3657717810601,901.4847986276282,874.4402546687993,848.2070470287354,822.7608356178731,798.0780105493371,774.1356702328568,750.9116001258711,728.384252122095,706.5327245584322,685.3367428216792,664.7766405370287,644.8333413209178,625.4883410812903,606.7236908488516,588.521980123386,570.8663207196844,553.7403310980939,537.128121165151,521.0142775301964,505.3838492042905,490.2223337281618,475.51566371631696,461.2501938048274,447.4126879906825,433.99030735096204,420.9705981304332,408.3414801865202,396.09123578092453,384.2084987074968,372.6822437462719,361.5017764338838,350.6567231408672,340.1370214466412,329.93291080324195
GWANGJU,606.7274511194165,597.6265393526253,588.7076458211699,579.9666751147552,571.3996301129333,563.0026095278572,546.1125312420215,529.7291553047609,513.8372806456181,498.42216222624944,483.4694973594619,468.96541243867813,454.8964500655177,441.2495565635522,428.0120698666456,415.1717077706462,402.71655653752686,390.635059841401,378.916008046159,367.5485278047742,356.52207197063086,345.82640981151195,335.4516175171666,325.38806899165155,315.626426921902,306.1576341142449,296.97290509081756,288.0637179380931,279.42180639995024,271.03915220795176,262.9079776417132,255.02073831246182,247.37011616308794,239.94901267819532,232.75054229784942,225.76802602891394,218.99498524804653,212.42513569060512,206.05238161988697,199.87081017129037,193.87468586615162,188.0584452901671,182.41669193146208,176.94419117351822,171.63586543831266,166.48678947516328,161.49218579090837,156.64742021718112,151.94799761066568,147.38955768234572,142.96787095187537,138.67883482331908
DAEJEON,525.6518813866523,517.7671031658525,510.0400205094688,502.4670852673016,495.0448344447565,487.76988807395355,473.13679143173493,458.9426876887828,445.17440705811936,431.81917484637574,418.8645996009845,406.29866161295496,394.1097017645663,382.2864107116293,370.81781839028037,359.693283838572,348.9024853234148,338.43541076371235,328.28234844080094,318.433877987577,308.88086164794964,299.6144357985112,290.6260027245558,281.90722264281914,273.4500059635346,265.2465057846285,257.28911061108965,249.57043729275696,242.08332417397423,234.82082444875496,227.77619971529234,220.94291372383358,214.31462631211855,207.885187522755,201.6486318970723,195.59917294016017,189.73119775195536,184.03926181939673,178.5180839648148,173.16254144587037,167.96766520249423,162.92863524641942,158.04077618902684,153.29955290335602,148.7005663162553,144.23954932676767,139.9123628469646,135.71499196155568,131.643542202709,127.69423593662772,123.8634088585289,120.14750659277303
ULSAN,719.967436480135,709.1679249329329,698.584403616675,688.2120127511648,678.0460091909308,668.0817635093582,648.0393106040775,628.5981312859552,609.7401873473765,591.4479817269552,573.7045422751465,556.4934060068921,539.7986038266852,523.6046457118846,507.89650634052805,492.65961115031223,477.8798228158028,463.5434281313287,449.6371252873889,436.1480115287672,423.0635711829041,410.371664047417,398.06051412599453,386.11869870221466,374.5351377411482,363.2990836089137,352.40011110064626,341.82810776762693,331.5732645345981,321.62606659856016,311.9772846006033,302.61796606258514,293.5394270807076,284.73324426828634,276.19124694023776,267.90550953203064,259.8683442460697,252.0722939186876,244.51012510112696,237.17482134809316,230.05957670765034,223.15778940642085,216.4630557242282,209.96916405250136,203.6700891309263,197.55998645699853,191.63318686328856,185.88419125738992,180.30766551966818,174.89843555407813,169.6514824874558,164.56193801283212
SEJONG,223.74744206649683,227.10365369749428,230.5269895611117,234.01895995258297,237.58111141422773,241.21502764162827,248.4514784708771,255.90502282500347,263.58217350975355,271.48963871504617,279.6343278764976,288.0233577127925,296.6640584441763,305.5639801975016,314.7308996034266,324.17282659152943,333.8980113892753,343.9149517309536,354.2324002828823,364.85937229136874,375.8051534601098,387.07930806391306,398.6916873058305,410.6524379250054,422.9720110627556,435.6611713946382,448.7310065364774,462.19293673257175,476.0587248345489,490.3404865795854,505.050701176973,520.2022222122822,535.8082888786507,551.8825375450103,568.4390136713606,585.4921840815015,603.0569496039465,621.1486580920649,639.783117834827,658.9766113698716,678.7459097109679,699.108287002297,720.0815356123659,741.6839816807369,763.934501131159,786.852536165094,810.4581122500467,834.7718556175482,859.8150112860748,885.6094616246569,912.1777454733966,939.5430778375986
GYEONGGI,6628.19489272728,6542.174525982928,6457.642649667639,6374.570287454971,6292.929064703689,6212.691195443353,6051.435232469835,5894.364812407833,5741.371295743239,5592.348862797815,5447.194440537823,5305.807631282413,5168.090643262437,5033.948222981682,4903.287589333721,4776.0183694288235,4652.052536086532,4531.304346950681,4413.690285184736,4299.1290017064375,4187.541258921795,4078.8498759195245,3972.9796750880028,3869.8574301178323,3769.411815354046,3671.5733564629168,3576.2743823792566,3483.448978500973,3393.0329410984887,3304.96373290752,3219.180439874472,3135.6237290245576,3054.235807423476,2974.960382204288,2897.74262163182,2822.529117177683,2749.2678465796666,2677.9081378599562,2608.400634277296,2540.697260188844,2474.751187798117,2410.5168047660186,2347.9496826625573,2287.006546237424,2227.6452434881817,2169.8247165053594,2113.504973074292,2058.647059014055,2005.2130312343704,1953.1659314918443,1902.4697608273825,1853.0894546671095
GANGWON,764.3619951746272,752.8965652470077,741.6604439179406,730.6484717439587,719.8556131082373,709.2769531249297,687.9986445311819,667.3586851952464,647.3379246393889,627.9177869002073,609.080253293201,590.8078456944049,573.0836103235728,555.8911020138656,539.2143689534496,523.0379378848461,507.3467997483007,492.1263957558517,477.36260388317606,463.0417257666807,449.1504739936804,435.6759597738699,422.60568098065386,409.9275105512342,397.6296852346972,385.70079467765623,374.1297708373266,362.9058777122068,352.0187013808406,341.45814033941537,331.21439612923285,321.27796424535586,311.6396253179951,302.2904365584553,293.22172346170163,284.4250717578506,275.89231960511506,267.61555001696166,259.58708351645276,251.7994710109592,244.2454868806304,236.91812227421147,229.81057860598514,222.91626124780555,216.22877341037142,209.74191020806026,203.44965290181844,197.34616331476386,191.42577841532093,185.6830050628613,180.11251491097548,174.7091394636462
