City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,34300.30777503371,32928.44896179681,31611.311003324932,30346.858563191934,29132.984220664257,27967.664851837686,26848.958257764178,25774.99992745361,24743.999930355465,23754.239933141245,22804.070335815595,21891.90752238297,21016.23122148765,20175.581972628144,19368.55869372302,18593.816345974097,17850.063692135132,17136.061144449726,16450.618698671737,15792.593950724866,15160.890192695872,14554.454584988036,13972.276401588513,13413.385345524972,12876.849931703973,12361.775934435815,11867.304897058382,11392.612701176047,10936.908193129006,10499.431865403845,10079.45459078769,9676.276407156183,9289.225350869936,8917.656336835138,8560.950083361733,8218.512080027263,7889.771596826173,7574.180732953126,7271.213503635,6980.3649634896,6701.1503649500155,6433.104350352015,6175.780176337934,5928.7489692844165,5691.5990105130395,5463.9350500925175,5245.377648088816,5035.562542165264,4834.140040478654,4640.774438859507,4455.143461305127,4276.937722852922
BUSAN,12068.013710446417,11768.799098222358,11459.027751278034,11140.665748420082,10815.62540843847,10485.460615731918,10066.04219110264,9663.400503458535,9276.864483320194,8905.789903987386,8549.55830782789,8207.575975514774,7879.272936494182,7564.102019034415,7261.537938273038,6971.076420742116,6692.233363912431,6424.544029355933,6167.562268181696,5920.859777454428,5684.02538635625,5456.664370902,5238.3977960659195,5028.861884223283,4827.707408854351,4634.599112500177,4449.21514800017,4271.246542080164,4100.396680396957,3936.3808131810783,3778.925580653835,3627.7685574276816,3482.6578151305744,3343.3515025253514,3209.6174424243372,3081.2327447273638,2957.983434938269,2839.664097540738,2726.0775336391084,2617.034432293544,2512.353055001802,2411.85893280173,2315.3845754896606,2222.769192470074,2133.858424771271,2048.5040877804204,1966.5639242692034,1887.9013672984352,1812.3853126064978,1739.8899001022378,1670.2943040981481,1603.4825319342222
DAEGU,9246.719148716664,8876.850382767996,8521.776367457276,8180.905312758985,7853.669100248625,7539.52233623868,7237.941442789132,6948.423785077567,6670.486833674464,6403.667360327485,6147.520665914385,5901.61983927781,5665.5550457066975,5438.93284387843,5221.375530123292,5012.52050891836,4812.019688561625,4619.53890101916,4434.757344978394,4257.367051179258,4087.0723691320873,3923.5894743668036,3766.6458953921315,3615.980059576446,3471.340857193388,3332.4872229056523,3199.187733989426,3071.220224629849,2948.371415644655,2830.4365590188686,2717.219096658114,2608.530332791789,2504.1891194801174,2404.0215547009125,2307.860692512876,2215.5462648123607,2126.9244142198663,2041.8474376510717,1960.1735401450287,1881.7665985392275,1806.4959345976583,1734.236097213752,1664.8666533252017,1598.2719871921936,1534.3411077045057,1472.9674633963255,1414.0487648604724,1357.4868142660534,1303.1873416954113,1251.0598480275949,1201.017454106491,1152.9767559422312
INCHEON,14294.423064134011,14037.108712711584,13775.502614711262,13510.305402480284,13240.093244546139,12964.58080582416,12445.997573591194,11948.157670647546,11470.231363821644,11011.422109268777,10570.965224898026,10148.126615902103,9742.201551266018,9352.513489215376,8978.412949646761,8619.27643166089,8274.505374394454,7943.525159418675,7625.784153041927,7320.75278692025,7027.92267544344,6746.805768425703,6476.933537688675,6217.856196181127,5969.141948333882,5730.376270400527,5501.1612195845055,5281.114770801125,5069.87017996908,4867.075372770317,4672.392357859504,4485.496663545124,4306.0767970033185,4133.833725123186,3968.4803761182584,3809.741161073528,3657.3515146305867,3511.057454045363,3370.6151558835486,3235.7905496482067,3106.3589276622783,2982.104570555787,2862.8203877335554,2748.307572224213,2638.3752693352444,2532.8402585618346,2431.526648219361,2334.2655822905867,2240.8949589989634,2151.2591606390047,2065.2087942134444,1982.6004424449065
GWANGJU,5952.00107773198,5722.276982394002,5495.9250279343,5276.088026816928,5065.04450574425,4862.44272551448,4667.945016493901,4481.227215834145,4301.9781272007785,4129.899002112747,3964.703042028237,3806.1149203471077,3653.870323533223,3507.715510591894,3367.406890168218,3232.7106145614894,3103.4021899790296,2979.2661023798682,2860.0954582846734,2745.6916399532865,2635.863974355155,2530.4294153809487,2429.2122387657105,2332.043749215082,2238.7619992464784,2149.211519276619,2063.2430585055545,1980.7133361653323,1901.484802718719,1825.4254106099702,1752.4083941855713,1682.3120584181484,1615.0195760814224,1550.4187930381654,1488.4020413166388,1428.8659596639732,1371.7113212774143,1316.8428684263176,1264.169153689265,1213.6023875416943,1165.0582920400263,1118.4559603584253,1073.7177219440882,1030.7690130663248,989.5382525436718,949.9567224419249,911.9584535442478,875.4801154024778,840.4609107863787,806.8424743549235,774.5687753807266,743.5860243654976
DAEJEON,6588.185067706585,6395.310861582999,6206.67413275657,6023.188963345425,5844.75931554762,5671.156212470103,5444.309963971299,5226.537565412447,5017.4760627959495,4816.777020284111,4624.105939472746,4439.141701893836,4261.576033818083,4091.112992465359,3927.4684727667445,3770.3697338560746,3619.5549445018314,3474.772746721758,3335.7818368528874,3202.3505633787718,3074.2565408436208,2951.286279209876,2833.234828041481,2719.9054349198213,2611.1092175230283,2506.664848822107,2406.398254869223,2310.142324674454,2217.7366316874754,2129.0271664199763,2043.8660797631771,1962.11143657265,1883.626979109744,1808.2818999453543,1735.9506239475402,1666.5125989896385,1599.8520950300529,1535.8580112288507,1474.4236907796967,1415.4467431485089,1358.8288734225684,1304.4757184856658,1252.296689746239,1202.2048221563894,1154.1166292701337,1107.9519640993283,1063.6338855353551,1021.0885301139409,980.2449889093832,941.0351893530078,903.3937817788875,867.258030507732
ULSAN,5041.134819150373,4958.391946393964,4856.383535504387,4743.054462842447,4626.572279569559,4508.055688649058,4327.733461103096,4154.624122658972,3988.439157752613,3828.9015914425086,3675.745527784808,3528.7157066734158,3387.567078406479,3252.06439527022,3121.981819459411,2997.1025466810343,2877.2184448137928,2762.129707021241,2651.644518740391,2545.578737990775,2443.755588471144,2346.005364932298,2252.1651503350063,2162.078544321606,2075.5954025487417,1992.571586446792,1912.8687229889204,1836.3539740693634,1762.899815106589,1692.3838225023253,1624.6884696022323,1559.700930818143,1497.3128935854172,1437.4203778420006,1379.9235627283206,1324.7266202191877,1271.73755541042,1220.8680531940033,1172.0333310662431,1125.1519978235933,1080.1459179106496,1036.9400811942235,995.4624779464544,955.6439788285962,917.4182196754524,880.7214908884342,845.4926312528968,811.6729260027809,779.2060089626696,748.0377686041627,718.1162578599962,689.3916075455962
SEJONG,2979.8018324208106,2936.342579621193,2892.827042905791,2849.255028780748,2805.6240266160357,2761.929532902991,2674.559235276788,2586.984024897216,2499.179765433067,2411.1145018686752,2322.749672892671,2234.041089777402,2144.939728915291,2059.1421397586796,1976.7764541683323,1897.705396001599,1821.797180161535,1748.9252929550735,1678.9682812368706,1611.8095499873957,1547.3371679878999,1485.443681268384,1426.0259340176485,1368.9848966569425,1314.2255007906647,1261.656480759038,1211.1902215286764,1162.7426126675293,1116.2329081608282,1071.583591834395,1028.7202481610193,987.5714382345785,948.0685807051954,910.1458374769875,873.7400039779079,838.7904038187916,805.2387876660399,773.0292361593982,742.1080667130223,712.4237440445013,683.9267942827212,656.5697225114124,630.3069336109559,605.0946562665176,580.8908700158569,557.6552352152225,535.3490258066137,513.9350647743491,493.37766218337515,473.6425556960401,454.6968534681985,436.50897932947055
GYEONGGI,66375.169845369,64820.539847090215,63162.19229714421,61421.42379117001,59624.96791842544,57796.98938357645,55485.10980823339,53265.705415904056,51135.07719926789,49089.67411129717,47126.08714684528,45241.04366097147,43431.40191453261,41694.145837951306,40026.38000443325,38425.32480425592,36888.31181208568,35412.77933960225,33996.26816601816,32636.417439377434,31330.960741802337,30077.72231213024,28874.61341964503,27719.628882859226,26610.843727544856,25546.409978443062,24524.55357930534,23543.571436133123,22601.828578687797,21697.755435540283,20829.84521811867,19996.651409393922,19196.785353018164,18428.913938897436,17691.757381341537,16984.087086087875,16304.723602644359,15652.534658538583,15026.433272197039,14425.375941309156,13848.360903656789,13294.426467510517,12762.649408810095,12252.143432457691,11762.057695159383,11291.575387353007,10839.912371858885,10406.31587698453,9990.063241905149,9590.460712228944,9206.842283739785,8838.568592390193
GANGWON,5966.541557239433,5727.879894949856,5498.764699151861,5278.814111185787,5067.661546738355,4864.955084868821,4670.356881474068,4483.5426062151055,4304.200901966501,4132.032865887841,3966.751551252327,3808.0814892022336,3655.7582296341443,3509.5279004487784,3369.146784430827,3234.380913053594,3105.0056765314503,2980.8054494701923,2861.5732314913844,2747.110302231729,2637.22589014246,2531.7368545367613,2430.4673803552905,2333.248685141079,2239.9187377354356,2150.321988226018,2064.3091086969775,1981.7367443490984,1902.4672745751345,1826.368583592129,1753.3138402484437,1683.181286638506,1615.8540351729657,1551.219873766047,1489.171078815405,1429.6042356627888,1372.4200662362773,1317.5232635868263,1264.8223330433532,1214.229439721619,1165.6602621327543,1119.033851647444,1074.272497581546,1031.3015976782842,990.0495337711528,950.4475524203067,912.4296503234943,875.9324643105546,840.8951657381324,807.2593591086071,774.9689847442628,743.9702253544923
