City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,63905.99383,65088.70522,66300.60126,67542.49216,68815.21207,70119.61991,72715.03445,75406.51591,78197.62014,81092.03457,84093.58315,87206.23134,90434.09139,93781.42778,97252.66281,100852.3825,104585.3425,108456.4747,112470.8934,116633.9021,120951.0009,125427.8932,130070.4936,134884.9357,139877.58,145055.0226,150424.1035,155991.9161,161765.8163,167753.4322,173962.6743,180401.7459,187079.154,194003.7203,201184.5931,208631.2595,216353.5575,224361.6895,232666.2352,241278.1662,250208.8601,259470.1155,269074.168,279033.7058,289361.887,300072.3564,311179.2643,322697.2843,334641.6334,347028.0919,359873.024,373193.3996
BUSAN,28469.33049,28909.4865,29734.01259,30489.87918,31340.13237,32193.34027,33870.00222,35733.46326,37630.41537,39676.1969,41799.74652,44060.24972,46426.79584,48931.73284,51563.97479,54343.27807,57268.58544,60354.00758,63603.82043,67029.90309,70639.64375,74444.39893,78453.65218,82679.12685,87131.97445,91824.78441,96770.24152,101982.1192,107474.6507,113263.0318,119363.1404,125791.8045,132566.6924,139706.4698,147230.7758,155160.3295,163516.9503,172323.6436,181604.6464,191385.5061,201693.1426,212555.9279,224003.7607,236068.1507,248782.3043,262181.2167,276301.7673,291182.8223,306865.3408,323392.4881,340809.7541,359165.0789
DAEGU,18526.75643,18822.67527,19293.41324,19740.73832,20228.82095,20723.37134,21693.70246,22757.13373,23841.75221,24998.21768,26197.67938,27463.21856,28784.34878,30172.63937,31625.54233,33149.93303,34746.80859,36421.25348,38175.96964,40015.49837,41943.48801,43964.48588,46082.78795,48303.20323,50630.57335,53070.10274,55627.16233,58307.43666,61116.8485,64061.6292,67148.29526,70383.68698,73774.96785,77329.65068,81055.60758,84961.09168,89054.75267,93345.65771,97843.31038,102557.6725,107499.1856,112678.7945,118107.9714,123798.741,129763.7078,136016.0831,142569.7153,149439.1196,156639.5109,164186.837,172097.8142,180389.9642
INCHEON,23282.68723,23716.148,24533.78498,25268.91137,26117.54736,26961.44853,28637.77012,30503.3093,32425.19399,34518.42635,36708.18837,39066.5944,41553.66911,44216.66889,47036.80158,50047.2122,53242.28576,56647.49745,60265.75692,64118.77246,68215.32091,72575.75571,77213.25661,82148.36518,87397.92023,92983.69523,98925.88675,105248.2657,111974.3654,119130.5747,126743.929,134843.9915,143461.5993,152630.0339,162384.3392,172762.0792,183803.0028,195549.565,208046.8067,221342.7451,235488.3909,250538.0727,266549.5466,283584.294,301707.6992,320989.3454,341503.2469,363328.1606,386547.8671,411251.5082,437533.9175,465495.9933
GWANGJU,10919.24938,11116.96388,11436.14897,11728.71461,12058.53257,12386.35527,13039.41322,13752.27911,14484.26102,15270.79265,16087.82628,16958.1525,17868.0568,18832.66928,19844.74327,20914.82413,22039.7709,23227.44864,24477.38495,25795.95048,27184.47418,28648.57811,30190.87746,31816.72286,33529.71894,35335.25913,37237.77703,39242.92513,41355.89186,43582.74744,45929.41667,48402.5136,51008.71817,53755.29755,56649.7318,59700.04363,62914.57807,66302.21544,69872.24683,73634.51647,77599.35719,81777.6907,86181.0013,90821.41163,95711.68144,100865.2698,106296.3508,112019.8693,118051.5691,124408.0461,131106.7864,138166.2204
DAEJEON,10792.90478,10936.89992,11174.76253,11380.85478,11620.97736,11848.93964,12315.30776,12811.18436,13316.97909,13851.81631,14399.95622,14977.16911,15570.86451,16194.10036,16836.86634,17510.03165,18205.70445,18932.99272,19685.74903,20471.66967,21286.04889,22135.45744,23016.38674,23934.51674,24887.33907,25879.83589,26910.34088,27983.2977,29097.75565,30257.75189,31462.95096,32717.09348,34020.38023,35376.34758,36785.67115,38251.76113,39775.72116,41360.90209,43008.80082,44722.76672,46504.6654,48357.89564,50284.6757,52288.49928,54371.92853,56538.59358,58791.39791,61134.14666,63570.08763,66103.23755,68737.19632,71476.22767
ULSAN,8827.766787,9042.895299,9266.573941,9497.987367,9737.204961,9984.442989,10475.33481,10991.13179,11532.31601,12100.14733,12695.93768,13321.06372,13976.96988,14665.17173,15387.25946,16144.90153,16939.84859,17773.93747,18649.09545,19567.34469,20530.80694,21541.70841,22602.38491,23715.2873,24882.98708,26108.18238,27393.70417,28742.52284,30157.75501,31642.67077,33200.70122,34835.44639,36550.68359,38350.37611,40238.68238,42219.96558,44298.80375,46480.00032,48768.59524,51169.87662,53689.39295,56332.96591,59106.70383,62017.01582,65070.62654,68274.59178,71636.31473,75163.56312,78864.48712,82747.63822,86821.98898,91096.95373
SEJONG,2600.532466,2756.509909,2924.961189,3107.008559,3303.88197,3516.92984,3938.813998,4411.30657,4940.478445,5533.128763,6196.872276,6940.237189,7772.77473,8705.181878,9749.438799,10918.96278,12228.78061,13695.72167,15338.63418,17178.62731,19239.3425,21547.25712,24132.02475,27026.85616,30268.94598,33899.95069,37966.52375,42520.91511,47621.64253,53334.24343,59732.11697,66897.46716,74922.359,83909.90148,93975.57232,105248.7017,117874.1341,132014.0891,147850.2461,165586.078,185449.4663,207695.6286,232610.3978,260513.895,291764.6421,326764.169,365962.172,409862.2922,459028.5866,514092.7754,575762.3587,644829.7069
GYEONGGI,104854.6827,106931.7154,110445.8163,113591.3823,117235.0471,120809.9973,128006.7772,135874.6177,144022.013,152830.4576,162032.2618,171910.9232,182288.3037,193379.5711,205071.9196,217533.5044,230699.8021,244707.3469,259527.9761,275277.7981,291956.7686,309668.8058,328436.391,348357.4125,369473.2072,391880.3518,415636.7763,440841.4796,467567.7685,495920.1424,525986.8637,557880.5963,591704.7587,627582.607,665633.4211,705993.3758,748798.748,794200.959,842354.8038,893429.3639,947599.8367,1005055.533,1065994.295,1130628.448,1199181.093,1271890.629,1349008.413,1430802.307,1517555.347,1609568.63,1707160.752,1810670.263
GANGWON,13236.71292,13417.37361,13864.79159,14231.24664,14683.82594,15112.09595,15982.40137,16948.65116,17934.6411,19010.84363,20123.86164,21325.6024,22579.18103,23923.34653,25333.23192,26838.32809,28422.58383,30109.0531,31888.22733,33778.77298,35776.12003,37896.04615,40137.79896,42515.37423,45031.0665,47697.91931,50520.75873,53512.31105,56679.60624,60035.55357,63589.1991,67354.04399,71341.06869,75564.7158,80037.90098,84776.32206,89794.89725,95110.87544,100741.3005,106705.264,113022.1078,119713.0641,126799.9909,134306.5746,142257.4512,150679.0987,159599.2376,169047.5046,179055.058,189655.0979,200882.6228,212774.8444
