City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
BUSAN,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
DAEGU,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
INCHEON,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
GWANGJU,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
DAEJEON,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
ULSAN,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
SEJONG,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
GYEONGGI,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
GANGWON,13469092.50069636,13671128.888206806,13877206.003467461,14087414.762852702,14301848.264729898,14520601.844009226,14956219.8993295,15404906.49630939,15867053.69119867,16343065.30193463,16833357.260992672,17338357.97882245,17858508.718187124,18394263.979732737,18946091.899124723,19514474.656098463,20099908.895781416,20702906.162654858,21323993.347534504,21963713.14796054,22622624.542399358,23301303.27867134,24000342.37703148,24720352.648342427,25461963.2277927,26225822.124626484,27012596.788365275,27822974.692016233,28657663.932776723,29517393.850760028,30402915.66628283,31315003.136271317,32254453.23035946,33222086.827270243,34218749.43208835,35245311.915051006,36302671.272502534,37391751.41067761,38513503.952997945,39668909.07158788,40858976.343735516,42084745.63404759,43347288.00306901,44647706.64316108,45987137.84245592,47366751.977729596,48787754.53706148,50251387.17317333,51758928.78836853,53311696.65201958,54911047.55158017,56558378.97812758
