City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,1312.5209241805458,1332.208738043254,1352.2903081832164,1372.7744941166711,1393.6703679882462,1414.987219886669,1457.4368364832692,1501.1599415777673,1546.1947398251004,1592.5805820198536,1640.3579994804493,1689.5687394648628,1740.2558016488085,1792.463475698273,1846.2373799692211,1901.624501368298,1958.6732364093468,2017.4334335016274,2077.9564365066763,2140.295129601877,2204.503983489933,2270.6391029946312,2338.7582760844703,2408.921024367004,2481.1886550980144,2555.6243147509545,2632.293044193483,2711.2618355192876,2792.5996905848665,2876.3776813024124,2962.669011741485,3051.54908209373,3143.095554556541,3237.3884211932377,3334.510073829035,3434.5453760439063,3537.5817373252235,3643.7091894449804,3753.0204651283298,3865.6110790821804,3981.5794114546457,4101.026793798285,4224.057597612234,4350.7793255406,4481.302705306819,4615.741786466024,4754.214040060005,4896.840461261805,5043.74567509966,5195.05804535265,5350.909786713229,5511.437080314626
BUSAN,494.3164446127951,501.7311912819871,509.29423288456286,517.0089060565236,524.8786275131345,532.9068960509063,548.8941029324335,565.3609260204065,582.3217538010188,599.7914064150493,617.7851486075009,636.3187030657258,655.4082641576977,675.0705120824286,695.3226274449015,716.1823062682485,737.667775456296,759.7978087199849,782.5917429815845,806.069495271032,830.2515801291629,855.1591275330379,880.813901359029,907.2383183997999,934.4554679517938,962.4891319903478,991.3638059500582,1021.10472012856,1051.7378617324168,1083.2899975843893,1115.788697511921,1149.2623584372789,1183.7402291903973,1219.252436066109,1255.8300091480926,1293.5049094225353,1332.3100567052113,1372.2793584063677,1413.4477391585588,1455.8511713333155,1499.5267064733152,1544.5125076675147,1590.84788289754,1638.5733193844662,1687.730518966,1738.3624345349801,1790.51330757103,1844.2287067981608,1899.5555680021062,1956.5422350421693,2015.2385020934344,2075.6956571562373
DAEGU,396.84001669308213,402.7926169434784,408.86426919888254,415.0576521294073,421.37550869324804,427.820647743885,440.65526717620145,453.87492519148753,467.49117294723214,481.51590813564917,495.96138537971865,510.84022694111013,526.1654337493435,541.9503967618238,558.2089086646785,574.9551759246189,592.2038312023574,609.9699461384281,628.269044522581,647.1171158582584,666.5306293340062,686.5265482140263,707.1223446604472,728.3360150002608,750.1860954502686,772.6916783137766,795.8724286631899,819.7486015230857,844.3410595687782,869.6712913558416,895.7614300965168,922.6342729994125,950.3133011893948,978.8227002250766,1008.187381231829,1038.4330026687837,1069.5859927488475,1101.6735725313129,1134.7237797072523,1168.76549309847,1203.828457891424,1239.9433116281668,1277.1416109770119,1315.4558593063223,1354.9195350855118,1395.5671211380775,1437.4341347722195,1480.5571588153862,1524.973873579848,1570.7230897872432,1617.8447824808607,1666.3801259552865
INCHEON,483.90437814719377,491.1629438194017,498.5666808050537,506.11885545870246,513.8228125274096,521.6819771105589,537.3324364238757,553.452409516592,570.0559818020898,587.1576612561524,604.7723910938371,622.9155628266521,641.6030297114518,660.8511206027953,680.6766542208792,701.0969538475056,722.1298624629308,743.7937583368185,766.1075710869233,789.0907982195309,812.7635221661168,837.1464278311004,862.2608206660334,888.1286452860144,914.7725046445948,942.2156797839326,970.4821501774508,999.5966146827741,1029.5845131232575,1060.4720485169553,1092.286209972464,1125.054796271638,1158.806440159787,1193.5706333645805,1229.377752365518,1266.2590849364835,1304.2468574845782,1343.3742632091155,1383.6754911053893,1425.185755838551,1467.9413285137073,1511.9795683691184,1557.3389554201922,1604.059124082798,1652.180897805282,1701.7463247394405,1752.7987144816236,1805.3826759160727,1859.5441561935547,1915.3304808793616,1972.7903953057423,2031.9741071649148
GWANGJU,367.1056175515207,372.61220181479354,378.2289177633318,383.95824336005404,389.8027160389887,395.76493419205207,407.6378822178137,419.86701868434807,432.46302924487856,445.4369201222249,458.80002772589165,472.56402855766845,486.74094941439853,501.34317789683047,516.3834732337353,531.8749774307474,547.83122675367,564.26616355628,581.1941484629684,598.6299729168576,616.5888721043633,635.0865382674942,654.139134415519,673.7633084479847,693.9762077014242,714.7954939324669,736.239358750441,758.3265395129542,781.076335698343,804.5086257692932,828.6438845423721,853.5032010786432,879.1082971110027,905.4815460243327,932.6459924050627,960.6253721772146,989.444133342531,1019.1274573428069,1049.7012810630913,1081.192319494984,1113.6280890798337,1147.0369317522288,1181.4480397047957,1216.8914808959398,1253.398225322818,1291.0001720825026,1329.7301772449778,1369.622082562327,1410.710745039197,1453.0320673903727,1496.6230294120844,1541.5217202944468
DAEJEON,438.0135492363199,444.5837524748647,451.2853597781804,458.1213277377243,465.09468390314885,472.2085285562561,486.3747844129438,500.9660279453321,515.9950087836921,531.4748590472028,547.4191048186191,563.8416779631775,580.7569283020729,598.179636151135,616.1250252356691,634.6087759927392,653.6470392725215,673.2564504506971,693.454143964218,714.2577682831446,735.685501331639,757.7560663715882,780.4887483627358,803.9034108136179,828.0205131380266,852.8611285321673,878.4469623881324,904.8003712597764,931.9443823975697,959.9027138694969,988.6997952855819,1018.3607891441494,1048.911612818474,1080.3789612030282,1112.7903300391192,1146.1740399402927,1180.5592611385016,1215.9760389726564,1252.4553201418364,1290.0289797460916,1328.7298491384743,1368.5917446126286,1409.6494969510077,1451.938981859538,1495.497151315324,1540.3620658547836,1586.5729278304273,1634.17011566534,1683.1952191353005,1733.6910757093594,1785.7018079806403,1839.2728622200596
ULSAN,408.1786650119164,414.30134498709515,420.5464785617775,426.9168209419522,433.4151934585519,440.04448522057646,453.24581977719373,466.8431943705096,480.8484902016248,495.27394490767364,510.1321632549038,525.4361281525509,541.1992119971273,557.4351883570413,574.1582440077525,591.3829913279851,609.1244810678246,627.3982154998594,646.2201619648552,665.6067668238007,685.5749698285148,706.1422189233703,727.3264854910714,749.1462800558037,771.6206684574778,794.769288511202,818.6123671665382,843.1707381815344,868.4658603269804,894.5198361367898,921.3554312208935,948.9960941575204,977.4659769822459,1006.7899562917133,1036.993654980465,1068.1034646298788,1100.1465685687754,1133.1509656258386,1167.1454945946136,1202.159859432452,1238.2246552154259,1275.3713948718885,1313.6325367180455,1353.0415128195866,1393.6327582041743,1435.4417409502996,1478.5049931788087,1522.860142974173,1568.5459472633981,1615.6023256813003,1664.0703954517394,1713.9925073152915
SEJONG,778.3328828089678,790.0078760511024,801.9163691580796,814.0636158768584,826.454996044325,839.0960187395402,864.2688993017264,890.1969662807783,916.9028752692017,944.4099615272777,972.742260373096,1001.924528184289,1031.9822640298178,1062.9417319507122,1094.8299839092335,1127.6748834265106,1161.5051299293057,1196.3502838271852,1232.2407923420008,1269.2080161122606,1307.2842565956287,1346.5027842934974,1386.8978678223023,1428.5048038569714,1471.3599479726806,1515.5007464118614,1560.965768804217,1607.7947418683436,1656.028584124394,1705.709441648126,1756.8807248975697,1809.587146644497,1863.8747610438315,1919.7910038751468,1977.384733991401,2036.706276011143,2097.8074642914776,2160.7416882202215,2225.5639388668283,2292.330857032833,2361.1007827438184,2431.9338062261327,2504.891820412917,2580.038575025304,2657.4397322760638,2737.1629242443455,2819.2778119716754,2903.8561463308256,2990.971830720751,3080.700985642374,3173.1220152116452,3268.3156756679946
GYEONGGI,609.8879848692086,619.0363046422467,628.3675908107456,637.8859601186031,647.5956281115707,657.5009116072996,677.2259389555186,697.5427171241842,718.4689986379097,740.023068597047,762.2237606549584,785.0904734746073,808.6431876788455,832.9024833092109,857.8895578084872,883.6262445427419,910.1350318790242,937.439082835395,965.5622553204568,994.5291229800705,1024.3649966694727,1055.0959465695569,1086.7488249666437,1119.351289715643,1152.9318284071123,1187.5197832593258,1223.1453767571056,1259.8397380598187,1297.6349302016135,1336.563978107662,1376.6608974508918,1417.9607243744188,1460.4995461056515,1504.314532488821,1549.4439684634856,1595.9272875173901,1643.805106142912,1693.1192593271996,1743.9128371070155,1796.230222220226,1850.1171288868327,1905.620642753438,1962.789262036041,2021.6729398971222,2082.3231280940363,2144.7928219368573,2209.1366065949633,2275.410704792812,2343.6730259365963,2413.9832167146947,2486.4027132161355,2560.9947946126194
GANGWON,274.1467526461018,278.25895393579333,282.45339925127865,286.73193908313823,291.09646833372625,295.54892742746534,304.41539525028935,313.547857107798,322.95429282103197,332.64292160566293,342.6222092538328,352.9008755314478,363.48790179739126,374.392538851313,385.62431501685234,397.193044467358,409.1088358013787,421.38210087542006,434.0235639016826,447.0442708187331,460.4555989432951,474.269266911594,488.49734491894174,503.15226526651,518.2468332245054,533.7942382212404,549.8080653678777,566.302307328914,583.2913765487815,600.7901178452449,618.8138213806023,637.3782360220205,656.4995831026812,676.1945705957615,696.4804077136346,717.3748199450437,738.8960645433949,761.0629464796967,783.8948348740877,807.4116799203103,831.6340303179196,856.5830512274573,882.280542764281,908.7489590472095,936.0114278186257,964.0917706531847,993.0145237727803,1022.8049594859636,1053.4891082705428,1085.093781518659,1117.6465949642188,1151.1759928131455
