City,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,34674.69583354755,34154.57539604434,33644.85736729119,33145.30769309122,32655.6979365483,32175.805137634467,31210.530983505432,30274.215054000266,29365.988602380257,28485.008944308847,27630.458675979582,26801.544915700197,25997.49856822919,25217.57361118231,24461.04640284684,23727.21501076144,23015.398560438593,22324.936603625432,21655.188505516668,21005.53285035117,20375.366864840635,19764.105858895415,19171.18268312855,18596.047202634694,18038.16578655565,17497.020812958985,16972.110188570212,16462.946882913104,15969.058476425713,15489.986722132942,15025.287120468953,14574.528506854884,14137.292651649237,13713.17387209976,13301.778655936767,12902.725296258664,12515.643537370903,12140.174231249775,11775.969004312283,11422.689934182914,11080.009236157428,10747.608959072706,10425.180690300524,10112.425269591507,9809.052511503762,9514.78093615865,9229.33750807389,8952.457382831673,8683.883661346723,8423.36715150632,8170.666136961131,7925.5461528522965
BUSAN,9840.489289541429,9692.881950198307,9548.226757642047,9406.457288569947,9267.508713838564,9131.317758609744,8857.378225851451,8591.656879075907,8333.907172703632,8083.889957522521,7841.373258796845,7606.132061032939,7377.948099201953,7156.609656225894,6941.911366539115,6733.654025542943,6531.644404776654,6335.695072633353,6145.624220454352,5961.255493840722,5782.4178290255,5608.945294154735,5440.676935330092,5277.4566272701895,5119.132928452084,4965.558940598522,4816.592172380566,4672.094407209149,4531.931574992875,4395.973627743088,4264.094418910795,4136.171586343471,4012.086438753167,3891.7238455905717,3774.972130222855,3661.722966316169,3551.8712773266834,3445.315139006883,3341.955684836676,3241.697014291576,3144.4461038628287,3050.1127207469435,2958.6093391245354,2869.851058950799,2783.755527182275,2700.2428613668067,2619.2355755258027,2540.658508260028,2464.438753012227,2390.5055904218607,2318.7904227092044,2249.226710027928
DAEGU,8200.305703447648,8077.301117895933,7956.756624055252,7838.616869862108,7722.827831702525,7609.3367812008155,7381.056677764792,7159.624977431847,6944.836228108892,6736.491141265625,6534.396407027656,6338.364514816825,6148.213579372321,5963.767171991151,5784.854156831417,5611.308532126473,5442.969276162679,5279.680197877798,5121.289791941464,4967.651098183221,4818.621565237724,4674.062918280592,4533.841030732175,4397.825799810209,4265.891025815902,4137.914295041425,4013.7768661901814,3893.363560204476,3776.562653398342,3663.2657737963914,3553.3678005825,3446.7667665650247,3343.3637635680734,3243.062850661032,3145.7709651412006,3051.3978361869645,2959.855901101355,2871.0602240683147,2784.928417346265,2701.3805648258767,2620.3391478811004,2541.728973444667,2465.477104241327,2391.5127911140876,2319.7674073806647,2250.1743851592446,2182.6691536044673,2117.189078996333,2053.673406626443,1992.06320442765,1932.30130829482,1874.3322690459754
INCHEON,11841.018376489983,11702.89504435713,11566.919957054002,11433.055526251032,11301.264865156325,11171.511774876812,10910.884456812504,10656.337479555265,10407.728990959255,10164.920448237759,9927.776540757033,9696.165114631332,9469.957099077152,9249.026434485542,9033.250002172519,8822.507555768343,8616.681654207463,8415.657596281806,8219.323356720872,8027.5695237631035,7840.289238183651,7657.378133744628,7478.73427903463,7304.2581206651075,7133.852427791963,6967.422237931426,6804.874804040036,6646.119542829215,6491.067984285656,6339.633722369381,6191.732366861979,6047.281496338236,5906.200612234891,5768.411093990972,5633.836155234679,5502.4008009924155,5374.031785896125,5248.65757336562,5126.208295743185,5006.615715358219,4889.813186500229,4775.735618278976,4664.3194383510845,4555.502557492892,4449.224334999809,4345.425544892886,4244.048342913788,4145.036234289743,4048.3340422505444,3953.887877280018,3861.64510708486,3771.554327264079
GWANGJU,4997.879572945192,4922.911379351014,4849.4425496287195,4777.439348091191,4706.8688487078025,4637.6989148630055,4498.567947417116,4363.610908994602,4232.702581724763,4105.72150427302,3982.54985914483,3863.0733633704854,3747.1811624693705,3634.7657275952884,3525.72275576743,3419.951073094407,3317.3525409015747,3217.8319646745276,3121.2970057342914,3027.6580955622626,2936.8283526953946,2848.723502114533,2763.261797051097,2680.3639431395636,2599.9530248453766,2521.954434100015,2446.295801077015,2372.906927044704,2301.719719233363,2232.668127656362,2165.688083826671,2100.7174413118705,2037.6959180725146,1976.5650405303393,1917.2680893144288,1859.7500466349957,1803.9575452359459,1749.8388188788674,1697.3436543125015,1646.423344683126,1597.0306443426325,1549.1197250123535,1502.6461332619829,1457.5667492641235,1413.8397467861996,1371.4245543826137,1330.2818177511351,1290.373363218601,1251.6621623220428,1214.1122974523817,1177.68892852881,1142.3582606729458
DAEJEON,5014.051134477631,4938.840367460467,4865.133815783646,4792.89763460201,4722.098791346686,4652.705045418176,4513.123894055631,4377.730177233962,4246.398271916943,4119.006323759435,3995.4361340466517,3875.5730500252525,3759.3058585244944,3646.526682768759,3537.1308822856968,3431.0169558171256,3328.0864471426116,3228.2438537283338,3131.396538116483,3037.4546419729886,2946.331002713799,2857.9410726323845,2772.2028404534135,2689.0367552398106,2608.3656525826163,2530.114683005138,2454.211242514984,2380.5849052395342,2309.167358082348,2239.8923373398775,2172.695567219681,2107.5147002030903,2044.2892591969978,1982.9605814210875,1923.471763978455,1865.7676110591012,1809.7945827273286,1755.5007452455084,1702.8357228881432,1651.7506512014988,1602.198131665454,1554.1321877154903,1507.5082220840256,1462.2829754215047,1418.4144861588595,1375.8620515740938,1334.5861900268708,1294.5486043260646,1255.7121461962827,1218.0407818103943,1181.4995583560824,1146.0545716053998
ULSAN,4337.659690372603,4321.037738605047,4289.66106831692,4249.889449508584,4205.363506032722,4158.197161713267,4071.639647142758,3973.598241225887,3871.840987441896,3769.9227556243936,3669.430154638932,3571.045667944758,3475.04013938744,3381.4982124613903,3290.4209945017087,3201.772685895315,3115.5017212722255,3031.5503357749144,2949.858878995346,2870.3677467480375,2793.018232956927,2717.752892392324,2644.5156821884825,2573.2520036474434,2503.908699421398,2436.4340310441544,2370.7776481211317,2306.8905542918183,2244.725072269063,2184.2348089857983,2125.374621302413,2068.10058246653,2012.3699493987579,1958.14113082469,1905.37365624966,1854.0281457622932,1804.0662806484886,1755.4507747957905,1708.1453468676757,1662.1146932273666,1617.3244615911524,1573.7412253916264,1531.3324588317507,1490.0665126111426,1449.9125903064753,1410.840725388376,1372.8217588576579,1335.8273174842109,1299.829792632303,1264.8023196564898,1230.7187578527587,1197.553670949947
SEJONG,1849.7300216775423,1877.4759720027055,1905.7768413343717,1934.6451153501878,1964.093579384063,1994.1353259175778,2053.9593856951055,2115.5781672659587,2179.045512283937,2244.4168776524557,2311.749383982029,2381.10186550149,2452.534921466535,2526.110969110531,2601.8942981838472,2679.9511271293627,2760.3496609432436,2843.160150771541,2928.454955294687,3016.308603953528,3106.7978620721337,3200.001797934298,3296.0018518723264,3394.881907428497,3496.7283646513515,3601.630215590892,3709.6791220586188,3820.9694957203774,3935.5985805919895,4053.666538009749,4175.276534150042,4300.5348301745435,4429.550875079781,4562.437401332174,4699.31052337214,4840.289839073304,4985.498534245504,5135.063490272869,5289.115394981055,5447.788856830487,5611.222522535401,5779.559198211464,5952.9459741578075,6131.5343533825435,6315.48038398402,6504.94479550354,6700.093139368647,6901.095933549706,7108.128811556198,7321.372675902883,7541.013856179971,7767.244271865372
GYEONGGI,52867.608803853764,52207.80396517097,51558.97856323592,50920.9270576717,50293.44801243796,49676.34401045839,48436.390364445106,47227.38676266088,46048.56067200267,44899.158842292876,43778.446824965074,42685.70850376362,41620.24563715735,40581.377412174916,39568.44000937664,38580.786178685004,37617.78482580267,36678.820608953756,35763.29354569072,34870.61862951559,34000.22545607063,33151.55785865941,32324.07355286567,31517.243790042558,30730.55301945112,29963.49855883198,29215.590273199774,28486.350261655094,27775.31255201377,27082.02280305846,26406.0380142222,25746.926242518402,25104.26632653657,24477.647617327133,23866.669716003653,23270.942217894626,22690.084463081424,22123.725293162963,21571.502814091666,21033.06416492925,20508.06529237444,19996.170730918693,19497.053388489334,19010.39433744316,18535.882610777033,18073.21500342516,17622.09587851611,17182.236978465782,16753.35724078566,16335.182618488538,15927.445904977103,15529.88656330337
GANGWON,5329.708784987342,5250.019639378568,5171.9191634161225,5095.371726712338,5020.342551265379,4946.797690217957,4798.869877522705,4655.365661493246,4516.15275999071,4381.102846608542,4250.091432381251,4122.997751030542,3999.7046476429805,3880.098470676647,3764.0689671971745,3651.5091812466358,3542.315355251571,3436.386834379297,3333.6259737543114,3233.938048449278,3137.2311661676263,3043.4161825372553,2952.4066189372847,2864.1185827820923,2778.4706901891527,2695.383990959403,2614.781895800976,2536.5901057292153,2460.7365435778956,2387.1512875585163,2315.7665068064175,2246.516398854314,2179.337128975602,2114.166771341527,2050.9452519379784,1989.6142931892816,1930.1173602379483,1872.3996088308631,1816.4078347638706,1762.0904248381564,1709.3973092832166,1658.2799156025621,1608.6911237996064,1560.5852229424675,1513.9178690276467,1468.6460441037423,1424.728016617513,1382.123302945749,1340.7926300774798,1300.6978994121264,1261.8021516402232,1224.0695326743396
CHUNGBUK,6036.1855198383555,5950.766265223927,5866.958723621501,5784.728683526886,5704.042708049906,5624.868116644873,5465.670875191919,5310.979297011537,5160.665861040293,5014.606655366312,4872.681275081642,4734.77272302564,4600.767313337567,4470.5545777388625,4344.027174467864,4221.080799791891,4101.614102023744,3985.5285979717482,3872.7285917544614,3763.121095913111,3656.6157547567523,3553.12476987693,3452.56282777046,3354.8470295106567,3259.8968224090354,3167.633933611152,3077.982305571835,2990.8680333566285,2906.2193037177553,2823.966335894369,2744.041324088308,2666.3783815679194,2590.9134863538807,2517.5844284422415,2446.330758521182,2377.0937381392046,2309.8162912836924,2244.442957329903,2180.9198453216254,2119.194589545799,2059.2163063644784,2000.9355522685591,1944.3042831186797,1889.275814539709,1835.8047834361569,1783.8471105967994,1733.3599643576772,1684.301725293519,1636.6319519084839,1590.311347297935,1545.3017267537707,1501.5659862865934
CHUNGNAM,8004.5884808159935,7884.519653603753,7766.852202935758,7651.532097839762,7538.506604086853,7427.724251772873,7204.892524219686,6988.745748493096,6779.083376038303,6575.710874757152,6378.439548514438,6187.086362059005,6001.473771197234,5821.429558061318,5646.786671319478,5477.383071179894,5313.061579044496,5153.669731673162,4999.0596397229665,4849.087850531277,4703.615215015338,4562.5067585648785,4425.631555807931,4292.862609133693,4164.076730859681,4039.154428933891,3917.9797960658743,3800.4404021838977,3686.4271901183806,3575.834374414829,3468.559343182385,3364.502562886913,3263.5674860003055,3165.6604614202956,3070.690647577687,2978.569928150356,2889.2128303058453,2802.53644539667,2718.4603520347696,2636.9065414737265,2557.7993452295145,2481.0653648726293,2406.6334039264507,2334.4344018086563,2264.401369754397,2196.469328661765,2130.575248801912,2066.657991337854,2004.6582515977188,1944.5185040497872,1886.1829489282936,1829.5974604604446
JEONBUK,5253.6063286355475,5174.802233706014,5097.574220675072,5021.886827700002,4947.70544402231,4874.996288690626,4728.746400029907,4586.88400802901,4449.277487788139,4315.799163154496,4186.325188259861,4060.7354326120644,3938.9133696337026,3820.7459685446906,3706.1235894883503,3594.9398818036993,3487.0916853495887,3382.4789347891005,3281.0045667454274,3182.5744297430647,3087.097196850773,2994.4842809452493,2904.649752516892,2817.5102599413854,2732.984952143144,2650.9954035788487,2571.4655414714834,2494.3215752273386,2419.4919279705186,2346.907170131403,2276.499955027461,2208.2049563766373,2141.9588076853374,2077.7000434547776,2015.3690421511344,1954.9079708866002,1896.2607317600023,1839.372909807202,1784.1917225129862,1730.6659708375964,1678.7459917124686,1628.3836119610944,1579.5321036022615,1532.1461404941936,1486.1817562793678,1441.5963035909865,1398.348414483257,1356.3979620487594,1315.7060231872968,1276.2348424916777,1237.9477972169273,1200.8093633004194
JEONNAM,5942.6519167994,5853.512138047409,5766.155154870458,5680.540854368108,5596.630086349533,5514.3846392657715,5348.953100087799,5188.484507085165,5032.829971872609,4881.845072716431,4735.389720534938,4593.328028918889,4455.528188051322,4321.862342409782,4192.206472137489,4066.4402779733646,3944.447069634163,3826.1136575451383,3711.330247818784,3599.9903403842204,3491.9906301726933,3387.2309112675125,3285.613983929487,3187.0455644116028,3091.4341974792537,2998.6911715548763,2908.73043640823,2821.468523315983,2736.824467616503,2654.7197335880082,2575.078141580368,2497.8257973329564,2422.8910234129676,2350.2042927105786,2279.698163929261,2211.307219011383,2144.968002441042,2080.6189623678106,2018.200393496776,1957.6543816918727,1898.9247502411163,1841.9570077338828,1786.6982975018661,1733.09734857681,1681.1044281195057,1630.6712952759208,1581.751156417643,1534.2986217251137,1488.26966307336,1443.6215731811592,1400.3129259857244,1358.3035382061528
GYEONGBUK,7772.54580451609,7655.957617448349,7541.701194121963,7429.72406985275,7319.975039108952,7212.404124032419,6996.032000311446,6786.151040302102,6582.566509093039,6385.089513820247,6193.536828405639,6007.730723553471,5827.498801846866,5652.67383779146,5483.093622657715,5318.600813977984,5159.0427895586445,5004.271505871885,4854.143360695729,4708.519059874857,4567.263488078611,4430.245583436253,4297.338215933165,4168.41806945517,4043.3655273715144,3922.064561550369,3804.4026247038582,3690.270545962742,3579.56242958386,3472.175556696344,3368.010289995453,3266.9699812955896,3168.9608818567217,3073.89205540102,2981.6752937389897,2892.2250349268197,2805.458283879015,2721.294535362644,2639.6556993017653,2560.466028322712,2483.652047473031,2409.1424860488396,2336.8682114673747,2266.7621651233535,2198.7593001696523,2132.796521164563,2068.812625529626,2006.7482467637371,1946.5457993608245,1888.14942538,1831.5049426186,1776.559794340042
GYEONGNAM,9766.436531342117,9619.939983371984,9476.373366361257,9335.670756863343,9197.767813594377,9062.601737879142,8790.723685742767,8527.001975170484,8271.19191591537,8023.0561584379075,7782.364473684771,7548.893539474227,7322.426733290001,7102.7539312912995,6889.671313352562,6682.981173951984,6482.491738733424,6288.016986571422,6099.376476974278,5916.395182665051,5738.903327185099,5566.736227369546,5399.734140548459,5237.742116332005,5080.609852842045,4928.191557256784,4780.345810539081,4636.935436222908,4497.827373136221,4362.892551942134,4232.005775383869,4105.045602122354,3981.894234058683,3862.4374070369227,3746.564284825814,3634.1673562810397,3525.142335592609,3419.38806552483,3316.806423559085,3217.3022308523123,3120.783163926743,3027.1596690089405,2936.3448789386725,2848.254532570512,2762.8068965933962,2679.9226896955947,2599.5250090047266,2521.539258734585,2445.8930809725475,2372.516288543371,2301.34079988707,2232.300575890458
