AREA,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075
SEOUL,9368102.0,9348434.0,9327065.0,9304036.0,9279387.0,9253158.0,9224988.0,9194889.0,9162877.0,9128965.0,9093163.0,9055480.0,9015922.0,8974493.0,8931194.0,8886024.0,8838979.0,8790054.0,8739241.0,8686530.0,8631909.0,8575363.0,8516876.0,8456428.0,8393999.0,8329565.0,8263101.0,8194579.0,8123970.0,8051241.0,7976358.0,7899284.0,7819980.0,7738406.0,7654517.0,7568268.0,7479610.0,7388492.0,7294862.0,7198663.0,7099837.0,6998324.0,6894060.0,6786978.0,6677010.0,6564084.0,6448126.0,6329058.0,6206799.0,6081266.0,5952373.0,5820029.0
BUSAN,3279040.0,3264199.0,3248789.0,3232803.0,3216221.0,3199033.0,3180879.0,3161745.0,3141629.0,3120519.0,3098408.0,3075282.0,3051129.0,3025934.0,2999681.0,2972351.0,2943925.0,2914381.0,2883697.0,2851848.0,2818807.0,2784546.0,2749034.0,2712239.0,2674126.0,2634659.0,2593799.0,2551506.0,2507736.0,2462443.0,2415580.0,2367096.0,2316937.0,2265048.0,2211370.0,2155841.0,2098395.0,2038965.0,1977479.0,1913862.0,1848035.0,1779915.0,1709416.0,1636447.0,1560913.0,1482714.0,1401746.0,1317899.0,1231059.0,1141106.0,1047914.0,951352.0
DAEGU,2367110.0,2358722.0,2349768.0,2340265.0,2330215.0,2319628.0,2308299.0,2296212.0,2283368.0,2269754.0,2255364.0,2240186.0,2224209.0,2207420.0,2189806.0,2171350.0,2152036.0,2131845.0,2110758.0,2088753.0,2065808.0,2041898.0,2016997.0,1991078.0,1964112.0,1936067.0,1906911.0,1876608.0,1845122.0,1812415.0,1778446.0,1743171.0,1706546.0,1668523.0,1629052.0,1588080.0,1545553.0,1501413.0,1455599.0,1408047.0,1358691.0,1307461.0,1254284.0,1199084.0,1141780.0,1082289.0,1020522.0,956388.0,889790.0,820628.0,748796.0,674184.0
INCHEON,2992850.0,2987865.0,2982361.0,2976340.0,2969769.0,2962642.0,2954446.0,2945152.0,2934762.0,2923257.0,2910634.0,2896873.0,2881960.0,2865871.0,2848585.0,2830074.0,2810310.0,2789261.0,2766892.0,2743163.0,2718034.0,2691459.0,2663388.0,2633769.0,2602544.0,2569652.0,2535027.0,2498599.0,2460291.0,2420023.0,2377708.0,2333254.0,2286562.0,2237527.0,2186037.0,2131972.0,2075206.0,2015604.0,1953021.0,1887305.0,1818294.0,1745814.0,1669682.0,1589702.0,1505667.0,1417357.0,1324537.0,1226959.0,1124359.0,1016456.0,902952.0,783531.0
GWANGJU,1416153.0,1412757.0,1409028.0,1404976.0,1400602.0,1395914.0,1390810.0,1385283.0,1379333.0,1372955.0,1366145.0,1358897.0,1351207.0,1343066.0,1334467.0,1325401.0,1315859.0,1305830.0,1295303.0,1284265.0,1272703.0,1260602.0,1247947.0,1234722.0,1220908.0,1206486.0,1191436.0,1175737.0,1159365.0,1142296.0,1124505.0,1105964.0,1086644.0,1066514.0,1045542.0,1023693.0,1000932.0,977220.0,952517.0,926780.0,899965.0,872025.0,842910.0,812567.0,780942.0,747976.0,713608.0,677774.0,640407.0,601434.0,560781.0,518370.0
DAEJEON,1439932.0,1437377.0,1434533.0,1431412.0,1428010.0,1424334.0,1420227.0,1415689.0,1410724.0,1405329.0,1399507.0,1393255.0,1386574.0,1379460.0,1371911.0,1363924.0,1355496.0,1346622.0,1337297.0,1327515.0,1317271.0,1306557.0,1295367.0,1283691.0,1271522.0,1258850.0,1245665.0,1231956.0,1217711.0,1202919.0,1187567.0,1171641.0,1155127.0,1138009.0,1120272.0,1101899.0,1082873.0,1063175.0,1042786.0,1021686.0,999854.0,977268.0,953905.0,929740.0,904749.0,878906.0,852184.0,824554.0,795987.0,766452.0,735917.0,704349.0
ULSAN,1102478.0,1101159.0,1099684.0,1098040.0,1096222.0,1094228.0,1091938.0,1089355.0,1086482.0,1083321.0,1079875.0,1076145.0,1072132.0,1067837.0,1063260.0,1058402.0,1053261.0,1047837.0,1042128.0,1036132.0,1029847.0,1023270.0,1016398.0,1009228.0,1001755.0,993975.0,985882.0,977472.0,968738.0,959674.0,950272.0,940525.0,930426.0,919965.0,909133.0,897921.0,886318.0,874313.0,861895.0,849051.0,835769.0,822035.0,807834.0,793152.0,777972.0,762278.0,746052.0,729276.0,711931.0,693996.0,675450.0,656271.0
SEJONG,387769.0,388926.0,389995.0,390972.0,391855.0,392640.0,393230.0,393616.0,393786.0,393728.0,393428.0,392871.0,392039.0,390918.0,389489.0,387734.0,385629.0,383149.0,380265.0,376943.0,373147.0,368834.0,363957.0,358463.0,352292.0,345376.0,337640.0,328999.0,319358.0,308610.0,296635.0,283299.0,268452.0,251926.0,233531.0,213057.0,190266.0,164894.0,136644.0,105183.0,70138.0,31093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYEONGGI,13620286.0,13607457.0,13591984.0,13573834.0,13552855.0,13529013.0,13500786.0,13468116.0,13431003.0,13389380.0,13343221.0,13292451.0,13237020.0,13176839.0,13111835.0,13041904.0,12966948.0,12886844.0,12801471.0,12710684.0,12614336.0,12512259.0,12404279.0,12290201.0,12169821.0,12042917.0,11909252.0,11768571.0,11620603.0,11465058.0,11301626.0,11129977.0,10949759.0,10760599.0,10562099.0,10353836.0,10135361.0,9906197.0,9665838.0,9413747.0,9149354.0,8872055.0,8581210.0,8276140.0,7956126.0,7620406.0,7268172.0,6898569.0,6510692.0,6103581.0,5676220.0,5227534.0
GANGWON,1519460.0,1510768.0,1501716.0,1492318.0,1482573.0,1472490.0,1461940.0,1450916.0,1439417.0,1427436.0,1414968.0,1402005.0,1388541.0,1374567.0,1360074.0,1345052.0,1329490.0,1313376.0,1296698.0,1279441.0,1261592.0,1243134.0,1224051.0,1204325.0,1183937.0,1162867.0,1141093.0,1118593.0,1095343.0,1071317.0,1046489.0,1020830.0,994311.0,966900.0,938564.0,909268.0,878975.0,847646.0,815240.0,781715.0,747025.0,711122.0,673956.0,635475.0,595623.0,554341.0,511569.0,467241.0,421290.0,373644.0,324227.0,272961.0
