AREA,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075
SEOUL,9348434,9224988,9055480,8838979,8575363,8263101,7899284,7479610,6998324,6448126,5820029
BUSAN,3264199,3180879,3075282,2943925,2784546,2593799,2367096,2098395,1779915,1401746,951352
DAEGU,2358722,2308299,2240186,2152036,2041898,1906911,1743171,1545553,1307461,1020522,674184
INCHEON,2987865,2954446,2896873,2810310,2691459,2535027,2333254,2075206,1745814,1324537,783531
GWANGJU,1412757,1390810,1358897,1315859,1260602,1191436,1105964,1000932,872025,713608,518370
DAEJEON,1437377,1420227,1393255,1355496,1306557,1245665,1171641,1082873,977268,852184,704349
ULSAN,1101159,1091938,1076145,1053261,1023270,985882,940525,886318,822035,746052,656271
SEJONG,388926,393230,392871,385629,368834,337640,283299,190266,31093,0,0
GYEONGGI,13607457,13500786,13292451,12966948,12512259,11909252,11129977,10135361,8872055,7268172,5227534
GANGWON,1510768,1461940,1402005,1329490,1243134,1141093,1020830,878975,711122,511569,272961
CHUNGBUK,1579696,1538037,1483545,1414492,1329312,1225719,1100572,949694,767626,547289,279548
CHUNGNAM,2110567,2052206,1976308,1880372,1762344,1619374,1447700,1242504,997700,705668,356912
JEONBUK,1732800,1670747,1595117,1503623,1394404,1264981,1112165,931930,719246,467865,170038
JEONNAM,1779428,1711168,1628103,1527454,1407636,1266493,1101235,908364,683578,421638,116205
GYEONGBUK,2523359,2435645,2328053,2197417,2041430,1856945,1639874,1385047,1086026,734860,321778
GYEONGNAM,3222009,3137205,3029904,2896861,2735695,2542942,2313893,2042390,1720521,1338247,882894
JEJU,671795,661486,645983,623220,592272,551840,500098,434556,351878,247635,115969
