AGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ALL_AGE,"246,479","246,106","246,894","255,335","257,378","267,172","266,221","267,650","275,854","280,785","285,493","298,777","295,039","304,921","317,655","372,921","352,479"
0_,"2,215","2,035","1,820","1,894","1,824","1,782","1,647","1,594","1,477","1,432","1,261","1,151","1,055",859,777,766,719
5_,439,386,384,277,239,268,253,204,207,205,210,177,178,142,136,183,148
10_,476,431,441,417,402,325,272,239,220,193,197,221,184,203,237,246,245
15_,"1,071","1,004","1,073","1,034","1,003",905,812,870,685,718,626,620,610,563,536,550,558
20_,"1,629","1,525","1,507","1,411","1,318","1,255","1,217","1,131","1,155","1,131","1,087","1,144","1,126","1,118","1,138","1,073","1,039"
25_,"2,451","2,507","2,544","2,349","2,158","1,733","1,565","1,449","1,479","1,374","1,384","1,384","1,435","1,588","1,640","1,684","1,612"
30_,"3,018","2,745","3,040","2,809","2,779","2,727","2,670","2,524","2,315","2,122","1,849","1,861","1,788","1,752","1,770","1,837","1,896"
35_,"4,574","4,644","4,718","4,464","4,062","3,742","3,603","3,416","3,103","3,064","3,062","3,204","3,117","3,007","2,771","2,590","2,425"
40_,"7,083","6,860","7,000","6,890","6,576","6,318","6,274","5,854","5,537","5,192","4,680","4,513","4,219","4,155","4,217","4,568","4,410"
45_,"11,481","11,274","10,970","10,689","9,770","9,411","8,996","8,757","8,624","8,192","8,022","8,071","7,701","7,419","7,005","6,971","6,299"
50_,"12,588","13,072","13,988","14,117","14,436","14,248","14,105","13,628","12,609","11,927","11,260","11,207","11,096","10,802","10,660","11,176","10,760"
55_,"13,725","13,689","13,394","14,187","14,853","15,138","15,649","16,167","16,144","16,688","16,431","16,667","16,195","15,588","14,753","15,165","14,489"
60_,"16,634","15,799","16,113","16,397","16,557","16,311","16,230","15,888","16,696","17,831","17,721","18,793","19,261","19,894","20,960","22,683","21,730"
65_,"25,880","25,343","24,020","23,371","21,751","20,533","19,466","19,521","19,900","20,332","19,942","20,397","20,181","21,201","23,497","26,315","25,706"
70_,"31,627","32,202","31,975","32,541","32,028","33,500","32,904","31,261","30,399","28,692","26,828","25,964","26,083","26,466","28,106","32,040","30,188"
75_,"34,587","34,024","34,553","36,987","38,060","40,789","41,226","41,399","42,666","42,367","43,132","45,173","42,208","41,835","40,713","44,581","39,898"
80_,"34,080","33,546","33,981","36,391","37,670","40,604","40,839","42,575","45,030","48,227","50,618","53,905","53,140","55,154","57,523","69,310","66,302"
85_,"25,797","27,570","27,439","29,383","30,833","33,078","32,877","34,239","37,792","39,709","42,481","46,046","46,366","50,632","55,126","69,769","66,674"
90_,"17,124","17,450","17,934","19,727","21,059","24,505","25,616","26,934","29,816","31,389","34,702","38,279","39,096","42,543","46,090","61,414","57,381"
