AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ADD_UP,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
SEOUL,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
BUSAN,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
DAEGU,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
INCHEON,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
GWANGJU,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
DAEJEON,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
ULSAN,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
SEJONG,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
GYEONGGI,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
GANGWON,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
CHUNGBUK,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
CHUNGNAM,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
JEONBUK,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
JEONNAM,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
GYEONGBUK,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
GYEONGNAM,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
JEJU,7401627,7858534,7830397,8157506,8554373,8879389,9106286,9584442,9704468,9934000,10233000,10725000,11187000,11313000,11709000,12244000,13003000
