AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEOUL,1824659,1795743.5,"1,763,708.0",1721953,1676582,1639911.5,1607655.5,1580207,1555051.5,1529163,1509035,1497466,1489000,1480484.5,1462661.5,1439908,1425379
BUSAN,563828.5,545131,"527,242.0",510226,495370.5,483495.5,472812.5,463869,457189,451338,443933.5,435115.5,424392,413372.5,402457,389674,377598
DAEGU,398347.5,385074.5,"372,761.5",361327,350639.5,341422.5,332671.5,324526.5,318298,314215.5,310699.5,307123.5,300722.5,292895.5,284363,274079.5,267051.5
INCHEON,431770.5,428023.5,"421,944.0",415219,412344.5,413975.5,415046.5,414116,412461,411173,408534.5,404823.5,399523,390818.5,382382.5,376389,372761.5
GWANGJU,235180,230589.5,"226,733.0",223060.5,219421.5,216216,212754.5,209272,205988,202878.5,199726.5,197335.5,194970.5,191886.5,188524.5,183792,177979
DAEJEON,248943,243515.5,"236,921.5",231269.5,227712,225103,222157,218460.5,213820,209979,206987,203529,199120.5,194678.5,191160.5,187541,184454.5
ULSAN,176851.5,172513,"168,120.5",163659.5,160388,158703.5,157495.5,156380.5,155404,154027.5,151439,147947,143373,137326.5,130694,123987,117939
SEJONG,2487.5,4591.5,6695.5,8799.5,10903.5,13007.5,15111.5,18976,26948,34136,39217,44274.5,48013.5,49575.5,50046.5,50024.5,49188
GYEONGGI,1856233,1839609.5,"1,817,077.5",1801451,1788407.5,1775358.5,1764919.5,1752551,1746909,1752247,1757272.5,1765728.5,1770081,1768489.5,1765003,1739386,1705188
GANGWON,206894.5,201150.5,"195,866.0",190599.5,185915.5,182312,178565,174559.5,171469,169556.5,167806.5,165132,161813.5,158424.5,154875,151329,147514.5
CHUNGBUK,220598.5,216833.5,"211,909.0",207393,204349,201147.5,198237,194998.5,192635.5,190997.5,189198.5,187409,184695.5,180796.5,176537.5,171587.5,167310
CHUNGNAM,280615.5,277277.5,"273,861.5",271616,269885,257506,255586.5,252964,250723.5,249453.5,248650,247223.5,242830,235672.5,228673.5,221989,216442.5
JEONBUK,256470,249192.5,"242,440.0",236616,231459.5,226990.5,222095.5,217315.5,213879,211192,207604,202932.5,197093.5,190752.5,184982,178683.5,172529
JEONNAM,239428.5,231450.5,"224,721.5",218343.5,212278,207811.5,204065.5,200970,199620,198418,195881.5,192290.5,186585,179415.5,172546.5,166300.5,160719
GYEONGBUK,374536.5,362795,"350,944.5",340325.5,332311,325609,317851.5,310579.5,304498.5,298866.5,292419.5,284880,276073.5,264515,253220,242252,229434.5
GYEONGNAM,477078,466790,"457,336.0",447197,437288.5,428971.5,420315.5,412585,406941.5,402222.5,397194.5,390707,380622,365645,348529,330318,313120
JEJU,83953.5,81321,"78,828.5",76524,74634.5,73439.5,73136,74031.5,75683.5,77577,79363.5,80804.5,80803,79828,78840.5,76909.5,74311.5
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
