AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ADD_UP,5737761,6074705,6362487.5,6627840.5,6890924,7200490.5,7583753,7980713,8382451.5,8760152.5,9201493.5,9688015,10201047.5,10815186,11460279.5,12103749,12743223
SEOUL,981934,1048796,1107780,1161810,1212657.5,1276103.5,1348703,1420913,1489017,1545701.5,1614569,1694363,1779762.5,1885341,1990869.5,2095568,2205116.5
BUSAN,393631,419855.5,443703.5,464554,484639.5,511320.5,543200.5,576338,608726,639783,675402,712649.5,751590.5,798742.5,847389.5,894590,941733.5
DAEGU,253537,270090,284137.5,295937.5,307076,322738.5,342674,363099,382778.5,401922,424743,449298,473795.5,501729.5,531089.5,560242.5,604815
INCHEON,240609,257557.5,272152.5,285880,300986.5,320198,341404.5,362881.5,384810.5,404682.5,427739.5,454404.5,482491,515532,551346,589556,630922.5
GWANGJU,134421.5,142413.5,149526,157011,164414,173580,183719,194283,204868.5,214289,224823,235693.5,247106,260791,274704,289211.5,304323.5
DAEJEON,134055.5,142748.5,149859,156747.5,163876.5,172610.5,182785.5,193547,204263,214279,225528,237966.5,251292,266512,282606.5,299298,315961.5
ULSAN,77187.5,82647.5,87275,91323.5,95641,101326.5,108205.5,115639,123291.5,130764.5,139397,149027.5,159311.5,171588,184713.5,198284.5,212672
SEJONG,14406,15782,17159,18535.5,19912,21288.5,22665,24635.5,27820,30925,34012.5,37409.5,40954,44801.5,48533,52175.5,55373.5
GYEONGGI,1018560,1090886.5,1155647.5,1218273.5,1282782.5,1358087.5,1441639,1527322,1618799.5,1710195,1818052.5,1942777,2074983.5,2230066.5,2396508,2560205,2725859
GANGWON,243420,255215.5,265967.5,276438.5,286461.5,297136,309185.5,321186,332694,343623,358996.5,377241,396105,419446,444629.5,469683,493698.5
CHUNGBUK,221550.5,232725,241428,249605,257451,265251.5,276418,288329,300474,312352.5,327076,343657.5,361060.5,381307,403048.5,425760,447321
CHUNGNAM,341425.5,357266.5,370105.5,381326.5,392296.5,387696.5,405353,424352,443847.5,462530,483052.5,504071.5,526103,552355,580154,608053.5,633658
JEONBUK,319137,334195,343825.5,352511,362812,377923,395109.5,412142,430655,447918,464671.5,481293,499707,522492,545953,569812,590870.5
JEONNAM,398713,414557.5,425823.5,437130.5,447892.5,460877.5,476150.5,492812,510606,526491,543458,559842,576881.5,599087.5,622642.5,646615,668592
GYEONGBUK,470224,491004,507445.5,520043.5,530876,547536,570131.5,594784.5,619314.5,642976.5,671252.5,701370.5,732977.5,769508,807798.5,844986.5,863902
GYEONGNAM,418717,438800,456832.5,473608.5,490562,511889.5,536441,563124.5,589740.5,615705,647049,679399,713146,754643.5,799184,843013,884345.5
JEJU,76232.5,80164.5,83819.5,87104.5,90587,94927,99968,105325,110745.5,116015,121671,127551.5,133780.5,141243,149110,156695,164058.5
