AREA,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
SEOUL,47410 ,48258 ,52502 ,49119 ,48018 ,43536 ,43629 ,42771 ,41424 ,41263 ,44017 ,44439 ,46853 ,45758 ,52389 ,57709 ,59154 
BUSAN,9002.666667,9233.5,8597.333333,8286,7836.833333,8004.333333,7681.166667,7286.166667,7076.5,7168.5,7490,7503.666667,8034.833333,7396.833333,8972.166667,9778.5,10339.66667
DAEGU,9002.666667,9233.5,8597.333333,8286,7836.833333,8004.333333,7681.166667,7286.166667,7076.5,7168.5,7490,7503.666667,8034.833333,7396.833333,8972.166667,9778.5,10339.66667
INCHEON,9002.666667,9233.5,8597.333333,8286,7836.833333,8004.333333,7681.166667,7286.166667,7076.5,7168.5,7490,7503.666667,8034.833333,7396.833333,8972.166667,9778.5,10339.66667
GWANGJU,9002.666667,9233.5,8597.333333,8286,7836.833333,8004.333333,7681.166667,7286.166667,7076.5,7168.5,7490,7503.666667,8034.833333,7396.833333,8972.166667,9778.5,10339.66667
DAEJEON,9002.666667,9233.5,8597.333333,8286,7836.833333,8004.333333,7681.166667,7286.166667,7076.5,7168.5,7490,7503.666667,8034.833333,7396.833333,8972.166667,9778.5,10339.66667
ULSAN,9002.666667,9233.5,8597.333333,8286,7836.833333,8004.333333,7681.166667,7286.166667,7076.5,7168.5,7490,7503.666667,8034.833333,7396.833333,8972.166667,9778.5,10339.66667
SEJONG,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
GYEONGGI,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
GANGWON,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
CHUNGBUK,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
CHUNGNAM,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
JEONBUK,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
JEONNAM,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
GYEONGBUK,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
GYEONGNAM,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
JEJU,9897.3,10543.5,11217.3,10988.3,10622.6,9883.3,9624.4,9580.9,9446.2,9633.1,9774.5,10539,11490.7,10339.3,12793.7,14315.8,14995.1
