AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEOUL,9886.9287,8844.117009,7697.059708000001,7383.78222,6590.543596999999,6423.05034,6045.61242,5667.913713000001,5872.998066,5650.520504,5441.2991520000005,5390.623896,4806.178858,4718.21092,4583.558756,4685.900884000001,4261.259435999999
BUSAN,5040.351795,4662.466716,4046.14026,4053.14576,4303.767156,4065.7181160000005,3555.85608,3273.04293,3053.472213,2844.304077,2668.932157,2594.855562,2406.757905,2428.633336,2261.5065,2329.104024,2170.325558
DAEGU,2974.4603730000003,2729.53278,2499.740124,2479.0242120000003,2584.996401,2302.6868360000003,2238.92126,2196.565584,2166.899059,2104.419779,1851.4727879999998,1774.9354489999998,1448.1904140000001,1458.262638,1357.2994279999998,1394.57769,1211.2296
INCHEON,3277.42848,2924.2678559999995,2686.1837889999997,2675.54712,2664.0115739999997,2610.7745579999996,2381.579714,2342.404656,2062.699575,2048.3760239999997,1993.2143919999999,1988.474066,1747.6023659999998,1547.9275280000002,1592.1225,1697.3036080000002,1639.58327
GWANGJU,1506.7313040000001,1315.99935,1247.2668,1202.983972,1147.355776,1169.495936,1022.1995400000002,1121.67184,1149.787419,1004.9423760000001,951.4505,948.5684,801.0574,735.1814340000001,689.090058,701.2145,640.0758870000001
DAEJEON,1601.090015,1472.00963,1326.8569200000002,1323.22432,1245.8256660000002,1173.92891,1068.369267,977.2941420000001,920.37765,885.90645,898.331746,852.2433920000001,704.98786,671.921838,576.5436470000001,640.6098959999999,543.7154320000001
ULSAN,1374.99375,1327.101551,1336.724334,1169.0973239999998,1213.843086,1165.6120959999998,1155.32352,1076.565971,1126.59264,1016.387568,872.6838680000001,926.809646,858.718212,855.420801,804.181464,785.2387410000001,715.172328
SEJONG,4.174425077084,6.026975861770801,7.7230854772208,9.262753923434,10.645981198632,101.239715,105.295886,106.165,165.75482399999999,160.65472799999998,175.3426,196.957002,179.8236,180.762148,174.04686,197.165774,177.02845
GYEONGGI,10872.980569000001,9925.900056,9477.92447,9830.042748,9096.31023,9444.866519,8686.5873,8465.11355,8164.739112,8278.623779999998,8110.55385,7898.600411999999,7467.171624,7170.025476,6945.5104,7243.167255999999,6938.087888999999
GANGWON,1646.66757,1440.689125,1449.32946,1442.6183740000001,1338.246208,1304.75824,1178.288932,1159.875942,1143.5361659999999,1059.200498,1018.443294,987.55328,929.5257059999999,891.76152,847.709092,843.537402,838.766043
CHUNGBUK,1619.6036,1513.508652,1484.708616,1360.485584,1359.72561,1316.693148,1237.740084,1135.252827,1096.0947840000001,1114.1375,1036.3808,989.9369879999999,947.204144,912.47709,830.66204,882.0670739999999,846.1320390000001
CHUNGNAM,1973.580159,1844.9428180000002,1764.5460119999998,1755.8848439999997,1756.6734239999998,1515.496419,1447.6751170000002,1398.221094,1340.083605,1325.131464,1365.31665,1275.7692,1178.658495,1134.750515,1032.0781590000001,1137.947832,1079.9703330000002
JEONBUK,1936.76808,1790.81998,1680.1842479999998,1616.652995,1516.091079,1545.506325,1356.02666,1351.26632,1237.748682,1260.598716,1220.331406,999.2366079999999,1009.498935,970.6079519999998,907.72234,1003.3671690000001,1001.9662470000001
JEONNAM,1910.53764,1723.262,1649.009448,1720.881045,1675.046625,1640.3618620000002,1455.1722359999999,1337.85756,1366.841136,1275.62238,1217.504208,1099.65448,1070.790885,1035.015891,956.7231660000001,1039.722684,941.801274
GYEONGBUK,3040.666776,2791.5839640000004,2685.895256,2617.29216,2515.64974,2487.881466,2308.0212,2225.4542560000004,2167.6664520000004,1976.6913359999999,1854.585434,1707.8181779999998,1604.833272,1670.754126,1568.085573,1617.506024,1484.062244
GYEONGNAM,4261.538349,3715.49376,3438.686208,3445.191192,3312.073765,3432.170676,3150.4599,3052.084127,3001.3141840000003,2756.4526069999997,2562.346232,2672.1984960000004,2229.3726389999997,2171.1404,2097.8778389999998,2125.7594639999998,2015.71796
JEJU,501.654426,413.17546600000003,355.04035300000004,347.894295,343.388976,368.32290300000005,372.316362,335.254992,311.573105,349.02876799999996,328.5415,354.94561200000004,310.667907,289.418415,334.318946,345.86109,336.27549600000003
