AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ADD_UP,497458.71,466734.32,445896.9,471424.6,472724.2,484550,436455,435435,438420,406243,357771,326822,302676,272337,260562,249186,230028
SEOUL,101249,94736,89594,93266,91526,93914,84066,83711,83005,75536,65389,58074,53673,47445,45531,42602,39456
BUSAN,28426,26670,25110,27415,27759,28673,25831,26190,26645,24906,21480,19152,17049,15058,14446,14134,12866
DAEGU,22295,20562,19399,20557,20758,21472,19340,19361,19438,18298,15946,14400,13233,11193,10661,10134,9410
INCHEON,26712,25365,24379,25752,26118,27781,25560,25786,25491,23609,20445,20087,18522,16040,14947,14464,13659
GWANGJU,14810,13890,13101,13979,13916,14392,12729,12729,12441,11580,10120,9105,8364,7318,7956,7446,6172
DAEJEON,15780,14856,13915,14314,14808,15279,14099,13962,13774,12436,10851,9337,8410,7481,7414,7677,7194
ULSAN,11955,11365,11033,11432,11542,12160,11330,11556,11732,10910,9381,8149,7539,6617,6127,5399,5082
SEJONG,636.71,842.32,1047.94,1253.55,1459.17,1054,1111,1344,2708,3297,3504,3703,3819,3468,3570,3209,2761
GYEONGGI,126648,119397,113692,121753,122027,124746,112129,112169,113495,105643,94088,88175,83198,77737,76139,75323,68817
GANGWON,13690,12373,12112,12477,12408,12426,10980,10662,10929,10058,8958,8351,8283,7835,7357,7278,6688
CHUNGBUK,15002,14064,13903,14670,14804,15139,13658,13366,13563,12742,11394,10586,9333,8607,8190,7452,7580
CHUNGNAM,20630,19749,19257,20242,20398,20448,18628,18200,18604,17302,15670,14380,13228,11950,10984,10221,9436
JEONBUK,17228,15878,15233,16100,16175,16238,14555,14231,14087,12698,11348,10001,8971,8165,7475,7032,6622
JEONNAM,17844,16363,15995,16654,16612,16990,15401,14817,15061,13980,12354,11238,10832,9738,8430,7888,7828
GYEONGBUK,25062,23538,22373,23700,24250,24635,22206,22062,22310,20616,17957,16079,14472,12873,12045,11311,10186
GYEONGNAM,33313,31493,30320,32203,32536,33211,29504,29763,29537,27138,23849,21224,19250,16823,15562,14017,13049
JEJU,6178,5593,5433,5657,5628,5992,5328,5526,5600,5494,5037,4781,4500,3989,3728,3599,3222
