AREA,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
ADD_UP,153142 ,205790 ,188240 ,235471 ,246701 ,249746 ,247692 ,255610 ,277750 ,306150 ,313535 ,319123 ,313003 ,345728 ,349538 ,368125 ,373411 
SEOUL,34451 ,42706 ,57883 ,48948 ,51766 ,50536 ,48997 ,49831 ,53429 ,58449 ,59446 ,57951 ,55642 ,57884 ,58694 ,61685 ,61625 
BUSAN,10525 ,13908 ,11123 ,17062 ,17812 ,19328 ,18047 ,18625 ,19918 ,21503 ,22306 ,23032 ,22661 ,24778 ,24888 ,26077 ,26129 
DAEGU,7570 ,9916 ,8100 ,11684 ,12549 ,12606 ,12294 ,12283 ,13248 ,14782 ,14729 ,15069 ,14418 ,16402 ,16158 ,17124 ,17236 
INCHEON,7327 ,9619 ,8200 ,11396 ,12175 ,12653 ,12700 ,13402 ,14709 ,16082 ,16618 ,17378 ,16994 ,19186 ,19115 ,20848 ,21129 
GWANGJU,4074 ,5235 ,4317 ,6313 ,6294 ,6573 ,6454 ,6734 ,7290 ,7892 ,8109 ,8314 ,8447 ,9153 ,9336 ,9909 ,10129 
DAEJEON,4975 ,6462 ,5325 ,6707 ,6758 ,7075 ,6834 ,7090 ,7696 ,8261 ,8309 ,8372 ,8540 ,9279 ,9469 ,10004 ,10228 
ULSAN,3747 ,4500 ,3633 ,4481 ,4913 ,5102 ,5128 ,5223 ,5874 ,6714 ,6949 ,6683 ,6516 ,7410 ,7336 ,7869 ,8102 
SEJONG,385 ,450 ,515 ,580 ,645 ,665 ,646 ,774 ,915 ,1040 ,1289 ,1521 ,1712 ,1820 ,2020 ,2156 ,2332 
GYEONGGI,34156 ,46410 ,36852 ,51044 ,52786 ,53279 ,53935 ,56833 ,63399 ,71107 ,73556 ,76556 ,76733 ,88038 ,89500 ,93813 ,96405 
GANGWON,4281 ,6131 ,4975 ,7270 ,7585 ,7408 ,7986 ,8190 ,8991 ,9584 ,10057 ,10253 ,10117 ,11143 ,11300 ,11912 ,12028 
CHUNGBUK,4489 ,6199 ,4935 ,7343 ,7784 ,7837 ,7919 ,8257 ,9142 ,9907 ,10022 ,9962 ,9763 ,10868 ,11154 ,11842 ,12028 
CHUNGNAM,6342 ,9111 ,6988 ,10559 ,11016 ,10839 ,11097 ,11265 ,12242 ,13548 ,13778 ,14453 ,13608 ,15016 ,15316 ,16313 ,16425 
JEONBUK,5239 ,7937 ,5930 ,9606 ,9916 ,10067 ,9924 ,10231 ,10968 ,11697 ,12237 ,12607 ,12442 ,13452 ,13341 ,14000 ,14134 
JEONNAM,6365 ,9554 ,7042 ,11002 ,11574 ,11430 ,11315 ,11582 ,12429 ,13477 ,13351 ,13880 ,13209 ,14585 ,14712 ,15477 ,15688 
GYEONGBUK,8197 ,11985 ,9844 ,14096 ,14733 ,15116 ,14994 ,15195 ,16059 ,18160 ,18160 ,18160 ,17709 ,19881 ,19794 ,20560 ,20742 
GYEONGNAM,9493 ,13515 ,10918 ,14911 ,15798 ,16507 ,16472 ,17049 ,18163 ,20261 ,20813 ,20974 ,20589 ,22805 ,23136 ,24269 ,24650 
JEJU,1526 ,2152 ,1660 ,2469 ,2597 ,2725 ,2950 ,3046 ,3278 ,3686 ,3806 ,3958 ,3903 ,4028 ,4269 ,4267 ,4401 
