AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
SEOUL,693.10428,734.459544,602.2898180000001,587.815065,573.982024,621.914398,486.89496,414.232553,430.953783,436.9471040000001,404.15446599999996,361.328051,282.14410300000003,357.733205,342.34048800000005,273.422788,234.65085
BUSAN,319.28207100000003,402.79720100000003,343.67391,363.92682,333.790522,304.309624,253.98972,207.64465900000002,196.771512,209.91174,211.70983299999997,223.694445,310.65953099999996,189.948976,180.92052,162.572788,187.72163400000002
DAEGU,336.590235,326.54684399999996,248.9781,195.910728,167.987157,147.832996,117.574636,157.07563199999998,106.97664699999999,81.990381,99.00924,61.544225,48.76062,55.621958,78.71859599999999,113.457168,71.2488
INCHEON,239.81184,282.73308,200.58284600000002,187.564128,210.09555,179.170803,210.22408599999997,208.98777600000003,190.177975,170.698002,188.706688,168.41459400000002,177.42156,132.42726,126.780125,115.725246,146.87309000000002
GWANGJU,118.72929599999999,177.83775,101.78844,135.281148,98.05208800000001,158.675328,117.8328,129.877792,151.63649700000002,76.399128,77.57981,51.07676,59.715188,63.80272800000001,30.273831,25.7589,46.834821
DAEJEON,91.490858,140.685025,109.82932,105.25648,86.389371,123.49122299999999,114.960825,122.54472,147.32117499999998,121.1496,70.604669,37.2484,30.97227,23.422112000000002,17.427012,20.245008,25.959888000000003
ULSAN,97.899555,131.264026,127.094724,126.145376,116.95588200000002,115.872856,90.20544,62.98435800000001,103.270992,90.267408,82.72437199999999,85.51610200000002,113.653881,55.66483300000001,57.20119199999999,49.979835,65.115999
SEJONG,0.25940500001,0.377134961553,0.48688323078799994,0.57867269233,0.67046215376,4.977148000000001,6.3519559999999995,10.148125,9.911548,10.451063999999999,9.8035,5.340141999999999,16.688175,14.589070999999999,7.4379,9.589775,10.04965
GYEONGGI,744.116137,813.043008,836.62453,931.143138,883.36871,1040.023714,942.06651,902.12159,964.240662,839.30748,926.92044,823.8606389999999,609.024636,590.788616,461.2253,448.45125599999994,504.34037700000005
GANGWON,126.319704,117.66885,122.54247,116.266168,130.59808,138.4767,107.95841,115.83315,131.708095,91.49755400000001,114.710508,74.066496,84.78261,50.91372,40.000792000000004,44.558442,29.028332999999996
CHUNGBUK,97.92952,127.64530800000001,116.08832799999999,96.070736,89.085471,103.331448,110.09124,96.31491299999999,77.61364800000001,108.2305,106.826944,60.771575999999996,65.600287,102.453568,41.533102,51.041856,50.99100800000001
CHUNGNAM,163.633542,191.761015,209.870946,190.94728799999996,180.710424,135.928059,116.71496700000002,107.238196,91.41655600000001,121.61016599999999,91.02111,59.535895999999994,80.700942,67.872928,55.100682,57.321999000000005,46.862618000000005
JEONBUK,169.467207,204.13492,161.34219599999997,130.82741,174.284883,144.24725700000002,123.61569,116.03672,89.74612799999998,87.64517700000002,70.475066,64.28912,65.481012,48.71080800000001,50.03194,54.857817000000004,31.585626
JEONNAM,152.457044,197.657,193.213404,140.049405,162.718815,179.50409199999999,137.316384,116.25258,108.81277200000001,171.35226,77.753384,60.25504,115.86219,27.773235,34.823257,47.260122,68.56024599999999
GYEONGBUK,176.970024,216.58841099999998,226.93946,217.88352,210.53721,191.583063,188.9608,162.04764,143.249778,124.218308,113.051652,120.457395,58.648392,73.90381599999999,49.905570999999995,67.612792,58.74945199999999
GYEONGNAM,361.2556890000001,561.1943699999999,318.517248,276.405024,238.23108,238.990608,236.70122,204.365677,201.88212,172.06742099999997,223.106664,128.21154399999998,134.50212,217.11404,72.91202600000001,82.012325,84.53010800000001
JEJU,24.607352000000002,17.939776000000002,26.445161000000002,19.993925,31.68858,37.357632,26.72127,26.723224000000005,25.600195,15.398328000000001,21.026656000000003,24.018876000000002,13.41978,20.913685,14.211939000000001,22.379246999999996,26.334827999999998
