AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ADD_UP,144.5921569,163.3612745,176.5911765,184.1406863,206.1,232.9 ,254.9 ,276.0 ,300.8 ,318.8 ,338.7 ,345.9 ,331.0 ,358.5 ,351.4 ,318.3 ,416.2 
SEOUL,376.7 ,492.3 ,543.7 ,514.9 ,501.2 ,484.3 ,482.2 ,500.2 ,531.4 ,580.9 ,663.3 ,696.2 ,863.8 ,978.4 ,1233.2 ,1161.6 ,1219.6 
BUSAN,147.1 ,151.2 ,169.1 ,199.5 ,248.7 ,252.0 ,256.9 ,270.1 ,288.1 ,316.5 ,334.4 ,331.7 ,348.2 ,374.8 ,356.8 ,363.4 ,460.3 
DAEGU,157.9 ,158.3 ,159.0 ,162.4 ,192.4 ,216.2 ,244.2 ,277.3 ,311.0 ,305.8 ,321.0 ,332.4 ,324.3 ,358.0 ,359.0 ,360.7 ,375.9 
INCHEON,209.1 ,275.4 ,278.8 ,271.5 ,265.7 ,252.0 ,256.2 ,270.4 ,294.4 ,315.7 ,330.7 ,336.6 ,340.7 ,363.1 ,449.6 ,468.7 ,460.6 
GWANGJU,110.1 ,115.7 ,122.0 ,126.6 ,159.9 ,175.1 ,187.0 ,203.6 ,223.6 ,238.0 ,252.3 ,261.0 ,258.3 ,291.3 ,303.8 ,305.8 ,342.0 
DAEJEON,150.9 ,152.0 ,171.6 ,196.5 ,234.3 ,232.6 ,241.2 ,247.7 ,249.2 ,260.0 ,270.1 ,287.1 ,297.5 ,342.6 ,390.2 ,368.5 ,411.4 
ULSAN,153.1 ,158.2 ,172.5 ,180.2 ,204.9 ,239.2 ,245.5 ,266.9 ,283.8 ,301.2 ,302.7 ,285.5 ,295.8 ,332.2 ,306.8 ,320.0 ,385.3 
SEJONG,51.6 ,63.1 ,78.9 ,98.7 ,122.6 ,179.6 ,192.5 ,200.3 ,209.3 ,296.1 ,369.0 ,401.4 ,430.4 ,550.3 ,650.3 ,684.9 ,663.5 
GYEONGGI,250.6 ,302.4 ,320.6 ,300.4 ,303.4 ,289.4 ,305.3 ,322.8 ,340.3 ,364.5 ,391.7 ,408.9 ,397.1 ,437.9 ,549.0 ,542.0 ,578.8 
GANGWON,96.4 ,103.8 ,109.1 ,114.0 ,134.1 ,145.8 ,152.2 ,156.9 ,172.4 ,192.9 ,200.3 ,192.8 ,181.5 ,197.7 ,224.3 ,231.8 ,257.8 
CHUNGBUK,112.6 ,116.0 ,123.7 ,134.5 ,164.1 ,182.1 ,194.5 ,203.0 ,201.9 ,198.0 ,199.8 ,191.6 ,192.2 ,211.1 ,224.5 ,215.8 ,259.4 
CHUNGNAM,123.2 ,132.2 ,140.8 ,146.9 ,168.4 ,191.6 ,203.8 ,213.6 ,212.0 ,202.0 ,206.5 ,203.1 ,218.1 ,227.9 ,235.8 ,220.8 ,248.8 
JEONBUK,95.1 ,107.5 ,117.3 ,133.7 ,155.9 ,160.3 ,165.6 ,167.5 ,171.8 ,179.5 ,187.3 ,185.6 ,182.8 ,191.9 ,192.5 ,200.8 ,223.1 
JEONNAM,81.0 ,89.8 ,98.2 ,111.6 ,128.7 ,136.3 ,142.0 ,142.3 ,146.4 ,155.6 ,169.0 ,176.8 ,183.6 ,195.7 ,204.0 ,193.9 ,208.1 
GYEONGBUK,102.8 ,105.7 ,113.2 ,114.8 ,128.3 ,142.8 ,162.9 ,177.3 ,188.1 ,176.6 ,181.2 ,170.5 ,170.9 ,198.6 ,202.7 ,195.2 ,226.1 
GYEONGNAM,124.8 ,136.0 ,152.4 ,176.5 ,216.6 ,215.5 ,227.9 ,241.2 ,244.4 ,242.1 ,241.1 ,226.3 ,232.2 ,256.3 ,263.2 ,255.8 ,289.5 
JEJU,115.3 ,117.6 ,131.2 ,147.8 ,174.8 ,186.7 ,191.6 ,209.3 ,269.5 ,345.0 ,358.1 ,354.1 ,343.9 ,354.0 ,374.1 ,381.4 ,414.4 
